race_date,race_no,baba_code,finish,post_position,horse_number,horse_name,popularity,win_odds,venue
2025/12/30,10,20,1,4,8,ホーリーグレイル,4,144.2,大井
2025/12/30,10,20,2,6,11,コアリオ,16,,大井
2025/12/30,10,20,3,3,6,ヘニータイフーン,2,13.8,大井
2025/12/30,10,20,4,1,1,ケテンドリーム,8,7.5,大井
2025/12/30,10,20,5,2,3,マーブルマカロン,6,2.2,大井
2025/12/30,10,20,6,6,12,プラウドフレール,3,,大井
2025/12/30,10,20,7,2,4,オメガシンフォニー,1,14.4,大井
2025/12/30,10,20,8,5,10,グレアネオンライト,13,20.4,大井
2025/12/30,10,20,9,1,2,キャプテンネキ,7,11.4,大井
2025/12/30,10,20,10,5,9,ツーシャドー,10,,大井
2025/12/30,10,20,11,7,14,ジゼル,5,,大井
2025/12/30,10,20,12,8,16,ローリエフレイバー,12,,大井
2025/12/30,10,20,13,3,5,エイシンマジョリカ,15,51.5,大井
2025/12/30,10,20,14,4,7,カマチョクイン,9,2.6,大井
2025/12/30,10,20,15,7,13,エスカティア,11,,大井
2025/12/30,10,20,16,8,15,ミルニュイ,14,,大井
2025/12/30,11,20,1,5,10,アレスグート,3,3.1,大井
2025/12/30,11,20,2,6,11,トゥースパークル,1,,大井
2025/12/30,11,20,3,3,5,イルヴェント,10,2.2,大井
2025/12/30,11,20,4,2,3,ゴールドジャッジ,6,52.9,大井
2025/12/30,11,20,5,2,4,シビックドリーム,5,10.2,大井
2025/12/30,11,20,6,4,7,オルトスラッガー,16,30.7,大井
2025/12/30,11,20,7,1,1,フェルディナンド,9,9.6,大井
2025/12/30,11,20,8,4,8,プラズマ,7,26.4,大井
2025/12/30,11,20,9,1,2,ワガンセ,13,106.8,大井
2025/12/30,11,20,10,7,13,ゴールデンブザー,11,,大井
2025/12/30,11,20,11,6,12,サイアンドコー,2,,大井
2025/12/30,11,20,12,8,16,ミッキーチャレンジ,8,,大井
2025/12/30,11,20,13,7,14,プレストステラ,12,,大井
2025/12/30,11,20,14,3,6,ソレナ,14,5.2,大井
2025/12/30,11,20,15,5,9,サッキーミツグ,4,147.3,大井
2025/12/30,11,20,16,8,15,トップアメリカン,15,,大井
2025/12/29,8,20,1,8,13,ブルーヒサシン,1,,大井
2025/12/29,8,20,2,4,5,ジューンドラゴン,3,1.4,大井
2025/12/29,8,20,3,8,12,ライムフレイバー,4,,大井
2025/12/29,8,20,4,6,8,フェスティヴルディ,2,11.3,大井
2025/12/29,8,20,5,7,10,ムサシエクスプレス,6,500.3,大井
2025/12/29,8,20,6,2,2,フォースチルドレン,9,9.4,大井
2025/12/29,8,20,7,1,1,カイタロー,8,54.1,大井
2025/12/29,8,20,8,5,7,ノーブルジーク,11,48.6,大井
2025/12/29,8,20,9,3,3,ワールドエンパイア,7,10.0,大井
2025/12/29,8,20,10,5,6,ヤマノウォーリア,10,81.9,大井
2025/12/29,8,20,11,6,9,デュアルロンド,5,10.4,大井
2025/12/29,8,20,12,4,4,クラサーベル,12,7.9,大井
2025/12/29,8,20,13,7,11,バンドールロゼ,13,,大井
2025/12/29,9,20,1,5,10,ディクテオン,7,5.1,大井
2025/12/29,9,20,2,7,13,ミッキーファイト,1,,大井
2025/12/29,9,20,3,8,15,アウトレンジ,4,,大井
2025/12/29,9,20,4,4,8,キングズソード,6,19.3,大井
2025/12/29,9,20,5,6,12,ホウオウルーレット,5,,大井
2025/12/29,9,20,6,2,3,ナルカミ,2,13.1,大井
2025/12/29,9,20,7,3,6,ナンセイホワイト,12,190.3,大井
2025/12/29,9,20,8,8,16,グランブリッジ,8,,大井
2025/12/29,9,20,9,6,11,シーソーゲーム,9,8.3,大井
2025/12/29,9,20,10,7,14,ナイトオブファイア,10,,大井
2025/12/29,9,20,11,1,1,ナチュラルライズ,3,48.3,大井
2025/12/29,9,20,12,3,5,ベルグラシアス,15,63.6,大井
2025/12/29,9,20,13,4,7,ヒーローコール,13,12.4,大井
2025/12/29,9,20,14,2,4,バハルダール,14,1.8,大井
2025/12/29,9,20,15,1,2,パッションクライ,11,61.8,大井
2025/12/29,10,20,1,8,12,ニシケンサク,1,1.4,大井
2025/12/29,10,20,2,7,11,ホウオウパレード,4,102.7,大井
2025/12/29,10,20,3,4,4,ココナッツガーデン,2,60.3,大井
2025/12/29,10,20,4,7,10,アーススピリット,9,102.6,大井
2025/12/29,10,20,5,4,5,ユーヒナタ,6,56.5,大井
2025/12/29,10,20,6,6,8,ジャガーバローズ,3,230.4,大井
2025/12/29,10,20,7,3,3,イチニチショチョウ,5,11.4,大井
2025/12/29,10,20,8,2,2,ミユキコクシムソウ,8,9.8,大井
2025/12/29,10,20,9,5,6,レペンテ,11,11.3,大井
2025/12/29,10,20,10,6,9,ビッグアメリカン,7,16.5,大井
2025/12/29,10,20,11,5,7,ヴァルタリ,10,7.1,大井
2025/12/29,10,20,12,8,13,コスモバシレウス,12,,大井
2025/12/29,10,20,13,1,1,クラジャンク,13,38.4,大井
2025/12/26,8,20,1,7,13,ヨシイチ,3,,大井
2025/12/26,8,20,2,7,14,レルアバド,2,,大井
2025/12/26,8,20,3,6,11,ディルムッド,7,,大井
2025/12/26,8,20,4,5,10,トーアナカヨシ,12,,大井
2025/12/26,8,20,5,5,9,ピンナダ,4,,大井
2025/12/26,8,20,6,6,12,ミッドナイトホーク,9,,大井
2025/12/26,8,20,7,4,7,マジックワーズ,6,,大井
2025/12/26,8,20,8,3,5,ヴォイスオブゼウス,1,,大井
2025/12/26,8,20,9,3,6,サガノオウマサン,14,,大井
2025/12/26,8,20,10,2,4,オールアイズオン,13,,大井
2025/12/26,8,20,11,1,2,マルチライセンス,16,,大井
2025/12/26,8,20,12,8,15,ヤマニンエイドロン,5,,大井
2025/12/26,8,20,13,8,16,マオノジーニー,10,,大井
2025/12/26,8,20,14,4,8,マウリノ,11,,大井
2025/12/26,8,20,15,1,1,ミツカネマーズ,7,,大井
2025/12/26,8,20,16,2,3,アオイコウキ,15,,大井
2025/12/26,9,20,1,5,5,ジーティートレイン,5,,大井
2025/12/26,9,20,2,1,1,プロローク,1,,大井
2025/12/26,9,20,3,3,3,アップタウン,8,,大井
2025/12/26,9,20,4,2,2,ジャスティス,6,,大井
2025/12/26,9,20,5,7,8,ティーズアライト,3,,大井
2025/12/26,9,20,6,6,7,モエレサワンミヤギ,2,,大井
2025/12/26,9,20,7,4,4,ウォークアップ,4,,大井
2025/12/26,9,20,8,8,10,ジョイセブン,9,,大井
2025/12/26,9,20,9,8,11,ユーロハートビート,7,,大井
2025/12/26,9,20,10,7,9,ウォールローゼ,10,,大井
2025/12/26,10,20,1,6,8,ハーフブルー,2,,大井
2025/12/26,10,20,2,7,10,ネオトキオ,1,,大井
2025/12/26,10,20,3,5,5,ルイス,3,,大井
2025/12/26,10,20,4,4,4,エドノフェニックス,4,,大井
2025/12/26,10,20,5,7,9,ハセノブライアン,5,,大井
2025/12/26,10,20,6,6,7,ベジャール,8,,大井
2025/12/26,10,20,7,8,12,ダイバリオン,12,,大井
2025/12/26,10,20,8,3,3,ゴッドセンド,7,,大井
2025/12/26,10,20,9,8,11,ワラ,9,,大井
2025/12/26,10,20,10,2,2,ランプロン,6,,大井
2025/12/26,10,20,11,5,6,サイレントギフト,10,,大井
2025/12/26,10,20,12,1,1,ウインリブルマン,11,,大井
2025/12/25,10,20,1,1,1,スノーキャンドル,1,,大井
2025/12/25,10,20,2,4,4,シェーンプリマー,2,,大井
2025/12/25,10,20,3,6,6,エイシンラセーヌ,3,,大井
2025/12/25,10,20,4,6,7,ナックシリウス,5,,大井
2025/12/25,10,20,5,8,11,ドピエッタ,7,,大井
2025/12/25,10,20,6,2,2,アシャニンカ,8,,大井
2025/12/25,10,20,7,7,9,オメガオリーブ,11,,大井
2025/12/25,10,20,8,5,5,グラスコメット,6,,大井
2025/12/25,10,20,9,3,3,アミフジモアナ,4,,大井
2025/12/25,10,20,10,8,10,クレイジーフルーツ,10,,大井
2025/12/25,10,20,11,7,8,インファンタ,9,,大井
2025/12/25,11,20,1,8,16,ツウカイノキズナ,2,,大井
2025/12/25,11,20,2,3,5,グリューヴルム,1,,大井
2025/12/25,11,20,3,5,9,エクセスリターン,3,,大井
2025/12/25,11,20,4,1,1,ブルマリンシェール,9,,大井
2025/12/25,11,20,5,7,14,セイカメテオポリス,4,,大井
2025/12/25,11,20,6,2,4,オーシンロクゼロ,10,,大井
2025/12/25,11,20,7,6,11,ユアヒストリー,12,,大井
2025/12/25,11,20,8,8,15,ヴェルテックス,11,,大井
2025/12/25,11,20,9,1,2,ハデスキーパー,5,,大井
2025/12/25,11,20,10,5,10,ヒロシゲジャック,16,,大井
2025/12/25,11,20,11,6,12,ミヤギザオウ,7,,大井
2025/12/25,11,20,12,7,13,タイガーチャージ,8,,大井
2025/12/25,11,20,13,4,7,スパルタレオニダス,6,,大井
2025/12/25,11,20,14,2,3,フロンタルジェダイ,13,,大井
2025/12/25,11,20,15,4,8,ロイヤルペガサス,14,,大井
2025/12/25,11,20,16,3,6,グランデマーレ,15,,大井
2025/12/25,12,20,1,8,13,ポッドソル,2,,大井
2025/12/25,12,20,2,1,1,コスモブライヤー,6,,大井
2025/12/25,12,20,3,2,2,ウインアイリーン,8,,大井
2025/12/25,12,20,4,3,4,ドゥーロアバンティ,4,,大井
2025/12/25,12,20,5,5,8,ハッピーゲート,7,,大井
2025/12/25,12,20,6,7,11,シャドウルパン,3,,大井
2025/12/25,12,20,7,5,7,サクラサクヤヒメ,1,,大井
2025/12/25,12,20,8,4,5,アンブロジアーナ,10,,大井
2025/12/25,12,20,9,3,3,アンニンドウフ,11,,大井
2025/12/25,12,20,10,6,9,ヨゾラノムコウニ,9,,大井
2025/12/25,12,20,11,7,12,ビッグショット,13,,大井
2025/12/25,12,20,12,4,6,トチノヒーロー,12,,大井
2025/12/25,12,20,13,6,10,オペラアリア,5,,大井
2025/12/24,8,20,1,7,10,サトノリリウム,1,,大井
2025/12/24,8,20,2,5,6,サブノコイゴコロ,9,,大井
2025/12/24,8,20,3,5,5,コーミズアムール,5,,大井
2025/12/24,8,20,4,7,9,モントーク,7,,大井
2025/12/24,8,20,5,1,1,ハッピータレイア,2,,大井
2025/12/24,8,20,6,2,2,プラチナムロッド,4,,大井
2025/12/24,8,20,7,6,7,グランジュール,8,,大井
2025/12/24,8,20,8,8,12,ヘクトプリンセス,12,,大井
2025/12/24,8,20,9,3,3,ティーズエナジー,10,,大井
2025/12/24,8,20,10,4,4,アンフォラ,11,,大井
2025/12/24,8,20,11,6,8,レディーティアラ,3,,大井
2025/12/24,9,20,1,8,11,フジマサテイオー,1,,大井
2025/12/24,9,20,2,2,2,カガヤキテンマ,2,,大井
2025/12/24,9,20,3,5,6,モズユウガ,5,,大井
2025/12/24,9,20,4,7,9,ビシャモンテン,6,,大井
2025/12/24,9,20,5,1,1,ランディスシティ,8,,大井
2025/12/24,9,20,6,6,7,パレルモ,4,,大井
2025/12/24,9,20,7,6,8,ブーヤカ,3,,大井
2025/12/24,9,20,8,7,10,サブノハクタカ,10,,大井
2025/12/24,9,20,9,3,3,スナイプフレイバー,7,,大井
2025/12/24,9,20,10,5,5,ジーゲル,12,,大井
2025/12/24,9,20,11,4,4,アッティラ,9,,大井
2025/12/24,10,20,1,7,8,アウトビアンキ,5,,大井
2025/12/24,10,20,2,7,7,ベストリオン,1,,大井
2025/12/24,10,20,3,2,2,カフジペンタゴン,7,,大井
2025/12/24,10,20,4,6,6,ショットオブザデイ,4,,大井
2025/12/24,10,20,5,4,4,カズピレウス,3,,大井
2025/12/24,10,20,6,3,3,ポッドジャスパー,6,,大井
2025/12/24,10,20,7,1,1,サンタモニカビーチ,2,,大井
2025/12/24,10,20,8,5,5,ゲルタ,9,,大井
2025/12/24,10,20,9,8,10,デルバイス,10,,大井
2025/12/24,10,20,10,8,9,カリナ,8,,大井
2025/12/19,10,21,1,4,6,オウケンデューク,1,,川崎
2025/12/19,10,21,2,2,2,ヘニーズネフュー,6,,川崎
2025/12/19,10,21,3,5,7,ウインメラナイト,7,,川崎
2025/12/19,10,21,4,5,8,ギンユウシジン,10,,川崎
2025/12/19,10,21,5,1,1,チャールストン,4,,川崎
2025/12/19,10,21,6,4,5,クリノフラッグ,13,,川崎
2025/12/19,10,21,7,3,4,ベルガラス,5,,川崎
2025/12/19,10,21,8,8,13,キングマイネオ,9,,川崎
2025/12/19,10,21,9,7,12,カガヤキファイター,11,,川崎
2025/12/19,10,21,10,3,3,シンメロワン,3,,川崎
2025/12/19,10,21,11,7,11,コパノモンタナ,12,,川崎
2025/12/19,10,21,12,6,10,ジーティーカイソク,2,,川崎
2025/12/19,10,21,13,8,14,セラード,8,,川崎
2025/12/19,10,21,14,6,9,レーザースペックル,14,,川崎
2025/12/19,11,21,1,2,2,カセノラオー,1,,川崎
2025/12/19,11,21,2,6,7,モトサン,8,,川崎
2025/12/19,11,21,3,1,1,クロームウルフ,4,,川崎
2025/12/19,11,21,4,7,9,アルメールヴェント,9,,川崎
2025/12/19,11,21,5,7,10,ユメドリーム,3,,川崎
2025/12/19,11,21,6,8,11,プレストライズ,5,,川崎
2025/12/19,11,21,7,3,3,レッドロムルス,7,,川崎
2025/12/19,11,21,8,8,12,グレイトムーン,12,,川崎
2025/12/19,11,21,9,5,5,ディープグラビティ,10,,川崎
2025/12/19,11,21,10,6,8,トンボ,2,,川崎
2025/12/19,11,21,11,5,6,ゴールデンカガヤ,11,,川崎
2025/12/19,11,21,12,4,4,マナコル,6,,川崎
2025/12/19,12,21,1,8,11,グレッチャー,1,,川崎
2025/12/19,12,21,2,8,12,ウロボロス,10,,川崎
2025/12/19,12,21,3,3,3,プレジャー,8,,川崎
2025/12/19,12,21,4,5,6,マイネルイージス,3,,川崎
2025/12/19,12,21,5,1,1,グラスアラバニーユ,6,,川崎
2025/12/19,12,21,6,4,4,コスモギンガ,9,,川崎
2025/12/19,12,21,7,7,10,レディオンステージ,7,,川崎
2025/12/19,12,21,8,7,9,キミトユメヲカケル,2,,川崎
2025/12/19,12,21,9,6,7,メイショウフェリオ,4,,川崎
2025/12/19,12,21,10,2,2,フリュート,11,,川崎
2025/12/19,12,21,11,5,5,リュウノバデン,12,,川崎
2025/12/19,12,21,12,6,8,シュヴァイゲン,5,,川崎
2025/07/17,10,36,1,6,6,ビリーヴアンドラン,1,1.4,門別
2025/07/17,10,36,2,6,7,ベラジオケンシロウ,2,4.8,門別
2025/07/17,10,36,3,2,2,タカオスマイル,3,5.1,門別
2025/07/17,10,36,4,8,11,マジックライン,6,37.9,門別
2025/07/17,10,36,5,7,8,アースウルフ,5,30.8,門別
2025/07/17,10,36,6,7,9,コパノイノリ,7,49.0,門別
2025/07/17,10,36,7,5,5,トーケンナナ,4,23.6,門別
2025/07/17,10,36,8,1,1,マエストーソ,9,130.5,門別
2025/07/17,10,36,9,4,4,ユーライナー,8,67.1,門別
2025/07/17,10,36,10,8,10,レネガード,10,142.7,門別
2025/07/17,10,36,11,3,3,フォルトシュリット,11,299.5,門別
2025/07/17,11,36,1,3,3,キャンディドライヴ,2,2.5,門別
2025/07/17,11,36,2,2,2,ブリックロード,3,7.5,門別
2025/07/17,11,36,3,5,5,スティールストーム,5,16.1,門別
2025/07/17,11,36,4,1,1,ケイアイロベージ,1,1.9,門別
2025/07/17,11,36,5,4,4,サイモンハロルド,6,22.0,門別
2025/07/17,11,36,6,6,6,クルマトラサン,4,8.8,門別
2025/07/17,12,36,1,4,4,サンオークレア,1,1.9,門別
2025/07/17,12,36,2,6,6,ラブラブパイロ,2,2.1,門別
2025/07/17,12,36,3,5,5,ポルラノーチェ,3,5.3,門別
2025/07/17,12,36,4,2,2,ヴィルミーキスミー,5,90.7,門別
2025/07/17,12,36,5,1,1,ノッテルーナ,4,16.5,門別
2025/07/17,12,36,6,7,7,ブッシュドノエル,7,256.4,門別
2025/07/17,12,36,7,3,3,ロフティフレーズ,6,224.9,門別
2025/12/17,10,21,1,7,7,ハナノウタゲ,3,,川崎
2025/12/17,10,21,2,2,2,カナールショウヘイ,1,,川崎
2025/12/17,10,21,3,1,1,シントーハナノボス,2,,川崎
2025/12/17,10,21,4,8,9,ゴールデンプラチナ,5,,川崎
2025/12/17,10,21,5,8,8,コスモスミッチー,9,,川崎
2025/12/17,10,21,6,6,6,カタルシス,6,,川崎
2025/12/17,10,21,7,4,4,チューウィー,4,,川崎
2025/12/17,10,21,8,5,5,シルバーダイヤ,7,,川崎
2025/12/17,10,21,9,3,3,ドルチアーリア,8,,川崎
2025/12/17,11,21,1,4,4,パイロマンサー,2,,川崎
2025/12/17,11,21,2,1,1,タマモフリージア,3,,川崎
2025/12/17,11,21,3,5,5,ベストグリーン,1,,川崎
2025/12/17,11,21,4,3,3,アヤサンジョウタロ,6,,川崎
2025/12/17,11,21,5,8,9,コスモギガンティア,8,,川崎
2025/12/17,11,21,6,6,6,ライフオブラクーン,7,,川崎
2025/12/17,11,21,7,2,2,フルールドール,4,,川崎
2025/12/17,11,21,8,8,8,イダテンシャチョウ,5,,川崎
2025/12/17,11,21,9,7,7,バルカニクス,9,,川崎
2025/12/17,12,21,1,4,6,テンダリー,3,,川崎
2025/12/17,12,21,2,4,5,ホースワン,1,,川崎
2025/12/17,12,21,3,6,9,ミュークフォルテ,9,,川崎
2025/12/17,12,21,4,5,8,キアラボヌール,11,,川崎
2025/12/17,12,21,5,7,12,ツワモノ,10,,川崎
2025/12/17,12,21,6,3,3,ナリノボガート,2,,川崎
2025/12/17,12,21,7,7,11,クロスダイヤ,8,,川崎
2025/12/17,12,21,8,1,1,ダイゴホマレリュウ,5,,川崎
2025/12/17,12,21,9,8,14,クインズカヤノヒメ,7,,川崎
2025/12/17,12,21,10,6,10,ローゼシュティア,6,,川崎
2025/12/17,12,21,11,3,4,ガリンシャ,13,,川崎
2025/12/17,12,21,12,8,13,シュンレツ,4,,川崎
2025/12/17,12,21,13,2,2,ブルーパール,12,,川崎
2025/12/16,10,21,1,8,10,バッファローライズ,1,,川崎
2025/12/16,10,21,2,3,3,ディーズメイト,2,,川崎
2025/12/16,10,21,3,4,4,エターナルセイバー,7,,川崎
2025/12/16,10,21,4,1,1,モーモーブラック,10,,川崎
2025/12/16,10,21,5,7,8,トリプルアクセル,4,,川崎
2025/12/16,10,21,6,8,9,ジェネシスミザール,9,,川崎
2025/12/16,10,21,7,5,5,コパノマロン,5,,川崎
2025/12/16,10,21,8,6,6,パワポケウイング,8,,川崎
2025/12/16,10,21,9,2,2,アサガオ,6,,川崎
2025/12/16,10,21,10,7,7,アイルプロテクト,3,,川崎
2025/12/16,11,21,1,8,10,アランバローズ,1,,川崎
2025/12/16,11,21,2,7,8,シシュフォス,3,,川崎
2025/12/16,11,21,3,4,4,パラレルヴィジョン,2,,川崎
2025/12/16,11,21,4,7,7,キタノリューオー,4,,川崎
2025/12/16,11,21,5,2,2,ノットリグレット,5,,川崎
2025/12/16,11,21,6,3,3,ゴールドホイヤー,8,,川崎
2025/12/16,11,21,7,1,1,メンタイマヨ,6,,川崎
2025/12/16,11,21,8,6,6,フレールフィーユ,10,,川崎
2025/12/16,11,21,9,8,9,ハイエストエンド,9,,川崎
2025/12/16,11,21,10,5,5,ベラール,7,,川崎
2025/12/16,12,21,1,5,8,ベネディット,1,,川崎
2025/12/16,12,21,2,7,11,ジーティーアグリム,3,,川崎
2025/12/16,12,21,3,5,7,ニシノシャイニング,13,,川崎
2025/12/16,12,21,4,4,6,アイリーズパキラ,12,,川崎
2025/12/16,12,21,5,3,4,シトロンヴェール,4,,川崎
2025/12/16,12,21,6,6,9,デルマツリダシ,2,,川崎
2025/12/16,12,21,7,4,5,ミスケイト,11,,川崎
2025/12/16,12,21,8,7,12,シンボルザサン,5,,川崎
2025/12/16,12,21,9,2,2,ダズリングスカイ,14,,川崎
2025/12/16,12,21,10,8,13,レイニングキング,6,,川崎
2025/12/16,12,21,11,6,10,サマーストーリー,8,,川崎
2025/12/16,12,21,12,8,14,グァンバーレ,10,,川崎
2025/12/16,12,21,13,3,3,リンガススウィート,7,,川崎
2025/12/16,12,21,14,1,1,マデイニスルー,9,,川崎
2025/07/03,10,20,1,5,5,ランプロン,2,,大井
2025/07/03,10,20,2,8,10,テンドウ,3,,大井
2025/07/03,10,20,3,4,4,ジェットスピード,1,,大井
2025/07/03,10,20,4,7,7,エドノフェニックス,4,,大井
2025/07/03,10,20,5,3,3,ニシノデフィレ,7,,大井
2025/07/03,10,20,6,6,6,アポロリヤム,8,,大井
2025/07/03,10,20,7,8,9,ガルヴァナイズ,5,,大井
2025/07/03,10,20,8,7,8,チャダルクン,9,,大井
2025/07/03,10,20,9,2,2,ゴールデンヨシノ,6,,大井
2025/07/03,10,20,10,1,1,ナサ,10,,大井
2025/07/03,11,20,1,8,8,サトノテンペスト,2,,大井
2025/07/03,11,20,2,7,7,コンシリエーレ,1,,大井
2025/07/03,11,20,3,4,4,グットディール,7,,大井
2025/07/03,11,20,4,2,2,イーグルノワール,3,,大井
2025/07/03,11,20,5,3,3,パワースレイヴ,5,,大井
2025/07/03,11,20,6,5,5,ニジイロハーピー,6,,大井
2025/07/03,11,20,7,6,6,マースインディ,8,,大井
2025/07/03,11,20,8,1,1,ドルチェモア,4,,大井
2025/07/03,12,20,1,8,12,トランジェント,1,,大井
2025/07/03,12,20,2,6,8,ゲルタ,6,,大井
2025/07/03,12,20,3,2,2,ベストリオン,3,,大井
2025/07/03,12,20,4,7,10,ヒメカミノメガミ,4,,大井
2025/07/03,12,20,5,8,13,アウトビアンキ,2,,大井
2025/07/03,12,20,6,4,4,ベアーザベル,8,,大井
2025/07/03,12,20,7,5,6,マイネルイージス,5,,大井
2025/07/03,12,20,8,7,11,サウンドロックス,7,,大井
2025/07/03,12,20,9,1,1,コスモギンガ,10,,大井
2025/07/03,12,20,10,3,3,オメガオリーブ,11,,大井
2025/07/03,12,20,11,6,9,ビアンカ,9,,大井
2025/07/03,12,20,12,4,5,ベアウェイトゥゴー,12,,大井
2025/07/03,12,20,13,5,7,グレイトミッション,13,,大井
2025/12/09,10,22,1,6,6,スカイトライア,2,,船橋
2025/12/09,10,22,2,1,1,ヒヤ,1,,船橋
2025/12/09,10,22,3,8,8,ビューティーハニー,5,,船橋
2025/12/09,10,22,4,7,7,ビーマイセルフ,4,,船橋
2025/12/09,10,22,5,3,3,ドンリュウスター,7,,船橋
2025/12/09,10,22,6,5,5,カミチャ,6,,船橋
2025/12/09,10,22,7,8,9,ハクサンミラクル,3,,船橋
2025/12/09,10,22,8,2,2,ダフニス,9,,船橋
2025/12/09,10,22,9,4,4,ディープマインド,8,,船橋
2025/12/08,10,22,1,6,6,ハクサンリバーブ,1,,船橋
2025/12/08,10,22,2,2,2,ナックシュバリエ,5,,船橋
2025/12/08,10,22,3,3,3,パブリックスフィア,3,,船橋
2025/12/08,10,22,4,8,8,ベンメリア,7,,船橋
2025/12/08,10,22,5,1,1,タッチザシーリング,9,,船橋
2025/12/08,10,22,6,4,4,シャイニーズラン,2,,船橋
2025/12/08,10,22,7,7,7,インマイブラッド,8,,船橋
2025/12/08,10,22,8,5,5,ウォーハンマー,4,,船橋
2025/12/08,10,22,9,8,9,カツノダイヤ,6,,船橋
2025/12/08,11,22,1,2,2,ハクサンツキミテイ,2,,船橋
2025/12/08,11,22,2,7,7,ハクサンパイオニア,1,,船橋
2025/12/08,11,22,3,5,5,トウカイエトワール,3,,船橋
2025/12/08,11,22,4,4,4,ホウオウジュレップ,5,,船橋
2025/12/08,11,22,5,3,3,サヴァ,4,,船橋
2025/12/08,11,22,6,8,8,ビバロジータ,7,,船橋
2025/12/08,11,22,7,1,1,エバニスタ,8,,船橋
2025/12/08,11,22,8,6,6,コパノフランシス,6,,船橋
2025/12/05,10,20,1,5,9,ルーシーノワール,3,,大井
2025/12/05,10,20,2,7,12,ヘビーキュー,1,,大井
2025/12/05,10,20,3,8,14,アオイハナミチ,2,,大井
2025/12/05,10,20,4,6,10,スリーボビー,4,,大井
2025/12/05,10,20,5,5,8,インペリオ,10,,大井
2025/12/05,10,20,6,3,5,ミチノディディ,8,,大井
2025/12/05,10,20,7,2,2,ベラジオルークン,5,,大井
2025/12/05,10,20,8,6,11,エピルシェール,14,,大井
2025/12/05,10,20,9,3,4,テルケンレントラー,6,,大井
