No,フラグ,日時,競馬場,開催日,人気合計,フラグ,レース,1着人気,2着人気,レース,1着人気,2着人気,レース,1着人気,2着人気,キャリーオーバー発声中,的中口数,的中金額,キャリーオーバー,推定1着オッズ_R1,推定2着オッズ_R1,推定1着オッズ_R2,推定2着オッズ_R2,推定1着オッズ_R3,推定2着オッズ_R3,推定1番人気オッズ_R1,推定1番人気オッズ_R2,推定1番人気オッズ_R3
28,,11月26日(水),浦和,第8回2日目,20,2,10R,3,10,11R,2,1,12R,3,1,,,"4,527,195",,5.9,63.0,3.6,2.1,5.9,2.1,2.2,2.2,2.2
29,,11月25日(火),浦和,第8回1日目,11,2,10R,2,3,11R,1,2,12R,2,1,,,"10,725",,3.6,5.9,2.1,3.6,3.6,2.1,1.4,1.4,1.4
30,,11月21日(金),川崎,第9回5日目,26,1,10R,3,2,11R,1,6,12R,4,10,,,"4,888,770",,6.5,4.0,2.3,18.0,9.5,70.0,3.0,3.0,3.0
31,,11月20日(木),川崎,第9回4日目,24,1,10R,8,3,11R,1,3,12R,6,3,1,,"53,642,875",,35.0,6.5,2.3,6.5,18.0,6.5,2.7,2.7,2.7
32,,11月19日(水),川崎,第9回3日目,19,1,10R,5,3,11R,2,1,12R,3,5,,,,"11,103,491",13.0,6.5,4.0,2.3,6.5,13.0,2.4,2.4,2.4
230,4,6月3日(火),船橋,第3回2日目,16,2,10R,1,3,11R,1,2,12R,5,4,,,"100,795",,2.3,6.5,2.3,4.0,13.0,9.5,2.1,2.1,2.1
34,,11月17日(月),川崎,第9回1日目,11,3,10R,1,2,11R,1,2,12R,1,4,,,"19,020",,2.3,4.0,2.3,4.0,2.3,9.5,1.5,1.5,1.5
280,2,4月15日(火),大井,第1回2日目,14,3,10R,1,3,11R,2,1,12R,1,6,1,,"101,015",,2.5,7.2,4.4,2.5,2.5,19.8,2.0,2.0,2.0
36,,11月13日(木),大井,第12回4日目,27,2,10R,1,12,11R,5,4,12R,1,4,,,"1,511,340",,2.5,143.0,14.3,10.5,2.5,10.5,3.3,3.3,3.3
37,,11月13日(木),門別,第16回3日目,22,1,10R,2,10,11R,3,4,12R,1,2,,,,"4,892,930",3.4,59.5,5.5,8.1,2.0,3.4,2.3,2.3,2.3
38,,11月12日(水),大井,第12回3日目,18,2,10R,7,1,11R,1,4,12R,2,3,,,"7,033,250",,27.5,2.5,2.5,10.5,4.4,7.2,2.3,2.3,2.3
39,,11月12日(水),門別,第16回2日目,15,2,10R,2,1,11R,3,4,12R,1,4,,,"530,040",,3.4,2.0,5.5,8.1,2.0,8.1,1.5,1.5,1.5
40,,11月11日(火),大井,第12回2日目,13,3,10R,2,1,11R,1,4,12R,1,4,,,"46,645",,4.4,2.5,2.5,10.5,2.5,10.5,2.0,2.0,2.0
41,,11月11日(火),門別,第16回1日目,19,1,10R,7,2,11R,4,3,12R,1,2,,,"813,340",,21.2,3.4,8.1,5.5,2.0,3.4,2.0,2.0,2.0
42,,11月10日(月),大井,第12回1日目,22,2,10R,9,1,11R,3,6,12R,1,2,,,"1,685,250",,55.0,2.5,7.2,19.8,2.5,4.4,3.0,3.0,3.0
43,,11月7日(金),船橋,第8回5日目,16,2,10R,3,2,11R,4,1,12R,5,1,,,"1,538,020",,6.5,4.0,9.5,2.3,13.0,2.3,2.1,2.1,2.1
44,,11月6日(木),船橋,第8回4日目,19,2,10R,1,3,11R,1,2,12R,4,8,1,,"11,379,670",,2.3,6.5,2.3,4.0,9.5,35.0,2.4,2.4,2.4
45,,11月6日(木),門別,第15回6日目,22,2,10R,6,9,11R,1,2,12R,1,3,,,"2,431,525",,15.3,42.5,2.0,3.4,2.0,5.5,2.3,2.3,2.3
46,,11月5日(水),船橋,第8回3日目,34,0,10R,9,4,11R,6,8,12R,2,5,,,,"11,694,137",50.0,9.5,18.0,35.0,4.0,13.0,3.5,3.5,3.5
47,,11月5日(水),門別,第15回5日目,16,2,10R,2,1,11R,6,1,12R,2,4,,,"656,740",,3.4,2.0,15.3,2.0,3.4,8.1,1.8,1.8,1.8
57,1,10月28日(火),門別,第15回1日目,16,2,10R,1,4,11R,4,3,12R,1,3,,,"1,226,880",,2.0,8.1,8.1,5.5,2.0,5.5,1.8,1.8,1.8
49,,11月3日(月),船橋,第8回1日目,23,2,9R,7,2,10R,5,1,11R,1,7,,,"14,326,235",,25.0,4.0,13.0,2.3,2.3,25.0,2.7,2.7,2.7
50,,11月3日(月),門別,第15回4日目,17,2,10R,1,4,11R,6,3,12R,1,2,,,"246,955",,2.0,8.1,15.3,5.5,2.0,3.4,1.8,1.8,1.8
51,,10月31日(金),浦和,第7回5日目,18,2,10R,1,2,11R,4,6,12R,4,1,1,,"2,498,755",,2.1,3.6,8.6,16.2,8.6,2.1,1.9,1.9,1.9
52,,10月30日(木),浦和,第7回4日目,26,2,10R,3,5,11R,8,1,12R,1,8,,,,"5,746,846",5.9,11.7,31.5,2.1,2.1,31.5,2.7,2.7,2.7
53,,10月30日(木),門別,第15回3日目,23,2,10R,3,1,11R,1,2,12R,9,7,,,"9,201,700",,5.5,2.0,2.0,3.4,42.5,21.2,2.3,2.3,2.3
54,,10月29日(水),浦和,第7回3日目,23,1,10R,5,3,11R,1,9,12R,2,3,1,,"17,873,430",,11.7,5.9,2.1,45.0,3.6,5.9,2.4,2.4,2.4
55,,10月29日(水),門別,第15回2日目,17,2,10R,6,1,11R,2,5,12R,2,1,,,"2,210,325",,15.3,2.0,3.4,11.0,3.4,2.0,1.8,1.8,1.8
56,,10月28日(火),浦和,第7回2日目,22,2,10R,2,8,11R,8,1,12R,2,1,,,,"7,968,961",3.6,31.5,31.5,2.1,3.6,2.1,2.4,2.4,2.4
71,1,10月15日(水),門別,第14回2日目,12,2,10R,1,2,11R,2,3,12R,1,3,,,"45,760",,2.0,3.4,3.4,5.5,2.0,5.5,1.3,1.3,1.3
116,3,9月4日(木),大井,第8回4日目,15,3,10R,1,3,11R,1,3,12R,1,6,1,,"107,995",,2.5,7.2,2.5,7.2,2.5,19.8,2.0,2.0,2.0
59,,10月24日(金),大井,第11回5日目,19,2,10R,6,7,11R,2,1,12R,2,1,1,,"777,570",,19.8,27.5,4.4,2.5,4.4,2.5,2.6,2.6,2.6
60,,10月23日(木),大井,第11回4日目,28,0,10R,7,4,11R,3,4,12R,2,8,,,,"9,185,575",27.5,10.5,7.2,10.5,4.4,38.5,3.3,3.3,3.3
61,,10月23日(木),門別,第14回6日目,17,3,10R,1,6,11R,4,1,12R,4,1,,,"364,310",,2.0,15.3,8.1,2.0,8.1,2.0,1.8,1.8,1.8
62,,10月22日(水),大井,第11回3日目,22,2,10R,8,3,11R,6,1,12R,1,3,,,"5,486,305",,38.5,7.2,19.8,2.5,2.5,7.2,3.0,3.0,3.0
63,,10月22日(水),門別,第14回5日目,15,2,10R,6,3,11R,1,2,12R,1,2,1,,"378,940",,15.3,5.5,2.0,3.4,2.0,3.4,1.5,1.5,1.5
64,,10月21日(火),大井,第11回2日目,12,2,10R,2,1,11R,1,2,12R,2,4,,,"101,240",,4.4,2.5,2.5,4.4,4.4,10.5,1.7,1.7,1.7
65,,10月21日(火),門別,第14回4日目,20,1,10R,6,1,11R,2,4,12R,2,5,,,,"5,294,982",15.3,2.0,3.4,8.1,3.4,11.0,2.0,2.0,2.0
66,,10月20日(月),大井,第11回1日目,14,3,10R,2,1,11R,1,6,12R,3,1,,,"47,735",,4.4,2.5,2.5,19.8,7.2,2.5,2.0,2.0,2.0
67,,10月17日(金),川崎,第8回5日目,10,3,10R,1,2,11R,1,2,12R,1,3,,,"50,645",,2.3,4.0,2.3,4.0,2.3,6.5,1.5,1.5,1.5
68,,10月16日(木),川崎,第8回4日目,16,2,10R,1,3,11R,3,1,12R,3,5,,,"969,415",,2.3,6.5,6.5,2.3,6.5,13.0,2.1,2.1,2.1
69,,10月16日(木),門別,第14回3日目,14,2,10R,3,2,11R,1,4,12R,3,1,,,"897,245",,5.5,3.4,2.0,8.1,5.5,2.0,1.5,1.5,1.5
70,,10月15日(水),川崎,第8回3日目,17,3,10R,2,1,11R,1,3,12R,1,9,1,,"702,840",,4.0,2.3,2.3,6.5,2.3,50.0,2.1,2.1,2.1
199,1,7月1日(火),門別,第6回4日目,17,2,10R,1,5,11R,3,4,12R,1,3,,,"44,130",,2.0,11.0,5.5,8.1,2.0,5.5,1.8,1.8,1.8
277,1,4月17日(木),門別,第1回2日目,15,2,10R,1,4,11R,2,3,12R,1,4,,,"88,215",,2.0,8.1,3.4,5.5,2.0,8.1,1.5,1.5,1.5
73,,10月14日(火),門別,第14回1日目,19,2,10R,1,3,11R,1,7,12R,4,3,,,"575,100",,2.0,5.5,2.0,21.2,8.1,5.5,2.0,2.0,2.0
74,,10月13日(月),川崎,第8回1日目,24,2,10R,3,8,11R,1,2,12R,1,9,,,"1,346,380",,6.5,35.0,2.3,4.0,2.3,50.0,2.7,2.7,2.7
75,,10月10日(金),大井,第10回6日目,12,2,8R,3,2,9R,3,1,10R,2,1,,,"128,040",,7.2,4.4,7.2,2.5,4.4,2.5,1.7,1.7,1.7
76,,10月9日(木),大井,第10回5日目,13,2,10R,3,1,11R,2,4,12R,1,2,,,"256,080",,7.2,2.5,4.4,10.5,2.5,4.4,2.0,2.0,2.0
77,,10月9日(木),門別,第13回6日目,11,3,10R,1,4,11R,1,2,12R,1,2,,,"19,095",,2.0,8.1,2.0,3.4,2.0,3.4,1.3,1.3,1.3
78,,10月8日(水),大井,第10回4日目,17,3,10R,3,1,11R,3,1,12R,8,1,,,"788,200",,7.2,2.5,7.2,2.5,38.5,2.5,2.3,2.3,2.3
79,,10月8日(水),門別,第13回5日目,12,3,10R,1,2,11R,1,4,12R,1,3,,,"10,685",,2.0,3.4,2.0,8.1,2.0,5.5,1.3,1.3,1.3
80,,10月7日(火),大井,第10回3日目,19,1,10R,4,2,11R,5,1,12R,2,5,,,"11,566,985",,10.5,4.4,14.3,2.5,4.4,14.3,2.6,2.6,2.6
81,,10月7日(火),門別,第13回4日目,17,1,10R,5,3,11R,2,4,12R,1,2,1,,"2,568,795",,11.0,5.5,3.4,8.1,2.0,3.4,1.8,1.8,1.8
355,,1月3日(金),川崎,第11回3日目,16,2,10R,1,3,11R,2,4,12R,1,5,1,,"108,210",,2.3,6.5,4.0,9.5,2.3,13.0,2.1,2.1,2.1
33,3,11月18日(火),川崎,第9回2日目,18,3,10R,1,2,11R,1,3,12R,1,10,,,"117,380",,2.3,4.0,2.3,6.5,2.3,70.0,2.1,2.1,2.1
84,,10月3日(金),船橋,第7回5日目,11,3,10R,1,2,11R,4,1,12R,1,2,,,"152,145",,2.3,4.0,9.5,2.3,2.3,4.0,1.5,1.5,1.5
85,,10月2日(木),船橋,第7回4日目,18,2,10R,1,3,11R,5,1,12R,5,3,,,"2,550,410",,2.3,6.5,13.0,2.3,13.0,6.5,2.1,2.1,2.1
86,,10月2日(木),門別,第13回3日目,23,2,10R,6,7,11R,1,6,12R,2,1,,,,"5,236,000",15.3,21.2,2.0,15.3,3.4,2.0,2.3,2.3,2.3
87,,10月1日(水),船橋,第7回3日目,13,3,10R,3,1,11R,1,2,12R,1,5,,,"23,030",,6.5,2.3,2.3,4.0,2.3,13.0,1.8,1.8,1.8
88,,10月1日(水),門別,第13回2日目,17,2,10R,1,8,11R,2,1,12R,2,3,,,"821,640",,2.0,29.8,3.4,2.0,3.4,5.5,1.8,1.8,1.8
89,,9月30日(火),船橋,第7回2日目,13,2,10R,3,1,11R,3,1,12R,3,2,,,"503,265",,6.5,2.3,6.5,2.3,6.5,4.0,1.8,1.8,1.8
90,,9月30日(火),門別,第13回1日目,15,3,10R,1,5,11R,1,4,12R,1,3,,,"68,870",,2.0,11.0,2.0,8.1,2.0,5.5,1.5,1.5,1.5
190,,7月5日(土),船橋,第4回4日目,19,2,10R,1,3,11R,4,3,12R,1,7,,,"632,200",,2.3,6.5,9.5,6.5,2.3,25.0,2.4,2.4,2.4
92,,9月26日(金),浦和,第6回5日目,18,2,10R,2,1,11R,2,4,12R,1,8,,,"1,679,045",,3.6,2.1,3.6,8.6,2.1,31.5,1.9,1.9,1.9
93,,9月25日(木),浦和,第6回4日目,22,1,10R,4,3,11R,1,3,12R,6,5,,,"1,660,545",,8.6,5.9,2.1,5.9,16.2,11.7,2.4,2.4,2.4
94,,9月25日(木),門別,第12回6日目,19,1,10R,5,2,11R,5,2,12R,1,4,,,"1,459,630",,11.0,3.4,11.0,3.4,2.0,8.1,2.0,2.0,2.0
95,,9月24日(水),浦和,第6回3日目,11,3,10R,1,4,11R,1,2,12R,1,2,,,"46,940",,2.1,8.6,2.1,3.6,2.1,3.6,1.4,1.4,1.4
96,,9月24日(水),門別,第12回5日目,19,2,10R,9,2,11R,1,4,12R,1,2,,,"1,764,445",,42.5,3.4,2.0,8.1,2.0,3.4,2.0,2.0,2.0
97,,9月23日(火),浦和,第6回2日目,23,2,10R,1,4,11R,1,8,12R,4,5,,,"2,232,100",,2.1,8.6,2.1,31.5,8.6,11.7,2.4,2.4,2.4
98,,9月23日(火),門別,第12回4日目,20,2,10R,5,1,11R,1,2,12R,6,5,,,"657,505",,11.0,2.0,2.0,3.4,15.3,11.0,2.0,2.0,2.0
99,,9月22日(月),浦和,第6回1日目,14,2,10R,3,1,11R,1,4,12R,2,3,,,"212,130",,5.9,2.1,2.1,8.6,3.6,5.9,1.6,1.6,1.6
100,,9月19日(金),大井,第9回5日目,19,1,10R,4,2,11R,6,4,12R,1,2,,,"16,870,705",,10.5,4.4,19.8,10.5,2.5,4.4,2.6,2.6,2.6
203,1,6月26日(木),浦和,第3回4日目,12,2,10R,1,3,11R,2,3,12R,1,2,1,,"140,415",,2.1,5.9,3.6,5.9,2.1,3.6,1.4,1.4,1.4
102,,9月18日(木),門別,第12回3日目,19,2,10R,1,3,11R,8,3,12R,3,1,,,"4,428,890",,2.0,5.5,29.8,5.5,5.5,2.0,2.0,2.0,2.0
103,,9月17日(水),大井,第9回3日目,24,2,10R,8,3,11R,3,1,12R,8,1,,,,"12,270,391",38.5,7.2,7.2,2.5,38.5,2.5,3.0,3.0,3.0
104,,9月17日(水),門別,第12回2日目,19,1,10R,2,1,11R,2,6,12R,2,6,1,,"1,322,140",,3.4,2.0,3.4,15.3,3.4,15.3,2.0,2.0,2.0
105,,9月16日(火),大井,第9回2日目,19,2,10R,1,6,11R,6,3,12R,1,2,,,"227,450",,2.5,19.8,19.8,7.2,2.5,4.4,2.6,2.6,2.6
106,,9月16日(火),門別,第12回1日目,26,0,10R,9,7,11R,2,3,12R,2,3,,,,"5,348,931",42.5,21.2,3.4,5.5,3.4,5.5,2.5,2.5,2.5
107,,9月15日(月),大井,第9回1日目,28,1,10R,1,2,11R,3,11,12R,4,7,,,"14,634,025",,2.5,4.4,7.2,104.5,10.5,27.5,3.3,3.3,3.3
108,,9月12日(金),川崎,第7回5日目,18,3,10R,6,1,11R,1,4,12R,5,1,,,"2,588,245",,18.0,2.3,2.3,9.5,13.0,2.3,2.1,2.1,2.1
109,,9月11日(木),門別,第11回6日目,21,2,10R,7,3,11R,1,7,12R,2,1,,,"899,765",,21.2,5.5,2.0,21.2,3.4,2.0,2.0,2.0,2.0
110,,9月10日(水),川崎,第7回3日目,19,1,10R,3,1,11R,2,4,12R,3,6,,,"1,407,060",,6.5,2.3,4.0,9.5,6.5,18.0,2.4,2.4,2.4
111,,9月10日(水),門別,第11回5日目,17,2,10R,1,5,11R,6,2,12R,1,2,,,"834,265",,2.0,11.0,15.3,3.4,2.0,3.4,1.8,1.8,1.8
112,,9月9日(火),川崎,第7回2日目,21,2,10R,2,7,11R,1,3,12R,7,1,,,"2,788,005",,4.0,25.0,2.3,6.5,25.0,2.3,2.4,2.4,2.4
113,,9月9日(火),門別,第11回4日目,14,3,10R,2,1,11R,1,4,12R,1,5,,,"444,455",,3.4,2.0,2.0,8.1,2.0,11.0,1.5,1.5,1.5
114,,9月8日(月),川崎,第7回1日目,26,2,10R,2,10,11R,1,8,12R,1,4,,,"2,502,045",,4.0,70.0,2.3,35.0,2.3,9.5,3.0,3.0,3.0
115,,9月5日(金),大井,第8回5日目,27,1,10R,3,6,11R,2,6,12R,1,9,,,"3,870,820",,7.2,19.8,4.4,19.8,2.5,55.0,3.3,3.3,3.3
35,3,11月14日(金),大井,第12回5日目,16,3,10R,1,6,11R,1,2,12R,1,5,,,"155,255",,2.5,19.8,2.5,4.4,2.5,14.3,2.3,2.3,2.3
117,6,9月4日(木),門別,第11回3日目,16,1,10R,3,2,11R,1,3,12R,4,3,,,"439,495",,5.5,3.4,2.0,5.5,8.1,5.5,1.8,1.8,1.8
118,,9月3日(水),大井,第8回3日目,23,2,10R,1,3,11R,1,9,12R,6,3,,,,"13,230,462",2.5,7.2,2.5,55.0,19.8,7.2,3.0,3.0,3.0
119,,9月3日(水),門別,第11回2日目,16,2,10R,1,5,11R,2,1,12R,5,2,,,"2,259,185",,2.0,11.0,3.4,2.0,11.0,3.4,1.8,1.8,1.8
120,,9月2日(火),大井,第8回2日目,17,1,10R,2,1,11R,2,3,12R,4,5,,,"641,925",,4.4,2.5,4.4,7.2,10.5,14.3,2.3,2.3,2.3
121,,9月2日(火),門別,第11回1日目,23,0,10R,6,5,11R,3,4,12R,2,3,1,,"9,966,360",,15.3,11.0,5.5,8.1,3.4,5.5,2.3,2.3,2.3
122,,9月1日(月),大井,第8回1日目,15,3,10R,1,3,11R,7,1,12R,1,2,,,"228,825",,2.5,7.2,27.5,2.5,2.5,4.4,2.0,2.0,2.0
123,,8月31日(日),船橋,第6回5日目,12,3,10R,2,1,11R,5,1,12R,2,1,1,,"322,075",,4.0,2.3,13.0,2.3,4.0,2.3,1.5,1.5,1.5
124,,8月29日(金),船橋,第6回3日目,18,2,10R,8,2,11R,1,4,12R,1,2,,,,"12,222,112",35.0,4.0,2.3,9.5,2.3,4.0,2.1,2.1,2.1
125,,8月28日(木),船橋,第6回2日目,17,2,10R,4,1,11R,3,1,12R,6,2,,,"828,640",,9.5,2.3,6.5,2.3,18.0,4.0,2.1,2.1,2.1
126,,8月28日(木),門別,第10回6日目,20,1,10R,2,8,11R,4,2,12R,3,1,,,,"7,446,166",3.4,29.8,8.1,3.4,5.5,2.0,2.0,2.0,2.0
48,1,11月4日(火),船橋,第8回2日目,12,2,10R,1,3,11R,2,3,12R,1,2,,,"157,070",,2.3,6.5,4.0,6.5,2.3,4.0,1.5,1.5,1.5
128,,8月27日(水),門別,第10回5日目,20,2,10R,1,6,11R,7,1,12R,3,2,,,"605,420",,2.0,15.3,21.2,2.0,5.5,3.4,2.0,2.0,2.0
129,,8月26日(火),川崎,第6回4日目,24,0,10R,2,3,11R,3,4,12R,3,9,,,"4,347,640",,4.0,6.5,6.5,9.5,6.5,50.0,2.7,2.7,2.7
130,,8月26日(火),門別,第10回4日目,19,2,10R,6,3,11R,1,2,12R,1,6,,,"823,085",,15.3,5.5,2.0,3.4,2.0,15.3,2.0,2.0,2.0
131,,8月25日(月),川崎,第6回3日目,22,1,10R,2,9,11R,1,2,12R,6,2,1,,"629,215",,4.0,50.0,2.3,4.0,18.0,4.0,2.7,2.7,2.7
132,,8月22日(金),川崎,第6回2日目,28,1,10R,10,3,11R,1,7,12R,5,2,,,,"11,386,011",70.0,6.5,2.3,25.0,13.0,4.0,3.0,3.0,3.0
133,,8月21日(木),川崎,第6回1日目,10,3,10R,1,2,11R,3,1,12R,2,1,,,"71,750",,2.3,4.0,6.5,2.3,4.0,2.3,1.5,1.5,1.5
134,,8月21日(木),門別,第10回3日目,18,2,10R,5,7,11R,2,1,12R,1,2,,,"533,350",,11.0,21.2,3.4,2.0,2.0,3.4,1.8,1.8,1.8
135,,8月20日(水),浦和,第5回4日目,22,1,10R,1,2,11R,3,7,12R,2,7,,,"4,211,745",,2.1,3.6,5.9,22.5,3.6,22.5,2.4,2.4,2.4
136,,8月20日(水),門別,第10回2日目,23,1,10R,9,5,11R,3,2,12R,1,3,,,"2,089,035",,42.5,11.0,5.5,3.4,2.0,5.5,2.3,2.3,2.3
137,,8月19日(火),浦和,第5回3日目,19,1,10R,4,2,11R,2,6,12R,4,1,,,"3,103,290",,8.6,3.6,3.6,16.2,8.6,2.1,2.2,2.2,2.2
12,,12月18日(木),川崎,第10回4日目,20,2,10R,1,3,11R,2,3,12R,1,10,,,"581,445",,2.3,6.5,4.0,6.5,2.3,70.0,2.4,2.4,2.4
139,,8月18日(月)同着あり,浦和,第5回2日目,18,2,10R,2,1,11R同着,5,1,12R,4,5,,,"702,800",,3.6,2.1,11.7,2.1,8.6,11.7,1.9,1.9,1.9
140,,8月18日(月)同着あり,浦和,第5回2日目,20,1,10R,2,1,11R同着,5,3,12R,4,5,,,"2,108,330",,3.6,2.1,11.7,5.9,8.6,11.7,2.2,2.2,2.2
141,,8月15日(金),浦和,第5回1日目,10,3,10R,1,2,11R,1,3,12R,2,1,,,"23,375",,2.1,3.6,2.1,5.9,3.6,2.1,1.4,1.4,1.4
142,,8月15日(金),大井,第7回6日目,14,2,8R,3,1,9R,4,3,10R,1,2,,,"125,385",,7.2,2.5,10.5,7.2,2.5,4.4,2.0,2.0,2.0
91,1,9月29日(月),船橋,第7回1日目,14,2,10R,1,5,11R,3,2,12R,2,1,,,"163,535",,2.3,13.0,6.5,4.0,4.0,2.3,1.8,1.8,1.8
144,,8月14日(木),門別,第9回6日目,11,2,10R,2,3,11R,2,1,12R,2,1,,,"283,505",,3.4,5.5,3.4,2.0,3.4,2.0,1.3,1.3,1.3
145,,8月13日(水),大井,第7回4日目,33,1,10R,1,9,11R,3,5,12R,6,9,,,"11,748,925",,2.5,55.0,7.2,14.3,19.8,55.0,3.9,3.9,3.9
146,,8月13日(水),門別,第9回5日目,13,3,10R,2,1,11R,1,5,12R,1,3,,,"28,125",,3.4,2.0,2.0,11.0,2.0,5.5,1.5,1.5,1.5
147,,8月12日(火),大井,第7回3日目,13,2,8R,2,3,9R,1,3,10R,1,3,,,"51,960",,4.4,7.2,2.5,7.2,2.5,7.2,2.0,2.0,2.0
148,3,8月12日(火),門別,第9回4日目,19,3,10R,1,4,11R,1,5,12R,1,7,,,"79,770",,2.0,8.1,2.0,11.0,2.0,21.2,2.0,2.0,2.0
149,,8月11日(月),大井,第7回2日目,21,3,9R,1,4,10R,1,9,11R,1,5,,,"211,730",,2.5,10.5,2.5,55.0,2.5,14.3,2.6,2.6,2.6
