ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON
29,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
30,4コマ基本,日本のビジネスマンガ調。テーマ=半導体。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
31,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""クラウド"", ""巨大なデータセンターと設備投資の数字が示される""], [""ミナミ"", ""成長にはお金も電力も必要""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
32,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""クラウドの論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
33,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""クラウドの論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
34,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""クラウドの論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
35,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
36,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
37,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
38,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
39,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
40,4コマ基本,日本のビジネスマンガ調。テーマ=クラウド。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
41,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ソフトウェア"", ""AI機能を追加した業務ソフトを比較する""], [""ミナミ"", ""便利さが追加料金に変わるかが勝負""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
42,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""ソフトウェアの論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
43,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""ソフトウェアの論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
44,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""ソフトウェアの論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
45,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
46,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
47,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
48,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
49,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
50,4コマ基本,日本のビジネスマンガ調。テーマ=ソフトウェア。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
51,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""分析"", ""ミナミが決算資料から売上、利益率、CapExを抜き出す""], [""ミナミ"", ""ニュースより数字を見る""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
52,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""分析の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
53,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""分析の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
54,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""分析の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
55,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
56,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
57,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
58,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
59,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
60,4コマ基本,日本のビジネスマンガ調。テーマ=分析。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
61,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""配分"", ""コア資産とサテライトAIテーマの円グラフを作る""], [""ミナミ"", ""最初に決めるのは割合""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
62,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""配分の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
63,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""配分の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
64,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""配分の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
65,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
66,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
67,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
68,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
69,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
70,4コマ基本,日本のビジネスマンガ調。テーマ=配分。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""私なら、資産全体の一部で試します""], [""高橋"", ""それが長く続けるための距離感だ""], [""チェック"", ""生活資金、分散、売る条件を確認""], [""ナレーション"", ""AIの未来より先に、自分のルールを決める""]]"
71,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""下落"", ""株価下落画面を見て慌てるミナミ""], [""ミナミ"", ""下がる前提で金額を決める""], [""高橋"", ""焦りではなく、判断軸を作ろう""], [""ナレーション"", ""AI株投資の旅が始まる""]]"
72,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""下落の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
73,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""下落の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
74,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""ミナミ"", ""AIって聞くと、全部伸びそうに見えます""], [""高橋"", ""伸びる業界でも、利益を取れる会社は限られる""], [""図解"", ""下落の論点を三つに分ける""], [""ミナミ"", ""買う前に、見る場所があるんですね""]]"
75,4コマ基本,日本のビジネスマンガ調。テーマ=下落。4コマ構成。AI株投資を煽らず、判断軸とリスク管理を伝える。,"[[""高橋"", ""数字を見よう。売上、利益率、現金、設備投資だ""], [""ミナミ"", ""株価だけ見ていたら気づけませんでした""], [""図解"", ""強気・標準・弱気の三つのシナリオ""], [""ナレーション"", ""期待を数字にすると、投資額も見えてくる""]]"
