ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
11,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉時代の武家屋敷、質素な板葺きの館、上野国新田荘の田園風景、秋の曇り空、哀愁漂う雰囲気、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチがだが足利は幕府に優遇され裕福だった。...と話している。オノマトペ「パッ」。背景は研究室の窓から差し込む柔らかい光。 + ヨウイチ「だが足利は幕府に優遇され裕福だった。」 [通常の吹き出し]
1|ヨウイチ|N|だが足利は幕府に優遇され裕福だった。"
12,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉時代の武家屋敷、質素な板葺きの館、上野国新田荘の田園風景、秋の曇り空、哀愁漂う雰囲気、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが一方の新田氏は無位無官の貧しい御家人だった。...と話している。オノマトペ「サッ」。背景は歴史書が積まれた机、古い文献が見える。 + ヨウイチ「一方の新田氏は無位無官の貧しい御家人だった。」 [通常の吹き出し]
1|ヨウイチ|N|一方の新田氏は無位無官の貧しい御家人だった。"
13,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、1333年の生品神社、鳥居の前に集結する鎧武者たち、朝もやの中で旗印がはためく、緊張感ある薄明かり、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが1333年、後醍醐天皇が倒幕の令旨を各地に飛ばした。...と話している。オノマトペ「フッ」。背景は平安時代の地方の役所、腐敗した役人。 + ヨウイチ「1333年、後醍醐天皇が倒幕の令旨を各地に飛ばした。」 [通常の吹き出し]
1|ヨウイチ|N|1333年、後醍醐天皇が倒幕の令旨を各地に飛ばした。"
14,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、1333年の生品神社、鳥居の前に集結する鎧武者たち、朝もやの中で旗印がはためく、緊張感ある薄明かり、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが義貞は生品神社の前でわずか150騎で挙兵する。...と話している。オノマトペ「パッ」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ヨウイチ「義貞は生品神社の前でわずか150騎で挙兵する。」 [通常の吹き出し]
1|ヨウイチ|N|義貞は生品神社の前でわずか150騎で挙兵する。"
15,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉時代の関東平野を進軍する武士の大軍、馬上の武者と足軽、砂埃が舞う街道、力強い構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユが150騎で幕府に挑むなんて無謀ですよね。...と話している。オノマトペ「スッ」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ミユ「150騎で幕府に挑むなんて無謀ですよね。」 [通常の吹き出し]
1|ミユ|N|150騎で幕府に挑むなんて無謀ですよね。"
16,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉時代の関東平野を進軍する武士の大軍、馬上の武者と足軽、砂埃が舞う街道、力強い構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチがだが幕府への不満を抱えた武士が次々と合流した。...と話している。オノマトペ「パッ」。背景は朝廷の宮殿、豪華な装飾と貴族たち。 + ヨウイチ「だが幕府への不満を抱えた武士が次々と合流した。」 [通常の吹き出し]
1|ヨウイチ|N|だが幕府への不満を抱えた武士が次々と合流した。"
17,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、分倍河原の合戦、騎馬武者同士の激しい衝突、矢が飛び交い刀がぶつかる戦場、迫力ある構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが軍勢は膨れ上がり、北条軍を次々に撃破して鎌倉に迫る。...と話している。オノマトペ「フッ」。背景は歴史書が積まれた机、古い文献が見える。 + ヨウイチ「軍勢は膨れ上がり、北条軍を次々に撃破して鎌倉に迫る。」 [通常の吹き出し]
1|ヨウイチ|N|軍勢は膨れ上がり、北条軍を次々に撃破して鎌倉に迫る。"
18,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、分倍河原の合戦、騎馬武者同士の激しい衝突、矢が飛び交い刀がぶつかる戦場、迫力ある構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユが破竹の勢いですね！...と話している。オノマトペ「バーン」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ミユ「破竹の勢いですね！」 [通常の吹き出し]
1|ミユ|N|破竹の勢いですね！"
19,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、鎌倉の遠景、三方を囲む切り立った山々と南の相模湾、天然の要塞としての威圧感、曇天の空、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチがだが鎌倉は三方を山、南を海に囲まれた天然の要塞だ。...と話している。オノマトペ「スッ」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ヨウイチ「だが鎌倉は三方を山、南を海に囲まれた天然の要塞だ。」 [通常の吹き出し]
1|ヨウイチ|N|だが鎌倉は三方を山、南を海に囲まれた天然の要塞だ。"
20,テンプレ4,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ4: 右側はキャラクターの表情、左側は状況や背景。
◆【作画】歴史漫画向け、稲村ヶ崎の断崖、荒波が打ちつける岩場で黄金の太刀を海に投じる鎧姿の義貞、神秘的な光が差し込む、フルカラー
◆【ストーリー】
1コマ目 (右): ヨウイチがここで有名な伝説が生まれる。...と話している。オノマトペ「ジーッ」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ヨウイチ「ここで有名な伝説が生まれる。」 [通常の吹き出し]
2コマ目 (左): ヨウイチが稲村ヶ崎の奇跡だ。...と話している。オノマトペ「ジーッ」。背景は研究室の窓から差し込む柔らかい光。 + ヨウイチ「稲村ヶ崎の奇跡だ。」 [通常の吹き出し]
1|ヨウイチ|N|ここで有名な伝説が生まれる。
2|ヨウイチ|N|稲村ヶ崎の奇跡だ。"
21,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、稲村ヶ崎の断崖、荒波が打ちつける岩場で黄金の太刀を海に投じる鎧姿の義貞、神秘的な光が差し込む、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが義貞は黄金の太刀を海に投じて龍神に祈った。...と話している。オノマトペ「フッ」。背景は歴史書が積まれた机、古い文献が見える。 + ヨウイチ「義貞は黄金の太刀を海に投じて龍神に祈った。」 [通常の吹き出し]
1|ヨウイチ|N|義貞は黄金の太刀を海に投じて龍神に祈った。"
22,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、稲村ヶ崎の断崖、荒波が打ちつける岩場で黄金の太刀を海に投じる鎧姿の義貞、神秘的な光が差し込む、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチがすると潮が引いて干潟が現れ、軍勢は鎌倉へ突入できた。...と話している。オノマトペ「フッ」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ヨウイチ「すると潮が引いて干潟が現れ、軍勢は鎌倉へ突入できた。」 [通常の吹き出し]
1|ヨウイチ|N|すると潮が引いて干潟が現れ、軍勢は鎌倉へ突入できた。"
23,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、稲村ヶ崎の海岸、潮が引いて干潟が広がる奇跡的な光景、月光に照らされた海岸を突き進む新田軍の騎馬武者、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユが龍神が味方したんですか！...と話している。オノマトペ「バーン」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ミユ「龍神が味方したんですか！」 [通常の吹き出し]
1|ミユ|N|龍神が味方したんですか！"
24,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、稲村ヶ崎の海岸、潮が引いて干潟が広がる奇跡的な光景、月光に照らされた海岸を突き進む新田軍の騎馬武者、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが実際には干潮を利用した作戦とも言われている。...と話している。オノマトペ「ザッ」。背景は将門の首が晒される京都の街。 + ヨウイチ「実際には干潮を利用した作戦とも言われている。」 [通常の吹き出し]
1|ヨウイチ|N|実際には干潮を利用した作戦とも言われている。"
25,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、燃え落ちる鎌倉の街並み、東勝寺が炎に包まれる壮絶な場面、赤と黒の煙が空を覆う、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが北条高時ら一族約870名が自害し、鎌倉幕府は滅亡した。...と話している。オノマトペ「サッ」。背景は研究室の窓から差し込む柔らかい光。 + ヨウイチ「北条高時ら一族約870名が自害し、鎌倉幕府は滅亡した。」 [通常の吹き出し]
1|ヨウイチ|N|北条高時ら一族約870名が自害し、鎌倉幕府は滅亡した。"
26,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、建武の新政期の京都御所、華やかな宮殿の中で不安げな表情の武将、光と影のコントラスト、不穏な空気、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチがだが、ここから義貞の悲劇が始まる。...と話している。オノマトペ「サッ」。背景は歴史書が積まれた机、古い文献が見える。 + ヨウイチ「だが、ここから義貞の悲劇が始まる。」 [通常の吹き出し]
1|ヨウイチ|N|だが、ここから義貞の悲劇が始まる。"
27,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、建武の新政期の京都御所、華やかな宮殿の中で不安げな表情の武将、光と影のコントラスト、不穏な空気、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユが幕府を倒した英雄なのに、ですか？...と話している。オノマトペ「キョトン」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ミユ「幕府を倒した英雄なのに、ですか？」 [通常の吹き出し]
1|ミユ|N|幕府を倒した英雄なのに、ですか？"
28,テンプレ2,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ2: 右側はキャラクターのアップ、左側は背景や状況描写。
◆【作画】歴史漫画向け、建武の新政の朝廷、豪華な束帯姿の足利尊氏と質素な直垂姿の義貞の対比、格差を象徴する構図、フルカラー
◆【ストーリー】
1コマ目 (右): ヨウイチが論功行賞で足利尊氏は従三位を得たが、...と話している。オノマトペ「パッ」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ヨウイチ「論功行賞で足利尊氏は従三位を得たが、」 [通常の吹き出し]
2コマ目 (左): ヨウイチが義貞は従四位止まりだった。...と話している。オノマトペ「パッ」。背景は古い日本の巻物や歴史書が並ぶ本棚。 + ヨウイチ「義貞は従四位止まりだった。」 [通常の吹き出し]
1|ヨウイチ|N|論功行賞で足利尊氏は従三位を得たが、
2|ヨウイチ|N|義貞は従四位止まりだった。"
29,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、建武の新政の朝廷、豪華な束帯姿の足利尊氏と質素な直垂姿の義貞の対比、格差を象徴する構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユが鎌倉を攻め落としたのは義貞なのに！...と話している。オノマトペ「バーン」。背景は研究室の窓から差し込む柔らかい光。 + ミユ「鎌倉を攻め落としたのは義貞なのに！」 [通常の吹き出し]
1|ミユ|N|鎌倉を攻め落としたのは義貞なのに！"
30,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、足利尊氏の館に集まる武士たち、恩賞を受け取る場面と孤立する義貞の対比、冷たい空気感、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが尊氏は武士に恩賞を配り、政治力で求心力を高めた。...と話している。オノマトペ「ジーッ」。背景は戦場の風景、武士たちが戦う様子。 + ヨウイチ「尊氏は武士に恩賞を配り、政治力で求心力を高めた。」 [通常の吹き出し]
1|ヨウイチ|N|尊氏は武士に恩賞を配り、政治力で求心力を高めた。"
31,テンプレ2,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ2: 右側はキャラクターのアップ、左側は背景や状況描写。
◆【作画】歴史漫画向け、足利尊氏の館に集まる武士たち、恩賞を受け取る場面と孤立する義貞の対比、冷たい空気感、フルカラー
◆【ストーリー】
1コマ目 (右): ヨウイチが義貞は天皇への忠義を貫いたが、...と話している。オノマトペ「スッ」。背景は古い国府の建物、役人が集まる。 + ヨウイチ「義貞は天皇への忠義を貫いたが、」 [通常の吹き出し]
2コマ目 (左): ヨウイチが武士の支持を得たのは尊氏だった。...と話している。オノマトペ「フッ」。背景は平安時代の農村、田畑が広がる。 + ヨウイチ「武士の支持を得たのは尊氏だった。」 [通常の吹き出し]
1|ヨウイチ|N|義貞は天皇への忠義を貫いたが、
2|ヨウイチ|N|武士の支持を得たのは尊氏だった。"
32,テンプレ1,"◆【絶対最優先】キャラクター外見: ミユ: 添付のミユ.pngと同一
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、足利尊氏の館に集まる武士たち、恩賞を受け取る場面と孤立する義貞の対比、冷たい空気感、フルカラー
◆【ストーリー】
1コマ目 (全体): ミユが戦では勝てても政治では勝てなかったんですね。...と話している。オノマトペ「ザッ」。背景は京都の御所、天皇の権威を示す建物。 + ミユ「戦では勝てても政治では勝てなかったんですね。」 [通常の吹き出し]
1|ミユ|N|戦では勝てても政治では勝てなかったんですね。"
33,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、雪の北陸道を落ち延びる義貞の軍勢、吹雪の中を進む少数の騎馬武者、灰色の空と白い雪原、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが尊氏が天皇に反旗を翻すと、義貞は天皇側として戦い続けた。...と話している。オノマトペ「ザッ」。背景は関東の武士の館、質実剛健な雰囲気。 + ヨウイチ「尊氏が天皇に反旗を翻すと、義貞は天皇側として戦い続けた。」 [通常の吹き出し]
1|ヨウイチ|N|尊氏が天皇に反旗を翻すと、義貞は天皇側として戦い続けた。"
34,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、雪の北陸道を落ち延びる義貞の軍勢、吹雪の中を進む少数の騎馬武者、灰色の空と白い雪原、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチがだが戦況は悪化し、北陸の越前へ落ち延びる。...と話している。オノマトペ「ザッ」。背景は平安時代の巻物や文献が広げられている。 + ヨウイチ「だが戦況は悪化し、北陸の越前へ落ち延びる。」 [通常の吹き出し]
1|ヨウイチ|N|だが戦況は悪化し、北陸の越前へ落ち延びる。"
35,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、越前の水田地帯を駆ける50騎の武者、薄暗い曇天、緊迫感のある構図、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが1338年、義貞はわずか50騎で味方の救援に向かった。...と話している。オノマトペ「サッ」。背景は歴史の扉が開かれるイメージ、光が差し込む。 + ヨウイチ「1338年、義貞はわずか50騎で味方の救援に向かった。」 [通常の吹き出し]
1|ヨウイチ|N|1338年、義貞はわずか50騎で味方の救援に向かった。"
36,テンプレ1,"◆【絶対最優先】キャラクター外見: ヨウイチ: 添付のヨウイチ.pngと同一でヨウイチは眼鏡をかけない
◆【出力サイズ】--ar 16:9
◆【コマ構成】テンプレ1: 全画面で登場人物が話している。
◆【作画】歴史漫画向け、藤島の戦い、灯明寺畷の泥濘で矢を受けて膝をつく義貞、眉間に矢が刺さった壮絶な姿、雨に煙る戦場、フルカラー
◆【ストーリー】
1コマ目 (全体): ヨウイチが途中で敵と遭遇し、眉間に矢を受けて落馬した。...と話している。オノマトペ「サッ」。背景は大学の研究室、本棚と机が見える歴史的な雰囲気。 + ヨウイチ「途中で敵と遭遇し、眉間に矢を受けて落馬した。」 [通常の吹き出し]
1|ヨウイチ|N|途中で敵と遭遇し、眉間に矢を受けて落馬した。"
