母馬名,母馬の馬齢,経過年数t,入厩,父,性別,募集総額_万円,厩舎,枠の口数,予測D_口,予測D_下位10%,予測D_上位10%,枠が埋まる確率,中間発表の観測年数,抽選ランクの観測年数,産駒数,馬体重,馬体重補正_倍,馬体重を使わない確率
クルミナル,14,13,関東,ウエストオーバー,牡馬,6000万,森一誠,200,139,63,308,0.279,1,3,7,487.0,1.18,0.198
リュラ,13,12,関西,モーリス,牡馬,4000万,佐藤悠太,200,121,49,299,0.238,1,1,7,458.0,1.18,0.173
シーリア,11,10,関東,キズナ,牡馬,8000万,辻哲英,200,119,47,300,0.236,2,2,4,402.0,0.54,0.561
マルシュロレーヌ,10,9,関西,キズナ,牡馬,12000万,矢作芳人,200,117,51,271,0.207,1,2,3,430.0,0.93,0.238
リスグラシュー,12,11,関西,イクイノックス,めす,8000万,矢作芳人,200,117,53,258,0.192,2,3,4,452.0,1.18,0.129
ダイアナブライト,10,9,関西,ニューイヤーズデイ,めす,4000万,石坂公一,200,90,35,232,0.140,0,2,3,440.0,1.13,0.107
エールデュレーヴ,13,12,関東,エフフォーリア,牡馬,5000万,鹿戸雄一,200,90,40,203,0.104,0,4,6,430.0,0.93,0.124
レシステンシア,9,8,関西,イクイノックス,めす,8000万,松下武士,200,71,25,202,0.102,1,1,2,393.0,0.45,0.366
ヴィルデローゼ,12,11,関西,ニューイヤーズデイ,牡馬,4000万,松永幹夫,200,75,29,193,0.092,0,2,3,448.0,1.18,0.061
エリスライト,11,10,関西,ドレフォン,めす,4000万,藤岡健一,200,77,32,189,0.086,2,3,4,403.0,0.55,0.282
ヴィータアレグリア,15,14,関西,カフェファラオ,めす,4000万,高野友和,200,80,36,176,0.068,2,4,8,436.0,1.04,0.059
リラヴァティ,15,14,関西,ウエストオーバー,牡馬,8000万,安田翔伍,200,73,31,170,0.063,1,3,8,470.0,1.18,0.038
ハープスター,15,14,関東,エピファネイア,牡馬,8000万,田中博康,200,61,23,161,0.059,0,1,4,443.0,1.18,0.038
ペルレンケッテ,18,17,地方,ホットロッドチャーリー,めす,1800万,門別・田中淳司厩舎or大井・荒山勝徳厩舎,50,18,8,38,0.042,0,2,9,417.0,0.72,0.104
グリューヴァイン,14,13,関東,ニューイヤーズデイ,めす,3000万,戸田博文,200,67,30,150,0.042,1,5,7,432.0,0.96,0.046
アドヴェントス,13,12,関西,グレナディアガーズ,めす,2400万,小栗実,200,63,27,148,0.041,1,3,6,429.0,0.91,0.053
ローズノーブル,17,16,関西,ピクシーナイト,牡馬,4600万,杉山晴紀,200,62,28,140,0.033,1,5,9,429.0,0.91,0.043
バウンスシャッセ,15,14,関西,ルーラーシップ,牡馬,5000万,吉岡辰弥,200,52,22,125,0.024,0,4,8,442.0,1.17,0.014
カイゼリン,21,20,関西,ヴェラアズール,牡馬,2000万,西園翔太,200,38,17,88,0.005,0,1,12,475.0,1.18,0.003
アヴェンチュラ,18,17,関西,サートゥルナーリア,めす,4000万,武英智,200,25,10,64,0.002,0,2,9,413.0,0.67,0.007
バイラオーラ,20,19,関東,ホットロッドチャーリー,めす,2000万,竹内正洋,200,17,7,44,0.000,0,4,9,400.0,0.52,0.003
