募集年度,募集番号,母馬名,母馬の生年,母馬の馬齢,母馬の募集年度,経過年数t,抽選ランク,母馬優先枠で抽選
2022,87,ピエリーナ,2011,11,2012,10,J,0
2022,92,ココファンタジア,2013,9,2014,8,確定,0
2022,93,ブランシェクール,2013,9,2014,8,B,1
2023,01,マリアライト,2011,12,2012,11,E,1
2023,03,ヴィルデローゼ,2014,9,2015,8,J,0
2023,04,ラドラーダ,2006,17,2007,16,J,0
2023,05,アヴェンチュラ,2008,15,2009,14,確定,0
2023,07,リリーバレロ,2015,8,2016,7,J,0
2023,08,ピュアブリーゼ,2008,15,2009,14,J,0
2023,09,ファナティック,2016,7,2017,6,I,1
2023,10,クルミナル,2012,11,2013,10,H,0
2023,13,レオパルディナ,2012,11,2013,10,J,0
2023,15,ミリッサ,2014,9,2015,8,E,1
2023,17,ルヴォワール,2014,9,2015,8,I,1
2023,18,リラヴァティ,2011,12,2012,11,確定,0
2023,19,ベルディーヴァ,2012,11,2013,10,J,0
2023,20,エールデュレーヴ,2013,10,2014,9,J,0
2023,22,グリューヴァイン,2012,11,2013,10,J,0
2023,23,ディアデラマドレ,2010,13,2011,12,H,0
2023,24,マスターワーク,2017,6,2018,5,確定,0
2023,29,セレナズヴォイス,2017,6,2018,5,J,0
2023,30,フォルテピアノ,2003,20,2004,19,確定,0
2023,32,ティンバレス,2012,11,2013,10,I,1
2023,33,エリスライト,2015,8,2016,7,J,0
2023,34,コンダクトレス,2015,8,2016,7,I,1
2023,36,ピースエンブレム,2006,17,2007,16,J,0
2023,37,ピンクアリエス,2007,16,2008,15,J,0
2023,39,サンブルエミューズ,2010,13,2011,12,J,0
2023,41,アンフィトリテ,2015,8,2016,7,I,1
2023,44,ヴィータアレグリア,2011,12,2012,11,J,0
2023,45,フェルミオン,2006,17,2007,16,J,0
2023,47,スペクトロライト,2010,13,2011,12,J,0
2023,48,ローズノーブル,2009,14,2010,13,J,0
2023,57,ハープスター,2011,12,2012,11,G,0
2023,59,リカビトス,2014,9,2015,8,A,1
2023,63,エリティエール,2014,9,2015,8,J,0
2023,64,フィニフティ,2015,8,2016,7,E,1
2023,65,ローガンサファイア,2010,13,2011,12,確定,0
2023,66,アロマドゥルセ,2014,9,2015,8,確定,0
2023,67,プルメリアスター,2012,11,2013,10,確定,0
2023,68,ディーパワンサ,2014,9,2015,8,確定,0
2023,71,エスティタート,2013,10,2014,9,I,1
2023,72,カイカヨソウ,2010,13,2011,12,J,0
2023,73,アドヴェントス,2013,10,2014,9,J,0
2023,74,ブルーメンブラット,2003,20,2004,19,J,0
2023,80,グランデアモーレ,2010,13,2011,12,J,0
2023,85,ブルーメンクローネ,2015,8,2016,7,J,0
2023,87,ヴィートマルシェ,2002,21,2003,20,G,0
2023,88,ペルレンケッテ,2008,15,2009,14,確定,0
2023,89,パドゥヴァルス,2017,6,2018,5,E,1
2023,90,ビットレート,2012,11,2013,10,I,1
2023,94,レーゲンボーゲン,2002,21,2003,20,確定,0
2024,11,コントラチェック,2016,8,2017,7,5C,0
2024,12,フェルミオン,2006,18,2007,17,5D,0
2024,13,バウンスシャッセ,2011,13,2012,12,5D,0
2024,15,シーリア,2015,9,2016,8,4C,1
2024,16,ダイアナブライト,2016,8,2017,7,5D,0
2024,17,マリアライト,2011,13,2012,12,5E,0
2024,18,ルージュバック,2012,12,2013,11,4C,1
2024,19,アロマドゥルセ,2014,10,2015,9,5E,0
2024,21,ディーパワンサ,2014,10,2015,9,4D,1
2024,24,ピースエンブレム,2006,18,2007,17,5E,0
2024,26,ピンクアリエス,2007,17,2008,16,5D,0
2024,27,セレナズヴォイス,2017,7,2018,6,4D,1
2024,28,カイカヨソウ,2010,14,2011,13,5D,0
2024,3,ケイティーズハート,2009,15,2010,14,5D,0
2024,31,エンジェルフォール,2009,15,2010,14,5E,0
2024,33,ヴィータアレグリア,2011,13,2012,12,5D,0
2024,35,リラヴァティ,2011,13,2012,12,5C,0
2024,36,エリスライト,2015,9,2016,8,5D,0
2024,38,ローガンサファイア,2010,14,2011,13,5E,0
2024,4,フロアクラフト,2010,14,2011,13,5D,0
2024,40,ネオフレグランス,2014,10,2015,9,5D,0
2024,41,コンダクトレス,2015,9,2016,8,4D,1
2024,42,デスティノアーラ,2018,6,2019,5,5E,0
2024,44,プラチナブロンド,2011,13,2012,12,4C,1
2024,45,ローズノーブル,2009,15,2010,14,5D,0
2024,46,パドゥヴァルス,2017,7,2018,6,4D,1
2024,47,クロウエア,2016,8,2017,7,4D,1
2024,48,ベルクワイア,2016,8,2017,7,5E,0
2024,49,アップライトスピン,2016,8,2017,7,4C,1
2024,5,アールブリュット,2012,12,2013,11,5D,0
2024,52,フィルムフェスト,2016,8,2017,7,4C,1
2024,53,ムーンティアーズ,2018,6,2019,5,4D,1
2024,56,シンハライト,2013,11,2014,10,4A,1
2024,57,リスグラシュー,2014,10,2015,9,5C,0
2024,60,クルミネイト,2016,8,2017,7,5D,0
2024,61,ココファンタジア,2013,11,2014,10,5C,0
2024,62,ミリッサ,2014,10,2015,9,4C,1
2024,63,リカビトス,2014,10,2015,9,4C,1
2024,64,ベルディーヴァ,2012,12,2013,11,5D,0
2024,65,エリティエール,2014,10,2015,9,5D,0
2024,66,マルシュロレーヌ,2016,8,2017,7,5D,0
2024,67,ブランシェクール,2013,11,2014,10,4D,1
2024,69,ヴィルデローゼ,2014,10,2015,9,5E,0
2024,70,リャスナ,2016,8,2017,7,5D,0
2024,71,ベルプラージュ,2011,13,2012,12,5D,0
2024,72,ブルーメンクローネ,2015,9,2016,8,4D,1
2024,74,パッシングスルー,2016,8,2017,7,3A,1
2024,75,クルークハイト,2014,10,2015,9,3B,1
2024,78,スペクトロライト,2010,14,2011,13,5D,0
2024,79,グリューヴァイン,2012,12,2013,11,5D,0
2024,81,コルコバード,2013,11,2014,10,4C,1
2024,83,アドヴェントス,2013,11,2014,10,5D,0
2024,85,プルメリアスター,2012,12,2013,11,4C,1
2024,86,エールデュレーヴ,2013,11,2014,10,5E,0
2024,88,ティンバレス,2012,12,2013,11,5E,0
2024,89,レオパルディナ,2012,12,2013,11,5D,0
2024,9,ラドラーダ,2006,18,2007,17,5B,0
2024,95,バイラオーラ,2006,18,2007,17,5E,0
2024,96,シシリアンブリーズ,2008,16,2009,15,5E,0
2025,1,ピンクアリエス,2007,18,2008,17,5D,0
2025,12,ルナリア,2010,15,2011,14,5E,0
2025,13,リュラ,2013,12,2014,11,5D,0
2025,14,エスティタート,2013,12,2014,11,5D,0
2025,16,ケイティーズハート,2009,16,2010,15,5D,0
2025,17,クルミナル,2012,13,2013,12,5D,0
2025,18,マリアライト,2011,14,2012,13,5D,0
2025,19,エリスライト,2015,10,2016,9,4B,1
2025,20,バウンスシャッセ,2011,14,2012,13,5E,0
2025,23,ゴールドティア,2017,8,2018,7,5D,0
2025,25,アーズローヴァー,2016,9,2017,8,4D,1
2025,26,ピュアブリーゼ,2008,17,2009,16,5E,0
2025,27,ローズノーブル,2009,16,2010,15,5A,0
2025,29,ヴァルキュリア,2017,8,2018,7,4D,1
2025,30,レオパルディナ,2012,13,2013,12,5E,0
2025,31,パドゥヴァルス,2017,8,2018,7,4D,1
2025,32,シーズンズギフト,2017,8,2018,7,4D,1
2025,35,アンフィトリテ,2015,10,2016,9,4D,1
2025,36,クルークハイト,2014,11,2015,10,4C,1
2025,38,ネオフレグランス,2014,11,2015,10,5D,0
2025,4,リカビトス,2014,11,2015,10,5C,0
2025,41,マイティースルー,2006,19,2007,18,5C,0
2025,42,エルカスティージョ,2018,7,2019,6,4D,1
2025,43,ベルディーヴァ,2012,13,2013,12,5D,0
2025,44,ブロンディーヴァ,2017,8,2018,7,5D,0
2025,48,マルシュロレーヌ,2016,9,2017,8,5A,0
2025,51,フィニフティ,2015,10,2016,9,4D,1
2025,52,ダイアナブライト,2016,9,2017,8,5D,0
2025,53,プルメリアスター,2012,13,2013,12,4A,1
2025,55,シンハライト,2013,12,2014,11,5B,0
2025,56,リスグラシュー,2014,11,2015,10,5B,0
2025,59,メサルティム,2015,10,2016,9,4C,1
2025,62,レシステンシア,2017,8,2018,7,5C,0
2025,63,シャルール,2012,13,2013,12,4D,1
2025,66,コルコバード,2013,12,2014,11,5E,0
2025,67,グリューヴァイン,2012,13,2013,12,5D,0
2025,68,ピースエンブレム,2006,19,2007,18,5D,0
2025,69,デスティノアーラ,2018,7,2019,6,4C,1
2025,7,フィリアプーラ,2016,9,2017,8,3B,1
2025,70,シーリア,2015,10,2016,9,4C,1
2025,72,クラシックリディア,2013,12,2014,11,4C,1
2025,74,ユールフェスト,2009,16,2010,15,5D,0
2025,75,ココファンタジア,2013,12,2014,11,5C,0
2025,76,パッシングスルー,2016,9,2017,8,5E,0
2025,77,エールデュレーヴ,2013,12,2014,11,5E,0
2025,78,クロワドフェール,2017,8,2018,7,4D,1
2025,79,バイラオーラ,2006,19,2007,18,5D,0
2025,81,アルドゥエンナ,2019,6,2020,5,5C,0
2025,84,アロマドゥルセ,2014,11,2015,10,5D,0
2025,85,カイカヨソウ,2010,15,2011,14,5E,0
2025,91,ヴィータアレグリア,2011,14,2012,13,5C,0
2025,92,マスターワーク,2017,8,2018,7,4D,1
2025,93,ティンバレス,2012,13,2013,12,5E,0
