"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"24","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): スマホ画面のクローズアップ。検索バーに「在宅ワーク　育児中　稼げる」と表示。 セリフ: なし ナレーション: ［四角枠］「在宅ワーク　育児中　稼げる」何度も検索したワードだった。結果もほぼ同じ。 オノマトペ: なし
2コマ目 (中段): 検索結果のイメージ。「データ入力」「月2〜3万円」「スキマ時間でOK!」の文字。 セリフ: なし ナレーション: ［四角枠］データ入力。月に2〜3万円。「スキマ時間でOK!」と書いてあるが、口コミを見ると「スキマ時間では全然終わらない」。 オノマトペ: なし
3コマ目 (下段): さらにスクロールする指。「アンケートモニター」「月数千円」の表示。 セリフ: なし ナレーション: ［四角枠］アンケートモニター。月に数千円。「ちょっとしたお小遣いに」。お小遣いがほしいんじゃない。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""「在宅ワーク　育児中　稼げる」何度も検索したワードだった。結果もほぼ同じ。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""データ入力。月に2〜3万円。「スキマ時間でOK!」と書いてあるが、口コミを見ると「スキマ時間では全然終わらない」。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""アンケートモニター。月に数千円。「ちょっとしたお小遣いに」。お小遣いがほしいんじゃない。""}]"
"25","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ6: 上1コマ＋下左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): スマホ画面にクラウドソーシングサイト。「ライティング」「デザイン」「プログラミング」のカテゴリが並ぶ。 セリフ: なし ナレーション: ［四角枠］クラウドソーシング。ライティング、デザイン、プログラミング——。ミサキには、どれも当てはまらなかった。 オノマトペ: なし
2コマ目 (下左): ミサキの記憶の中のオフィス風景。Excel画面、電話、書類の断片。 セリフ: なし ナレーション: ［四角枠］ライティングの経験はない。デザインソフトは触ったことがない。プログラミングなんて論外。事務職で身についたスキル。Excel、Word、メール対応、電話応対、書類整理、スケジュール管理——。 オノマトペ: なし
3コマ目 (下右): ミサキがスマホを握りしめ、暗い表情で呟いている。 セリフ: ［ミサキ］の吹き出しに「……こんなの、誰でもできるじゃん」 ナレーション: ［四角枠］自分で言って、自分で傷ついた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""クラウドソーシング。ライティング、デザイン、プログラミング——。ミサキには、どれも当てはまらなかった。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ライティングの経験はない。デザインソフトは触ったことがない。プログラミングなんて論外。事務職で身についたスキル。Excel、Word、メール対応、電話応対、書類整理、スケジュール管理——。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……こんなの、誰でもできるじゃん""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""自分で言って、自分で傷ついた。""}]"
"26","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ2: 上下2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): スマホ画面をスクロールし続けるミサキの手元。画面に「未経験OK! 簡単作業!」の文字。 セリフ: なし ナレーション: ［四角枠］スクロールを続ける。「未経験OK! 簡単作業!」——時給換算すると500円以下。 オノマトペ: なし
2コマ目 (下): ミサキが眉をひそめている。画面に「ママでもできる在宅ワーク!」の文字。 セリフ: なし ナレーション: ［四角枠］「ママでもできる在宅ワーク!」——「ママでもできる」という言葉に引っかかる。「でも」って何だ。ママは何かが劣っているのか。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""スクロールを続ける。「未経験OK! 簡単作業!」——時給換算すると500円以下。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""「ママでもできる在宅ワーク!」——「ママでもできる」という言葉に引っかかる。「でも」って何だ。ママは何かが劣っているのか。""}]"
"27","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがスマホの画面を閉じる。暗い画面。 セリフ: なし ナレーション: ［四角枠］画面を閉じた。閉じてすぐ、また開いた。 オノマトペ: パッ
2コマ目 (中段): スマホ画面に「事務職　スキル　活かせる　副業」と入力。検索結果に「経理代行」「秘書代行」「データ集計」。 セリフ: なし ナレーション: ［四角枠］「事務職　スキル　活かせる　副業」検索結果。経理代行、秘書代行、データ集計——。「実務経験3年以上」「簿記2級以上」「在宅不可」。条件が合わない。時間が合わない。 オノマトペ: なし
3コマ目 (下段): ミサキが膝を抱えてうつむいている。暗い部屋。 セリフ: ［ミサキ］の吹き出しに「……事務しかやったことない私に、何ができるの」 ナレーション: ［四角枠］あの夜中の授乳のときと、同じ言葉が出た。あのときと何も変わっていない。何も進んでいない。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""画面を閉じた。閉じてすぐ、また開いた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""「事務職　スキル　活かせる　副業」検索結果。経理代行、秘書代行、データ集計——。「実務経験3年以上」「簿記2級以上」「在宅不可」。条件が合わない。時間が合わない。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……事務しかやったことない私に、何ができるの""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""あの夜中の授乳のときと、同じ言葉が出た。あのときと何も変わっていない。何も進んでいない。""}]"
"28","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ3: 上小下大（上1コマ小＋下1コマ大）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): ベビーベッドで眠るひなたの寝顔アップ。柔らかい照明。 セリフ: なし ナレーション: ［四角枠］ひなたがまた寝てくれた。小さな寝顔を見つめる。 オノマトペ: すぅ…すぅ…
2コマ目 (下・大): ミサキの心象風景。退職した日の夜の記憶がフラッシュバック。暗い部屋で泣いた場面。 セリフ: なし ナレーション: ［四角枠］退職した日の夜、「ごめんね」と泣いたあの夜から、何が変わっただろう。退職した。名刺がなくなった。肩書きがなくなった。そして今日、通帳の残高を見て、現実を突きつけられた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなたがまた寝てくれた。小さな寝顔を見つめる。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""退職した日の夜、「ごめんね」と泣いたあの夜から、何が変わっただろう。退職した。名刺がなくなった。肩書きがなくなった。そして今日、通帳の残高を見て、現実を突きつけられた。""}]"
"29","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ2: 上下2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキの肩に暗い影が重くのしかかるイメージ。「アイデンティティの喪失」「経済的不安」の文字が影として表現。 セリフ: なし ナレーション: ［四角枠］アイデンティティの喪失に加えて、経済的な不安。二重の重しが、ミサキの肩にのしかかっている。 オノマトペ: なし
2コマ目 (下): ミサキが暗い部屋で天井を見上げている。涙は出ていない。 セリフ: なし ナレーション: ［四角枠］泣きたかった。でも、泣く気力もなかった。涙は、まだ希望があるときに出るのだと知った。「こうなりたかったのに」という理想と現実のギャップがあるから、悔しくて泣ける。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""アイデンティティの喪失に加えて、経済的な不安。二重の重しが、ミサキの肩にのしかかっている。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""泣きたかった。でも、泣く気力もなかった。涙は、まだ希望があるときに出るのだと知った。「こうなりたかったのに」という理想と現実のギャップがあるから、悔しくて泣ける。""}]"
"30","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ4: 上大下小（上1コマ大＋下1コマ小）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): ミサキが暗い天井を見つめている。目は開いているが光がない。 セリフ: なし ナレーション: ［四角枠］今のミサキには、「こうなりたい」が見えなくなっていた。ただ、暗い天井を見つめている。 オノマトペ: なし
2コマ目 (下・小): 暗い寝室の全景。ケンタとひなたの寝息が漂う穏やかな空間。ミサキだけが目を開けている。 セリフ: なし ナレーション: ［四角枠］ケンタの寝息が聞こえる。ひなたの寝息が聞こえる。二人は安心して眠っている。それだけで十分じゃないか、と自分に言い聞かせる。 オノマトペ: すぅ…すぅ…","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""今のミサキには、「こうなりたい」が見えなくなっていた。ただ、暗い天井を見つめている。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ケンタの寝息が聞こえる。ひなたの寝息が聞こえる。二人は安心して眠っている。それだけで十分じゃないか、と自分に言い聞かせる。""}]"
"31","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキの目のクローズアップ。決意とも絶望ともつかない光。 セリフ: なし ナレーション: ［四角枠］——十分じゃない。ミサキは自分自身に正直だった。家族を愛している。ひなたのそばにいたい。それは本当だ。 オノマトペ: なし
2コマ目 (中段): ミサキの心象風景。「自分で立っている」感覚が影のように消えていくイメージ。 セリフ: なし ナレーション: ［四角枠］でも、それだけでは埋まらないものがある。自分で立っているという感覚。自分の力で何かを成し遂げているという実感。それがないまま、この先何年も生きていくのは——。 オノマトペ: なし
3コマ目 (下段): ミサキが布団の中で小さく呟いている。 セリフ: ［ミサキ］の吹き出しに「……無理だ」 ナレーション: ［四角枠］小さく呟いた。無理だということは、わかった。でも、じゃあどうすればいいのかは、まだわからなかった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""——十分じゃない。ミサキは自分自身に正直だった。家族を愛している。ひなたのそばにいたい。それは本当だ。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""でも、それだけでは埋まらないものがある。自分で立っているという感覚。自分の力で何かを成し遂げているという実感。それがないまま、この先何年も生きていくのは——。""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""……無理だ""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""小さく呟いた。無理だということは、わかった。でも、じゃあどうすればいいのかは、まだわからなかった。""}]"
"32","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ2: 上下2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): スマホの画面が消える。暗い画面にミサキの顔が映っている。 セリフ: なし ナレーション: ［四角枠］スマホの画面が消えた。暗い画面に、自分の顔が映る。退職した日の夜と、同じ顔が映っていた。 オノマトペ: なし
2コマ目 (下): ミサキの表情が少し変化する。僅かな焦燥感。 セリフ: なし ナレーション: ［四角枠］——でも、一つだけ違うことがある。あの夜は「何者なんだろう」と問いかけた。今夜は「このままじゃ無理だ」と思った。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""スマホの画面が消えた。暗い画面に、自分の顔が映る。退職した日の夜と、同じ顔が映っていた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""——でも、一つだけ違うことがある。あの夜は「何者なんだろう」と問いかけた。今夜は「このままじゃ無理だ」と思った。""}]"
"33","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ4: 上大下小（上1コマ大＋下1コマ小）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): ミサキが暗い部屋で目を閉じている。わずかに朝の光が窓から差し始めている。 セリフ: なし ナレーション: ［四角枠］まだ答えは見えない。でも、「このままではいけない」という焦りだけは、確かにあった。それは苦しい感情だ。でも——もしかしたら——、何かが変わる前触れなのかもしれない。 オノマトペ: なし
2コマ目 (下・小): ミサキの横顔。暗い部屋の中、ほんの少しだけ口元が引き締まっている。 セリフ: なし ナレーション: ［四角枠］ミサキはそう思いたかった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""まだ答えは見えない。でも、「このままではいけない」という焦りだけは、確かにあった。それは苦しい感情だ。でも——もしかしたら——、何かが変わる前触れなのかもしれない。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキはそう思いたかった。""}]"
"34","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 夜明け前の窓際。カーテンの隙間から薄い光が差し込む。ミサキの後ろ姿のシルエット。静かだが、どこか決意を秘めた構図。 セリフ: なし ナレーション: ［四角枠］第4話「ワンオペと通帳残高」——おわり オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""第4話「ワンオペと通帳残高」——おわり""}]"
"35","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【コラム原文】
コラム④：「何もできない」は本当か？——事務職スキルの棚卸し

——キャリアコンサルタントの視点から

「事務しかやったことない私に、何ができるの」

ミサキは二度、この言葉を口にしました。一度目は第2話の夜。二度目は今回。同じ言葉が繰り返されるとき、それはその人の中にある一番深い思い込みです。

今回のコラムでは、この思い込みを真正面から検証します。

「事務」は本当に「何もないスキル」なのか？

事務職経験者が「自分には何もない」と感じるのは、極めてよくあるパターンです。その理由は明確で、事務職のスキルは〝目に見えにくい〟から。

営業なら「売上○○万円」と数字で語れます。エンジニアなら「○○を開発した」と成果物を見せられます。デザイナーならポートフォリオがある。

事務職には、そういった「わかりやすい実績」が残りにくい。でも、それはスキルがないのとは全く違います。

事務職スキルを分解してみる

ミサキが5年間の事務職で身につけたスキルを、細かく分解してみましょう。

・正確な書類作成 → 文章を構造化し、誤りなく仕上げる力
・Excel管理 → データを整理・集計・可視化する力
・スケジュール管理 → 複数のタスクを並行して管理する力
・電話・メール対応 → 相手に合わせたコミュニケーション力
・備品管理・発注 → 必要なものを予測し、先回りして動く力
・部署間調整 → 立場の違う人の間に立って調整する力

これらは「事務スキル」と呼ばれますが、本質は情報整理力、段取り力、コミュニケーション力です。そしてこれらは、あらゆる仕事の土台となるスキルです。

「誰でもできる」という錯覚

ミサキは「こんなの、誰でもできる」と言いました。

本当でしょうか？

試しに、Excelで関数を使ったことがない人に集計表を任せてみてください。議事録を取ったことがない人に会議のメモを頼んでみてください。電話対応の経験がない人に取引先からの電話を取らせてみてください。

「誰でもできる」ように見えるのは、できる人がやっているからです。

事務職の人は、自分のスキルを当たり前だと思っている。でも、それは5年間かけて磨いた専門性です。「誰でもできる」のではなく、「あなたが上手にできる」のです。

「自分には何もない」がもたらす悪循環

問題は、「何もない」という思い込みが、行動を止めてしまうことです。

「スキルがない」→「応募しても受からない」→「探しても無駄」→「何もしない」→「やっぱり何もできない」

この悪循環は、能力の問題ではなく認知の問題です。鏡を見て「自分は醜い」と思い込んでいる人が、どんなに身なりを整えても自分を好きになれないのと同じです。

可能性を狭めているのは、市場ではなく自分自身

在宅ワークの選択肢は、ミサキが検索した時代よりも遥かに広がっています。そしてその多くが、特別な技術よりも「正確さ」「丁寧さ」「段取り力」を求めています。

さらに言えば——この先ミサキが出会うことになるAIツールは、「専門スキルがない人」にこそ大きな力を与えます。事務スキルという土台の上にAIが乗ったとき、何が起きるか。

それは、次の話以降で明らかになります。

今のミサキに必要なのは、新しいスキルを身につけることではありません。自分がすでに持っているものに気づくことです。","[]"
"36","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 扉ページ。タイトル〝第5話 画面の向こうの先輩〟を画面中央に大きく配置。背景は物語の雰囲気を表す抽象的なイメージ。 セリフ: なし ナレーション: なし オノマトペ: なし","[]"
"37","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。

◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画（32歳女性、ショートボブの黒髪、丸顔）
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_2歳期.pngと100%同一の外見で描画（2歳女の子、短い黒髪のおかっぱ、ピンクのTシャツに白いズボン）
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ3: 上小下大（上1コマ小＋下1コマ大）
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): 暗い寝室の時計。午前2時を示している。 セリフ: なし ナレーション: ［四角枠］午前2時。ひなたの夜泣きで目が覚めた。 オノマトペ: えーん
2コマ目 (下・大): ミサキがひなたを抱き上げてトントンしている。表情は慣れた様子。 セリフ: なし ナレーション: ［四角枠］抱き上げて、トントンする。5分ほどで落ち着いた。最近は夜泣きの時間が短くなってきた。成長しているのだ。 オノマトペ: トントン","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""午前2時。ひなたの夜泣きで目が覚めた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""抱き上げて、トントンする。5分ほどで落ち着いた。最近は夜泣きの時間が短くなってきた。成長しているのだ。""}]"
