ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
25,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: タクヤは添付のタクヤ_20260329_224437.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: タクヤは白い無地シャツにベージュチノパン、黒縁メガネ。
◆【コマ構成】テンプレ7: 上左右2コマ+下1コマの3コマ構成（読み順: 上右→上左→下）
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上右): 回想シーン。タクヤがCLI画面に向かって必死にタイピングしている過去の姿。汗をかいている。 セリフ: ［タクヤ］の吹き出しに「昔は全部CLIでやってた」 オノマトペ: カタカタカタ
2コマ目 (上左): タクヤがIDE（VSCode）にClaude Code拡張機能が入った画面を発見して驚いている。 セリフ: ［タクヤ］の吹き出しに「拡張機能があったのか！」 オノマトペ: ハッ
3コマ目 (下): 現在のタクヤがZoom越しに苦笑いしながらミサキに語りかけている。 セリフ: ［タクヤ］の吹き出しに「知ってれば時間短縮できた」 オノマトペ: なし"
26,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画、タクヤは添付のタクヤ_20260329_224437.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。タクヤは白い無地シャツにベージュチノパン、黒縁メガネ。
◆【コマ構成】テンプレ2: 上下均等2分割の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): タクヤがZoom越しに真剣な表情で人差し指を立てて語っている。背景に「言語化」の文字が大きく浮かぶ演出。 セリフ: ［タクヤ］の吹き出しに「一番大事なのは言語化」 オノマトペ: なし
2コマ目 (下): タクヤがバツ印のジェスチャーをしている。ミサキがメモを取りながら真剣に聞いている。 セリフ: ［タクヤ］の吹き出しに「いい感じにしてじゃダメ」 オノマトペ: なし"
27,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ5: 上中下3段の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが少し恥ずかしそうに、でも決意を込めて話している。 セリフ: ［ミサキ］の吹き出しに「育児のこと…Instagramで発信したい」 オノマトペ: なし
2コマ目 (中段): ミサキがPC画面に向かって具体的に入力している。画面には「ターゲット：0〜1歳児のママ、テーマ：夜泣き対策、トーン：共感型」のようなテキストが見える。 セリフ: なし オノマトペ: カタカタ
3コマ目 (下段): PC画面にAIからの提案が表示されている。アカウント名やプロフィール案が並んでいる。ミサキが画面を食い入るように見ている。 セリフ: ［ミサキ］の吹き出しに「すごい…具体的！」 オノマトペ: なし"
28,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ4: 上大・下小の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): PC画面にAIが生成したInstagramアカウントの提案が大きく表示されている。プロフィール文、投稿テーマ案、ハッシュタグ案などが整然と並ぶ。ミサキが画面に手を当てて感動している。【感動】の表情。 セリフ: ［ミサキ］の吹き出しに「私が考えたみたい！」 オノマトペ: ジーン
2コマ目 (下・小): ミサキが両手を胸の前で握りしめ、目をキラキラさせている。 セリフ: ［ミサキ］の吹き出しに「これならできるかも」 オノマトペ: なし"
29,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画、タクヤは添付のタクヤ_20260329_224437.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。タクヤは白い無地シャツにベージュチノパン、黒縁メガネ。
◆【コマ構成】テンプレ3: 上小・下大の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): 隣の部屋からユウくん（赤ちゃん）の泣き声が聞こえてくる。ミサキが振り返る。 セリフ: なし オノマトペ: オギャー
2コマ目 (下・大): Zoom画面のタクヤが優しく微笑んでいる。ミサキが申し訳なさそうにしつつも笑顔を見せている。 セリフ: ［タクヤ］の吹き出しに「自分のペースでいいよ」 セリフ: ［ミサキ］の吹き出しに「ありがとうございます！」 オノマトペ: なし"
30,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): ミサキがユウくん（赤ちゃん）を優しく抱きかかえている。窓から夕日のオレンジ色の光が差し込み、二人を温かく照らしている。ミサキは【希望】に満ちた穏やかな笑顔。背景にPCの画面がうっすら見える。 セリフ: ［ミサキ］の吹き出しに「ママ、ちょっとだけ変わるかもね」 オノマトペ: なし"
31,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 第4話タイトルページ「フォロワー100人の壁」。昼間、ユウくんがベビーベッドで昼寝している横で、ミサキがPCに向かっている。画面にはClaude Codeのアプリが開いている。真剣だが楽しそうな表情。部屋には柔らかい日差しが入っている。 セリフ: ［ミサキ］の吹き出しに「ユウが寝てる間に…！」 オノマトペ: スヤスヤ"
32,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ5: 上中下3段の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): カレンダーが映り、毎日投稿マークがついている。ミサキがPCの前でルーティンとして作業している。 セリフ: ［ミサキ］の吹き出しに「今日も投稿つくろう」 オノマトペ: なし
2コマ目 (中段): ミサキがClaude Codeに具体的な指示を入力している。画面に「テーマ：夜泣き対策、ターゲット：新米ママ、トーン：共感＋実体験」と見える。 セリフ: なし オノマトペ: カタカタ
3コマ目 (下段): PC画面にAIが生成した投稿文が表示されている。ミサキが満足そうに頷いている。 セリフ: ［ミサキ］の吹き出しに「いい感じ！」 オノマトペ: なし"
33,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ7: 上左右2コマ+下1コマの3コマ構成（読み順: 上右→上左→下）
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上右): ミサキがClaude Codeに雑な指示を入力している。画面に「育児の投稿作って」とだけ表示。 セリフ: ［ミサキ］の吹き出しに「ぱぱっと作って！」 オノマトペ: なし
2コマ目 (上左): PC画面にAIの出力が表示されているが、硬くてつまらない文章。ビジネス文書のような堅苦しい投稿文。 セリフ: なし オノマトペ: なし
3コマ目 (下): ミサキが画面を見てがっかりしている。【失望】の表情。 セリフ: ［ミサキ］の吹き出しに「こんなの頼んでない…」 オノマトペ: ガクッ"
34,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画、タクヤは添付のタクヤ_20260329_224437.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。タクヤは白い無地シャツにベージュチノパン、黒縁メガネ。
◆【コマ構成】テンプレ2: 上下均等2分割の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): Zoom画面でタクヤが腕を組んで真剣な表情で語っている。 セリフ: ［タクヤ］の吹き出しに「AIが悪いんじゃない」 オノマトペ: なし
2コマ目 (下): タクヤが指差しジェスチャー。ミサキがハッとした表情で気づきを得ている。【気づき】の表情。 セリフ: ［タクヤ］の吹き出しに「指示が曖昧だったんだ」 オノマトペ: ハッ"
35,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ5: 上中下3段の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが丁寧に指示を入力している。画面に「テーマ：深夜の授乳あるある、ターゲット：0歳児ママ、トーン：笑えて共感、文字数：150字以内」と表示。 セリフ: ［ミサキ］の吹き出しに「具体的に伝えなきゃ」 オノマトペ: カタカタ
2コマ目 (中段): PC画面に質の高い投稿文が生成されている。温かみがあり共感できる文章。ミサキが目を輝かせている。 セリフ: ［ミサキ］の吹き出しに「全然違う！」 オノマトペ: キラキラ
3コマ目 (下段): ミサキが両手を握りしめてガッツポーズ。【達成感】の表情。 セリフ: ［ミサキ］の吹き出しに「言葉にするって大事！」 オノマトペ: なし"
36,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ6: 上1コマ+下左右2コマの3コマ構成（読み順: 上→下右→下左）
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキがClaude Codeにエンゲージメント分析を依頼している。画面に「過去30投稿のいいね数とコメント数を分析して」と入力。 セリフ: ［ミサキ］の吹き出しに「どの投稿が人気か調べて」 オノマトペ: なし
2コマ目 (下右): PC画面にグラフや数値が表示されている。棒グラフで投稿別のエンゲージメント比較。AIの分析結果。 セリフ: なし オノマトペ: なし
3コマ目 (下左): ミサキが分析結果を見て納得の表情。画面に「あるある体験系の投稿が最もエンゲージメント高い」と表示。 セリフ: ［ミサキ］の吹き出しに「あるある体験が刺さるんだ」 オノマトペ: なるほど"
37,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ4: 上大・下小の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): スマホ画面にInstagram投稿が大きく表示。「深夜3時、ミルク作ろうとして粉をこぼした。床は白い砂漠。赤ちゃんは泣き止まない。でも何故か笑えた」という投稿。いいね数「300」が赤く光っている。 セリフ: なし オノマトペ: なし
2コマ目 (下・小): ミサキがスマホを持って飛び上がって喜んでいる。【大興奮】の表情。背景に集中線。 セリフ: ［ミサキ］の吹き出しに「バズった！！」 オノマトペ: キャー！"
38,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画、タクヤは添付のタクヤ_20260329_224437.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。タクヤは白い無地シャツにベージュチノパン、黒縁メガネ。
◆【コマ構成】テンプレ5: 上中下3段の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): スマホ画面にフォロワー数「100」が大きく表示されている。紙吹雪の演出。ミサキが感激している。 セリフ: ［ミサキ］の吹き出しに「100人突破した！」 オノマトペ: パーン！
2コマ目 (中段): Zoom画面でミサキが興奮してタクヤに報告している。タクヤが嬉しそうに拍手している。 セリフ: ［ミサキ］の吹き出しに「タクヤさん、100人です！」 オノマトペ: パチパチ
3コマ目 (下段): タクヤが優しく微笑みながら語りかけている。 セリフ: ［タクヤ］の吹き出しに「最初の100人が一番大変」 オノマトペ: なし"
39,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ3: 上小・下大の2コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): スマホの通知画面。DMが届いている。「はじめまして。いつも投稿見てます。夜泣きで辛い時、救われてます」というメッセージ。 セリフ: なし オノマトペ: ピロン
2コマ目 (下・大): ミサキがスマホを両手で持ち、涙を流している。【感動の涙】の表情。夜のリビング、間接照明の温かい光。 セリフ: ［ミサキ］の吹き出しに「救われてるのは私の方…」 オノマトペ: ポロポロ"
40,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー。
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): ミサキが涙を拭いて力強く微笑んでいる。胸の中心にオレンジ色の小さな炎が灯るような演出。背景は暗闇から光が広がるグラデーション。【決意と希望】の表情。 セリフ: ［ミサキ］の吹き出しに「もっとやりたい」 オノマトペ: なし"
41,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): タイトルページ。ミサキがスマホを両手で持ち、画面に表示されたアフィリエイト収入の通知を見て目を見開いている。スマホ画面には「フォロワー500人突破」「収益発生」の通知が光っている。ミサキの目には涙がにじみ、口元は震えながらも笑顔。背景にキラキラエフェクトと集中線。◆【絶対最優先】画面上部に大きく装飾文字で「第5話」、その下に「最初の1円」のタイトル文字を必ず描画してください。タイトルは画像内で最も目立つ要素にしてください。 セリフ: ［ミサキ］の吹き出しに「お金が入ってる…！」 オノマトペ: ピロン♪（通知音）"
42,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ5: 上中下3段の3コマ構成
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがノートPCの前で目をキラキラさせながら「ブログもやりたい！」とひらめいた表情。頭上に電球マーク。 セリフ: ［ミサキ］の吹き出しに「ブログもやりたい！」 オノマトペ: ピカーン！
2コマ目 (中段): ミサキがスマホでハンドメイド作品の画像を見ながら興奮している。周囲にアクセサリーやビーズのイメージが浮かぶ。 セリフ: ［ミサキ］の吹き出しに「ハンドメイドも！」 オノマトペ: ワクワク
3コマ目 (下段): ミサキがPCで電子書籍のサイトを見ている。次々とアイデアが浮かび、目が渦巻き気味。周囲にアイデアの吹き出しが複数浮かぶ。 セリフ: ［ミサキ］の吹き出しに「電子書籍も出せる！」 オノマトペ: どんどん！"
43,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ_20260329_224433.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキはボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ6: 上1コマ+下左右2コマの3コマ構成（読み順: 上→下右→下左）
◆【作画】副業に最適化した統一スタイル。親しみやすく実践的、現代的なライフスタイル表現。明るく前向きな色調、オレンジ・青・黄色基調、活力ある配色。親しみやすい柔らかな線、カジュアルで読みやすい表現。パソコン作業、スマホ、時計、収入の可視化、ステップ図解、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキがPCでClaude Codeのチャット画面を開き、「ブログって作れる？」と入力している場面。PC画面にはClaude Codeの対話画面。 セリフ: ［ミサキ］の吹き出しに「これもできる？」 オノマトペ: カタカタ
2コマ目 (下右): PC画面のクローズアップ。Claude Codeが「できますよ！」「ブログも電子書籍も対応可能です」と回答している。画面が明るく光っている。 セリフ: ［Claude Code］の吹き出しに「全部できますよ！」 オノマトペ: なし
3コマ目 (下左): ミサキが椅子から身を乗り出し、両手を握りしめて興奮している。目がキラキラ、頬が紅潮。背景に花やキラキラエフェクト。 セリフ: ［ミサキ］の吹き出しに「全部やる！」 オノマトペ: キラキラ"
