new_page,source_page,kind,part,total
108,39,body,3,7
109,39,body,4,7
110,39,body,5,7
111,39,body,6,7
112,39,body,7,7
113,40,body,1,9
114,40,body,2,9
115,40,body,3,9
116,40,body,4,9
117,40,body,5,9
118,40,body,6,9
119,40,body,7,9
120,40,body,8,9
121,40,body,9,9
122,41,body,1,2
123,41,body,2,2
124,42,body,1,2
125,42,body,2,2
126,43,body,1,2
127,43,body,2,2
128,44,body,1,1
129,45,body,1,6
130,45,body,2,6
131,45,body,3,6
132,45,body,4,6
133,45,body,5,6
134,45,body,6,6
135,46,body,1,2
136,46,body,2,2
137,47,body,1,1
138,48,body,1,1
139,49,body,1,1
140,50,body,1,2
141,50,body,2,2
142,51,body,1,2
143,51,body,2,2
144,52,body,1,1
145,53,body,1,1
146,54,body,1,3
147,54,body,2,3
148,54,body,3,3
149,55,body,1,5
150,55,body,2,5
151,55,body,3,5
152,55,body,4,5
153,55,body,5,5
154,56,title,1,2
155,56,body,2,2
156,57,body,1,7
157,57,body,2,7
158,57,body,3,7
159,57,body,4,7
160,57,body,5,7
161,57,body,6,7
162,57,body,7,7
163,58,body,1,2
164,58,body,2,2
165,59,body,1,1
166,60,body,1,1
167,61,body,1,1
168,62,body,1,2
169,62,body,2,2
170,63,body,1,2
171,63,body,2,2
172,64,body,1,1
173,65,body,1,2
174,65,body,2,2
175,66,body,1,2
176,66,body,2,2
177,67,body,1,1
178,68,body,1,2
179,68,body,2,2
180,69,body,1,2
181,69,body,2,2
182,70,body,1,2
183,70,body,2,2
184,71,body,1,1
185,72,body,1,1
186,73,body,1,1
187,74,body,1,1
188,75,body,1,2
189,75,body,2,2
190,76,body,1,3
191,76,body,2,3
192,76,body,3,3
193,77,body,1,4
194,77,body,2,4
195,77,body,3,4
196,77,body,4,4
197,78,title,1,2
198,78,body,2,2
199,79,body,1,1
200,80,body,1,2
201,80,body,2,2
202,81,body,1,1
203,82,body,1,2
204,82,body,2,2
205,83,body,1,2
206,83,body,2,2
207,84,body,1,1
208,85,body,1,1
209,86,body,1,2
210,86,body,2,2
211,87,body,1,2
212,87,body,2,2
213,88,body,1,2
214,88,body,2,2
215,89,body,1,1
216,90,body,1,1
217,91,body,1,1
218,92,body,1,1
219,93,body,1,1
220,94,body,1,8
221,94,body,2,8
222,94,body,3,8
223,94,body,4,8
224,94,body,5,8
225,94,body,6,8
226,94,body,7,8
227,94,body,8,8
228,95,body,1,4
229,95,body,2,4
230,95,body,3,4
231,95,body,4,4
232,96,title,1,2
233,96,body,2,2
234,97,body,1,3
235,97,body,2,3
236,97,body,3,3
237,98,body,1,1
238,99,body,1,2
239,99,body,2,2
240,100,body,1,6
241,100,body,2,6
242,100,body,3,6
243,100,body,4,6
244,100,body,5,6
245,100,body,6,6
246,101,body,1,6
247,101,body,2,6
248,101,body,3,6
249,101,body,4,6
250,101,body,5,6
251,101,body,6,6
252,102,body,1,1
253,103,body,1,1
254,104,body,1,1
255,105,body,1,1
256,106,body,1,2
257,106,body,2,2
258,107,body,1,2
259,107,body,2,2
260,108,body,1,2
261,108,body,2,2
262,109,body,1,2
263,109,body,2,2
264,110,body,1,2
265,110,body,2,2
266,111,body,1,1
267,112,body,1,1
268,113,body,1,1
269,114,body,1,1
270,115,body,1,2
271,115,body,2,2
272,116,body,1,1
273,117,body,1,2
274,117,body,2,2
275,118,body,1,2
276,118,body,2,2
277,119,text,0,0
278,120,text,0,0
279,121,text,0,0
