No,都道府県,市区町村,院名,所在地,公式サイトURL,問い合わせ手段,チャネル分類,出典URL,備考
11,群馬県,高崎市,STS整体院,群馬県高崎市福島町794-12,https://sts-seitai.com/,LINE公式アカウント（サイト内バナーより友だち追加）,LINE,https://sts-seitai.com/,産後の骨盤の歪みや身体のクセによる不調を独自技術で改善すると紹介。
12,群馬県,高崎市,さとう整体,群馬県高崎市上大類町738,https://satoseitai.net/,Instagram: https://www.instagram.com/satoseitai.takasaki/,Instagram DM,https://satoseitai.net/,女性整体師による20年以上の経験。「強く揉まない優しい整体」を掲げる。
13,群馬県,高崎市,すこやか整骨院,群馬県高崎市金古町2084-1,https://www.sukoyakaseikotsuin.net/,LINE公式アカウント: @664syxpu,LINE,https://www.sukoyakaseikotsuin.net/,院長・芝﨑健人氏。2021年9月開業のクラシカル・オステオパシー療法の院。
14,静岡県,浜松市,まごろく鍼灸整骨院・整体院,静岡県浜松市中央区和田町179-1,https://magoroku-ss.com/,LINE: https://line.me/R/ti/p/%40rvk5960n,LINE,https://magoroku-ss.com/,院長・孫六利征氏。パーソナルトレーニングジムを併設。
15,静岡県,浜松市,一笑整骨院,静岡県浜松市中央区薬師町340-3,https://issyou.info/,フォーム: https://issyou.info/contact/,フォーム,https://issyou.info/,創業14年。キッズスペース・授乳室完備で産後ケアに強いと明記。
16,静岡県,浜松市,さかた鍼灸整骨院,静岡県浜松市中央区野口町217-4,https://sakata-shinkyu-seikotsu.com/,フォーム: https://sakata-shinkyu-seikotsu.com/contact,フォーム,https://sakata-shinkyu-seikotsu.com/,院長・坂田真志氏。メール・Instagram（@sakata.hari）も公開している。
17,静岡県,浜松市,えきなん接骨院,静岡県浜松市中央区寺島町300-9,https://ekinan-sekkotsuin.com/,フォーム: https://ekinan-sekkotsuin.com/contact/,フォーム,https://ekinan-sekkotsuin.com/,院長・河合翔汰氏。「症状の進行を防ぐ」全体施術を掲げる。
18,静岡県,浜松市,四ツ池Reborn整骨院・整体院,静岡県浜松市中央区幸5丁目2-10,https://yotsuike-reborn.com/,フォーム: https://yotsuike-reborn.com/info/#inq_area,フォーム,https://yotsuike-reborn.com/,「痛みの出ない身体に」を掲げ、姿勢改善を軸にした発信を行う。
19,岡山県,倉敷市,天城整骨院,岡山県倉敷市加須山277-7,https://amaki-s.com/,LINE: https://lin.ee/RkU9b6v,LINE,https://amaki-s.com/,院長・今行慎二氏。2026年5月に藤戸町から加須山へ移転した完全予約制の院。
20,岡山県,倉敷市,じん整骨院・整体院,岡山県倉敷市新田2423-1,https://jin-seikotsuin.com/,フォーム: https://jin-seikotsuin.com/contact,フォーム,https://jin-seikotsuin.com/,院長・岸本氏。腰痛・坐骨神経痛に対応するソフトな施術を紹介。
21,岡山県,倉敷市,17(いちなな)整骨院,岡山県倉敷市昭和2-1-28,https://kurashiki.fukuyama-seikotsu.com/,フォーム: https://kurashiki.fukuyama-seikotsu.com/contact,フォーム,https://kurashiki.fukuyama-seikotsu.com/,院長・立石氏。「持続性がある施術」を掲げる土日祝営業の院。
22,岡山県,倉敷市,いわもと整骨院,岡山県倉敷市福田町古新田1215-5,https://iwamotoseikotsuin.wixsite.com/fukuda-kosinden,フォーム: https://iwamotoseikotsuin.wixsite.com/fukuda-kosinden/blank-3,フォーム,https://iwamotoseikotsuin.wixsite.com/fukuda-kosinden,Instagram（@iwamoto_seikotsuin）でも発信。ホームページリニューアル中と明記あり。
23,岡山県,倉敷市,からだにっこりカイロ,岡山県倉敷市天城台3丁目4-16,https://www.itami-kaishou.com/,フォーム: https://www.itami-kaishou.com/contact/,フォーム,https://www.itami-kaishou.com/,院長・川上均氏。自律神経専門を掲げ、土日営業・当日予約可を明記。
24,岡山県,倉敷市,ぜんた整骨院,岡山県倉敷市東富井957-13,https://www.zenta-seikotsuin.com/,Instagram: https://www.instagram.com/zentaseikotsuin/,Instagram DM,https://www.zenta-seikotsuin.com/,「姿勢やゆがみが不調の原因かも」という切り口で発信。X（旧Twitter）も運用。
25,愛媛県,松山市,村上整体療院,愛媛県松山市山西町572-5,https://mmsstt.com/,フォーム: https://mmsstt.com/contact/,フォーム,https://mmsstt.com/,院長・村上武志氏。「セロトニン活性療法」の学会誌掲載実績を紹介。
26,愛媛県,松山市,松山鍼灸整骨院,愛媛県松山市松末1-5-10,https://matsuyama-tiryou.com/,LINE: https://page.line.me/azb0732t,LINE,https://matsuyama-tiryou.com/menu,創業40年の実績。院長特別診療ダイヤルを設けている。
27,愛媛県,松山市,nico整骨院・整体院,愛媛県松山市三番町8丁目360-1,https://nico-seikotsu-seitai.com/,LINE: https://lin.ee/IzYJx5e,LINE,https://nico-seikotsu-seitai.com/,院長・佐伯公一郎氏（柔道整復師）。松山駅からすぐの立地を強みとする。
28,愛媛県,松山市,はぐくま整骨院・鍼灸院,愛媛県松山市朝生田町6-3-25,https://seikotsu-matsuyama.com/,フォーム: https://seikotsu-matsuyama.com/contact,フォーム,https://seikotsu-matsuyama.com/,院長・宮田恵一氏。カウンセリング・検査に30〜40分かけると明記。
29,愛媛県,松山市,OnlyOne整骨院,愛媛県松山市南斎院町55-4,https://tomihisasukoyaka.com/,LINE: https://line.me/R/ti/p/%40qwm4071e,LINE,https://tomihisasukoyaka.com/,院長・中越氏。「無痛整体法」で検査により問題箇所を特定すると紹介。
30,愛媛県,松山市,愛媛骨盤神経整体院・整骨院,愛媛県松山市古川北4丁目6-28,https://kotsuban-shinkeiseitai.com/,フォーム: https://kotsuban-shinkeiseitai.com/contact/,フォーム,https://kotsuban-shinkeiseitai.com/,院長・岡田康志氏。姿勢・骨盤矯正と神経整体を組み合わせた根本改善を掲げる。
