"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"29","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ3: 上段小→下段大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段小): タクヤが穏やかに微笑んでいる画面。 セリフ: ［タクヤ］の吹き出しに「考えたんですよ。AIが形にしただけで、出発点は佐藤さんの言葉です」 ナレーション: なし オノマトペ: なし
2コマ目 (下段大): ミサキの目元がうるんでいる。パソコン画面の光に照らされた横顔。感動の表情。 セリフ: なし ナレーション: ［四角枠］出発点は、自分の言葉だった オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""考えたんですよ。AIが形にしただけで、出発点は佐藤さんの言葉です""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""出発点は、自分の言葉だった""}]"
"30","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画, ひなたは添付のひなた.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴 / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ6: 上段1コマ + 下段左右2コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 隣の部屋からひなたの泣き声が聞こえてくる。ミサキがハッとした表情。 セリフ: ［ミサキ］の吹き出しに「あ、すみません、子供が——」 ナレーション: なし オノマトペ: えーん
2コマ目 (下段左): タクヤが穏やかに手を振って。 セリフ: ［タクヤ］の吹き出しに「大丈夫ですよ。行ってあげてください」 ナレーション: なし オノマトペ: なし
3コマ目 (下段右): ミサキが急いでひなたを抱き上げている。ひなたが少し泣いている。 セリフ: なし ナレーション: ［四角枠］夢を見ていたのか、少し泣いただけですぐに落ち着いた オノマトペ: ぎゅっ","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""あ、すみません、子供が——""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""大丈夫ですよ。行ってあげてください""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""夢を見ていたのか、少し泣いただけですぐに落ち着いた""}]"
"31","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが席に戻り、申し訳なさそうな表情。 セリフ: ［ミサキ］の吹き出しに「すみません……」 ナレーション: ［四角枠］戻ってくると、タクヤは穏やかに待っていた オノマトペ: なし
2コマ目 (中段): タクヤが真剣な表情で。 セリフ: ［タクヤ］の吹き出しに「謝らなくていいですよ。このプログラムは、こういうことを前提に設計しています」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): タクヤが指を1本立てて伝えている。 セリフ: ［タクヤ］の吹き出しに「このプログラムに""遅れ""はありません。自分のペースで進めてください。大事なのは、止めないことです」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""すみません……""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""戻ってくると、タクヤは穏やかに待っていた""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""謝らなくていいですよ。このプログラムは、こういうことを前提に設計しています""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""タクヤ"", ""text"": ""このプログラムに\""遅れ\""はありません。自分のペースで進めてください。大事なのは、止めないことです""}]"
"32","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなたは添付のひなた.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ4: 上段大→下段小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段大): 面談後、パソコンを閉じたミサキがひなたを膝に乗せている。ひなたがミサキのシャツのボタンをいじっている。温かい親子の光景。 セリフ: なし ナレーション: ［四角枠］面談が終わった。パソコンを閉じて、ひなたを膝に乗せた オノマトペ: なし
2コマ目 (下段小): ミサキが考え込んでいる表情。 セリフ: なし ナレーション: ［四角枠］AIは日本語で使える。プログラミングはいらない。必要なのは「何をしたいか」を言葉にすること オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""面談が終わった。パソコンを閉じて、ひなたを膝に乗せた""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""AIは日本語で使える。プログラミングはいらない。必要なのは「何をしたいか」を言葉にすること""}]"
"33","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ2: 上下均等2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキの回想イメージ。事務職時代のデスクで報告書を整理しているシルエット。 セリフ: なし ナレーション: ［四角枠］事務職で培った「情報を整理して、わかりやすく伝える力」は、AIを使うために必要なスキルそのものかもしれない オノマトペ: なし
2コマ目 (下段): ミサキが少し驚いた、でも嬉しそうな表情。 セリフ: ［ミサキ］の吹き出しに「事務しかできないと思ってたのに……」 ナレーション: なし オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""事務職で培った「情報を整理して、わかりやすく伝える力」は、AIを使うために必要なスキルそのものかもしれない""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""事務しかできないと思ってたのに……""}]"
"34","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなたは添付のひなた.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが膝のひなたを見下ろしている。ひなたが「あー？」と見上げてくる。 セリフ: ［ひなた］の吹き出しに「あー？」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): ミサキが優しくひなたに話しかけている。 セリフ: ［ミサキ］の吹き出しに「ひなた、ママね、もしかしたら——」 ナレーション: なし オノマトペ: なし
3コマ目 (下段): ミサキとひなたの横顔。窓から柔らかい夕日が差し込んでいる。 セリフ: なし ナレーション: ［四角枠］まだ「もしかしたら」だ。何も成し遂げていない。でも「何もできない」と思い込んでいた数週間前と、今は違う オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ひなた"", ""text"": ""あー？""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""ひなた、ママね、もしかしたら——""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""まだ「もしかしたら」だ。何も成し遂げていない。でも「何もできない」と思い込んでいた数週間前と、今は違う""}]"
"35","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなたは添付のひなた.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): ミサキがひなたを抱いて窓辺に立っている。夕焼けの光が二人を包んでいる。ミサキの表情は穏やかで、少しだけ前向きな希望が見える。 セリフ: なし ナレーション: ［四角枠］少なくとも、「もしかしたら」と思えるようになった。それだけで、世界の見え方が変わった気がした オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""少なくとも、「もしかしたら」と思えるようになった。それだけで、世界の見え方が変わった気がした""}]"
"36","テンプレ7","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ7: 上段左右2コマ + 下段1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段左): ミサキの想像の中——パソコンに向かって楽しそうに作業している自分の姿。 セリフ: なし ナレーション: ［四角枠］「もしかしたら」——何もわからない。何も成し遂げていない オノマトペ: なし
2コマ目 (上段右): 想像の中——スマホでInstagramの画面を見ている。フォロワーが増えている。 セリフ: なし ナレーション: なし オノマトペ: なし
3コマ目 (下段): 現実に戻る。ミサキがひなたの頭をそっと撫でている。穏やかな表情。 セリフ: なし ナレーション: ［四角枠］でも、「もしかしたら」と思えるようになった。それが、今日の一番の収穫だった オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""「もしかしたら」——何もわからない。何も成し遂げていない""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""でも、「もしかしたら」と思えるようになった。それが、今日の一番の収穫だった""}]"
"37","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ4: 上段大→下段小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段大): ダイニングテーブルに置かれた閉じたノートパソコン。その横にミサキのスマホが置かれている。画面は暗いが、パソコンの存在感がある。 セリフ: なし ナレーション: ［四角枠］プログラミング不要。黒い画面じゃない。英語もいらない オノマトペ: なし
2コマ目 (下段小): ミサキがそっと微笑んでいる横顔のアップ。 セリフ: なし ナレーション: ［四角枠］必要なのは「何をしたいか」を言葉にすること——それだけだった オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""プログラミング不要。黒い画面じゃない。英語もいらない""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""必要なのは「何をしたいか」を言葉にすること——それだけだった""}]"
"38","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, ひなたは添付のひなた.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / ひなた: ピンクのTシャツに白いズボン
◆【コマ構成】テンプレ2: 上下均等2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがひなたを寝室に運んでいる。ひなたはすでにウトウトしている。 セリフ: なし ナレーション: ［四角枠］ずっと「事務なんて誰でもできる」と思っていた。でも、それは間違いだったのかもしれない オノマトペ: すやすや…
2コマ目 (下段): ベッドにひなたを寝かせ、布団をかけているミサキ。安らかな表情。 セリフ: ［ミサキ］の吹き出しに「おやすみ、ひなた」 ナレーション: ［四角枠］5年間の事務職で身についた「わかりやすく伝えるスキル」が、「AIへの指示力」になっていた オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""ずっと「事務なんて誰でもできる」と思っていた。でも、それは間違いだったのかもしれない""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""おやすみ、ひなた""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""5年間の事務職で身についた「わかりやすく伝えるスキル」が、「AIへの指示力」になっていた""}]"
"39","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): 夜の部屋。ベッドの横に座るミサキ（パジャマ姿）。スマホでClaudeの画面を見ている。画面の光がミサキの顔を照らしている。穏やかだけど決意のある表情。背景にぼんやりと星空が見える窓。 セリフ: なし ナレーション: ［四角枠］「もしかしたら」——その言葉を胸に、ミサキの挑戦が始まった オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""「もしかしたら」——その言葉を胸に、ミサキの挑戦が始まった""}]"
"40","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【コラム原文】
コラム⑥：テクノロジーは「特別な人」だけのものか？

——キャリアコンサルタントの視点から

ミサキがClaudeに初めて触れた場面を振り返りましょう。

彼女には三つの壁がありました。「プログラミングができない」「黒い画面が怖い」「英語ができない」。これは多くの非エンジニアの人が感じるAIへの障壁です。

そして、三つとも壁ではありませんでした。

「使えない」のではなく「知らなかった」だけ

テクノロジーに対する苦手意識の多くは、「難しそう」というイメージから来ています。実際にやってみたら簡単だった、ということは珍しくありません。

スマートフォンが登場したとき、「こんなの使いこなせない」と言っていた人たちが、今では毎日LINEでやり取りしています。

AIも同じです。2023年ごろまで、AIを業務に使うには確かに一定の技術知識が必要でした。でも今は違います。日本語で話しかけるだけで使えるAIツールが、デスクトップアプリとして誰でもインストールできる時代になりました。

民主化という革命

「民主化」という言葉があります。特定の人だけが使えたものが、誰でも使えるようになること。

印刷技術は「本を読む」を民主化しました。インターネットは「情報を得る」を民主化しました。スマートフォンは「つながる」を民主化しました。

AIは「作る」を民主化しようとしています。

文章を作る。画像を作る。分析する。企画する。プログラムを作る。——これらは以前、それぞれの専門家だけができることでした。

今は、自分の「やりたいこと」を言葉にできれば、誰でもできる時代に変わりつつあります。

新しいスキルに年齢も前職も関係ない

「もう若くないから」「文系だから」「主婦だから」——ミサキはこれらの言葉で自分を縛っていました。

でもClaudeは、ミサキの年齢を聞きませんでした。学歴も職歴も聞きませんでした。ミサキの言葉に対して、ただ誠実に応答しました。

AIにとって、「誰が話しかけているか」は関係ありません。「何を伝えているか」だけが重要です。

これは、ある意味で究極の公平さです。

もちろん、AIを使いこなすには練習が必要です。最初からうまくいくわけではありません。ミサキもこの先、うまくいかない場面に何度もぶつかります。

でも、「始めること」に対する障壁は、かつてないほど低くなっています。

必要なのは特別な才能ではなく、「やってみよう」という決意だけです。

ミサキはその決意をしました。次の話から、その決意が試されることになります。","[]"
"41","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: ページ全体1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (ページ全体): 【タイトルページ】深夜のダイニングテーブル。ノートパソコンの画面が光っている。ミサキがキーボードに手を置き、真剣な表情で画面を見つめている。画面にはInstagramの投稿画面が映っている。タイトル「第7話 毎日投稿という戦い」が大きく配置。 セリフ: なし ナレーション: なし オノマトペ: なし","[]"
"42","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画, タクヤは添付のタクヤ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー / タクヤ: 白い無地のシャツにベージュのチノパン、茶色の革靴
◆【コマ構成】テンプレ5: 上・中・下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: パソコン作業,スマホ,時計,収入の可視化,必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): スマホの画面アップ。Instagramのプロフィール設定画面。アカウント名「@misaki_wanope_mama」が表示されている。 セリフ: なし ナレーション: ［四角枠］Instagramのアカウントを作った。タクヤと相談して決めた名前——「ワンオペママのリアル」 オノマトペ: なし
2コマ目 (中段): パソコン画面でClaudeと相談しながらプロフィールを書いているミサキ。 セリフ: なし ナレーション: ［四角枠］プロフィール：「元事務職ママ。保育園落ちて退職。ワンオペ育児のリアルと、ちょっとだけ役立つ情報を発信中」 オノマトペ: カタカタ
3コマ目 (下段): ミサキがCanvaの画面を見ながら投稿テンプレートを作っている。パステルカラーのデザイン。 セリフ: なし ナレーション: ［四角枠］投稿デザインもClaudeと一緒に考えた。Canvaでテンプレートを作る オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""Instagramのアカウントを作った。タクヤと相談して決めた名前——「ワンオペママのリアル」""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""プロフィール：「元事務職ママ。保育園落ちて退職。ワンオペ育児のリアルと、ちょっとだけ役立つ情報を発信中」""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""投稿デザインもClaudeと一緒に考えた。Canvaでテンプレートを作る""}]"
