ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト
"26","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ1: ページ全体を使った1コマ
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 第1章の最終ページ。美咲がデスクでノートPCを開き、AI有料プランの申し込み画面を表示している。画面には「月額3000円」の文字。美咲は真剣で前向きな表情。周りにはコスト比較メモが置かれている。集中線で決意の演出。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「投資する価値がある」 オノマトペ: なし"
"27","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、高橋誠一は添付のtakahashi_seiichi_20260324_134230.pngと100%同一の外見で描画、天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス。高橋はチャコールグレーのスーツにネイビーのネクタイ、胸ポケットにペン。凛はライトグレーのジャケットにブルーのインナー、黒のスラックス
◆【コマ構成】テンプレ1: ページ全体を使った1コマ
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 第2章タイトルページ。「第2章 経験不足はAIが補う若手新人の下剋上」の文字スペース。美咲がノートPCを持ち、自信に満ちた表情で前を向いている。背景には高橋が腕を組んで見守り、凛が微笑んでいる。デジタルデータが流れるような演出。 セリフ: なし オノマトペ: なし"
"28","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 朝のオフィス。美咲がデスクに座り、PCを起動。AIチャット画面を開いている。朝日が窓から差し込む。背景にストライプ模様。 セリフ: ［美咲］の吹き出しに「今日はメールをAIで書こう」 オノマトペ: なし
2コマ目 (中段): 美咲がAIにメールの要件を入力している。真剣な表情で集中。背景にドット模様。 セリフ: ［美咲］の吹き出しに「取引先への提案メール…」 オノマトペ: なし
3コマ目 (下段): AIから完成度の高いメール文が出力。美咲が驚いて目を見開いている。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「5分で完成した!?」 オノマトペ: ビクッ"
"29","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ3: 上下2分割（上段小→下段大）、読み順は上段→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段・小): 美咲がAI作成のメールを読み直して微調整。満足げな表情。背景に水玉模様。 セリフ: ［美咲］の吹き出しに「少し直すだけでOK」 オノマトペ: なし
2コマ目 (下段・大): 美咲がメールの送信ボタンを押す瞬間。画面に「送信」ボタンが大きく表示。以前は1時間かかっていた作業が5分で完了した達成感。時計は9時15分。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「以前は1時間かかったのに」 オノマトペ: パァァ"
"30","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 高橋誠一は添付のtakahashi_seiichi_20260324_134230.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 高橋はチャコールグレーのスーツにネイビーのネクタイ、胸ポケットにペン。美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ6: 上段1コマ＋下段左右2コマ、読み順は上段→下段右側→下段左側
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 高橋が美咲のデスクの横を通りかかり、画面を覗いている。眉をひそめた表情。背景にストライプ模様。 セリフ: ［高橋］の吹き出しに「おい桜井、何をしている」 オノマトペ: なし
2コマ目 (下段右側): 高橋が腕を組んで厳しい表情で美咲を見下ろしている。威圧的なポーズ。背景にフラッシュエフェクト。 セリフ: ［高橋］の吹き出しに「AIに頼ると力がつかんぞ」 オノマトペ: むすっ
3コマ目 (下段左側): 美咲が萎縮した表情でうつむいている。肩が小さくなっている。背景にドット模様。 セリフ: ［美咲］の吹き出しに「す、すみません…」 オノマトペ: ギクッ"
"31","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 高橋誠一は添付のtakahashi_seiichi_20260324_134230.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 高橋はチャコールグレーのスーツにネイビーのネクタイ、胸ポケットにペン。美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス。凛はライトグレーのジャケットにブルーのインナー、黒のスラックス
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 高橋が自分のデスクに戻りながら独り言。不満そうな表情。背景にドット模様。 セリフ: ［高橋］の吹き出しに「若い奴は楽ばかり覚える」 オノマトペ: むすっ
2コマ目 (中段): 美咲が一人で落ち込んでいる。PCの画面にはAIチャットが開いたまま。背景にグラデーション。 セリフ: ［美咲］の吹き出しに「やっぱりダメなのかな…」 オノマトペ: なし
3コマ目 (下段): 凛がタイミングよく美咲のデスクに来る。美咲の表情を見て何かを察した様子。背景にストライプ模様。 セリフ: ［凛］の吹き出しに「高橋さんに何か言われた？」 オノマトペ: なし"
"32","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 凛はライトグレーのジャケットにブルーのインナー、黒のスラックス。美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ4: 上下2分割（上段大→下段小）、読み順は上段→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段・大): 凛が美咲の横に座り、タブレットで研究データを見せている。「5000人規模の研究」と大きく表示。凛は落ち着いた知的な表情で解説。美咲は真剣に聞いている。背景にストライプ模様。 セリフ: ［凛］の吹き出しに「5000人の研究結果を見て」 オノマトペ: なし
2コマ目 (下段・小): 美咲が驚いた表情で凛を見ている。目が丸くなっている。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「5000人も!?」 オノマトペ: ビクッ"
"33","テンプレ7","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 凛はライトグレーのジャケットにブルーのインナー、黒のスラックス。美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ7: 上段左右2コマ＋下段1コマ、読み順は上段右側→上段左側→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段右側): 凛のタブレット画面のアップ。「新人がAIを使うと2ヶ月でベテラン8ヶ月分の成果」という比較棒グラフ。背景にドット模様。 セリフ: なし オノマトペ: なし
2コマ目 (上段左側): 美咲が口を開けて驚愕の表情。頭の上に「！」マーク。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「2ヶ月で8ヶ月分!?」 オノマトペ: ガーン
3コマ目 (下段): 凛が穏やかに微笑みながら美咲に語りかけている。背景にグラデーション。 セリフ: ［凛］の吹き出しに「経験の差をAIが埋めるの」 オノマトペ: なし"
"34","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 凛はライトグレーのジャケットにブルーのインナー、黒のスラックス。美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 凛が別のデータを見せている。「758人のコンサルタント実験」の見出し。背景にストライプ模様。 セリフ: ［凛］の吹き出しに「コンサル758人の実験もある」 オノマトペ: なし
2コマ目 (中段): タブレット画面のアップ。「AI活用グループ：12.2%多く完了、25.1%速い」という結果。棒グラフで視覚化。背景に半円模様。 セリフ: ［凛］の吹き出しに「12%多く、25%速く完了」 オノマトペ: なし
3コマ目 (下段): 美咲が感動した表情で両手を合わせている。目が輝いている。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「データで証明されてるんだ」 オノマトペ: パァァ"
"35","テンプレ6","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 凛はライトグレーのジャケットにブルーのインナー、黒のスラックス。美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ6: 上段1コマ＋下段左右2コマ、読み順は上段→下段右側→下段左側
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 凛が表情を引き締めて注意点を話す。人差し指を立てている。背景にドット模様。 セリフ: ［凛］の吹き出しに「ただし注意点があるわ」 オノマトペ: なし
2コマ目 (下段右側): 凛のタブレットに「AI能力範囲外では19%低下」という警告グラフ。赤い下向き矢印。背景にストライプ模様。 セリフ: ［凛］の吹き出しに「範囲外だと19%低下する」 オノマトペ: なし
3コマ目 (下段左側): 美咲が真剣に頷いている。メモを取っている。背景にグラデーション。 セリフ: ［美咲］の吹き出しに「得意分野を見極めるのね」 オノマトペ: なし"
"36","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 凛はライトグレーのジャケットにブルーのインナー、黒のスラックス。美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 凛がホワイトボードに「AIが得意なこと」と「AIが苦手なこと」のリストを書いている。得意側：文書作成、データ分析、翻訳。苦手側：創造的判断、人間関係。背景にストライプ模様。 セリフ: ［凛］の吹き出しに「使い分けが大切なの」 オノマトペ: なし
2コマ目 (中段): 美咲がメモを取りながら頷いている。真剣な学びの姿勢。背景に半円模様。 セリフ: ［美咲］の吹き出しに「万能じゃないってことね」 オノマトペ: なし
3コマ目 (下段): 凛が微笑みながら美咲を見ている。師弟のような温かい雰囲気。背景にグラデーション。 セリフ: ［凛］の吹き出しに「道具は使い手次第よ」 オノマトペ: なし"
"37","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲はカジュアルな服装（自宅）、パーカーとジーンズ
◆【コマ構成】テンプレ2: 上下に均等2分割、読み順は上段→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 美咲の自宅、夜。デスクに座りAIと一緒にプレゼン資料を作成中。画面にスライドのアウトライン。集中した表情。背景にドット模様。 セリフ: ［美咲］の吹き出しに「プレゼン資料も作れるんだ」 オノマトペ: なし
2コマ目 (下段): 完成したプレゼンスライドが画面に並ぶ。美咲が満足げに微笑み、伸びをしている。時計は21時。背景にフラッシュエフェクト。 セリフ: ［美咲］の吹き出しに「2時間で完成、すごい…」 オノマトペ: ぱぁっ"
"38","テンプレ7","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲はカジュアルな服装（自宅）、パーカーとジーンズ
◆【コマ構成】テンプレ7: 上段左右2コマ＋下段1コマ、読み順は上段右側→上段左側→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段右側): 美咲がプレゼン資料の内容を確認。グラフやチャートが綺麗に並んだスライド。背景にドット模様。 セリフ: ［美咲］の吹き出しに「グラフも提案してくれた」 オノマトペ: なし
2コマ目 (上段左側): 美咲がスライドのデザインを微調整。AIが提案した配色パターンが画面に表示。背景に水玉模様。 セリフ: ［美咲］の吹き出しに「仕上げは自分の感性で」 オノマトペ: なし
3コマ目 (下段): 美咲がPCを閉じ、充実した表情で窓の外の夜景を見ている。明日のプレゼンへの自信。背景にグラデーション。 セリフ: ［美咲］の吹き出しに「明日が楽しみになってきた」 オノマトペ: キュン"
"39","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、高橋誠一は添付のtakahashi_seiichi_20260324_134230.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス。高橋はチャコールグレーのスーツにネイビーのネクタイ、胸ポケットにペン
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 翌日の会議室。美咲がプロジェクターの前でプレゼン。スクリーンには整ったスライド。背景にストライプ模様。 セリフ: なし オノマトペ: なし
2コマ目 (中段): 美咲が自信を持ってプレゼン。社員たちが感心した表情で頷いている。背景に半円模様。 セリフ: ［美咲］の吹き出しに「以上が今月の提案です」 オノマトペ: なし
3コマ目 (下段): 高橋が腕を組んで聞いている。少し驚いた表情だが認めたくない複雑な感情。背景にドット模様。 セリフ: ［高橋］の吹き出しに「（入社2年目にしては…）」 オノマトペ: なし"
"40","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス。凛はライトグレーのジャケットにブルーのインナー、黒のスラックス
◆【コマ構成】テンプレ3: 上下2分割（上段小→下段大）、読み順は上段→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段・小): プレゼン後、廊下で美咲と凛が並んで歩いている。美咲は嬉しそう。背景にドット模様。 セリフ: ［美咲］の吹き出しに「うまくいった気がする！」 オノマトペ: なし
2コマ目 (下段・大): 凛が美咲の肩をポンと叩いて微笑んでいる。先輩としての温かさ。背景にフラッシュエフェクトと光の粒子。 セリフ: ［凛］の吹き出しに「AIと美咲の力の掛け算よ」 オノマトペ: ぱぁっ"
"41","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 天野凛は添付のamano_rin_20260324_134234.pngと100%同一の外見で描画、桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 凛はライトグレーのジャケットにブルーのインナー、黒のスラックス。美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス
◆【コマ構成】テンプレ5: 上・中・下の3段構成、読み順は上→中→下
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): 凛が美咲にさらにアドバイス。休憩室のソファに二人で座っている。背景にストライプ模様。 セリフ: ［凛］の吹き出しに「次のステップを教えるわ」 オノマトペ: なし
2コマ目 (中段): 凛がノートに書きながら説明。「(1)定型業務をAIに (2)確認は人間 (3)改善を繰り返す」のフロー図。背景に半円模様。 セリフ: ［凛］の吹き出しに「AI活用の3ステップよ」 オノマトペ: なし
3コマ目 (下段): 美咲がメモを取りながら真剣だが楽しそうな表情。学ぶことの喜び。背景にグラデーション。 セリフ: ［美咲］の吹き出しに「もっとAIと一緒に成長する」 オノマトペ: キュン"
"42","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】キャラクター外見: 桜井美咲は添付のsakurai_misaki_20260324_134641.pngと100%同一の外見で描画、高橋誠一は添付のtakahashi_seiichi_20260324_134230.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: 美咲は白いブラウスにネイビーのタイトスカート、首元にパールのネックレス。高橋はチャコールグレーのスーツにネイビーのネクタイ、胸ポケットにペン
◆【コマ構成】テンプレ4: 上下2分割（上段大→下段小）、読み順は上段→下段
◆【作画】ジャンル: ビジネスに最適化した統一スタイル。作画スタイル: 日本のアニメ・マンガ調イラスト、クリーンな線画、デジタル彩色、現代ビジネスマンガ風、清潔感重視。色調: 落ち着いた色調、グレー・ネイビー・白基調。線画: 整った線、クリーンな表現。演出: オフィス空間、グラフや資料の描写、必要に応じて集中線、効果線、擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段・大): オフィスの対比シーン。左半分に美咲がAIでサクサク仕事をこなす姿。右半分に高橋が従来のやり方で書類と格闘する姿。真ん中に分割線。背景に左はフラッシュエフェクト、右はドット模様。 セリフ: なし オノマトペ: なし
2コマ目 (下段・小): 時計が17時。美咲はすでに帰り支度をしているが、高橋はまだデスクに向かっている。背景にグラデーション。 セリフ: ［美咲］の吹き出しに「お先に失礼します」 オノマトペ: なし"
