name,no,sire,bms,sex,coat,birth,trainer,total_man,unit_man,kuchi,height,girth,cannon,weight,ikusei
ミリッサの22,15,モーリス,ダイワメジャー,牡,青鹿,2022-03-03,鹿戸,5000.0,12.5,400,152.0,174.0,20.1,431,ＮＦ早来
レッドレグナントの22,16,モーリス,ロードカナロア,メス,栗,2022-01-31,大竹,3200.0,8.0,400,150.0,176.0,19.5,444,ＮＦ早来
ルヴォワールの22,17,レイデオロ,ハーツクライ,メス,黒鹿,2022-01-10,角田,4000.0,10.0,400,157.0,174.5,20.0,451,ＮＦ早来
リラヴァティの22,18,レイデオロ,ゼンノロブロイ,メス,鹿,2022-02-01,森一,4000.0,10.0,400,158.0,179.0,19.5,463,ＮＦ早来
ベルディーヴァの22,19,レイデオロ,ダイワメジャー,メス,黒鹿,2022-04-07,奥村武,3600.0,9.0,400,153.0,175.0,19.2,427,ＮＦ早来
エールデュレーヴの22,20,レイデオロ,ディープインパクト,メス,青鹿,2022-04-21,角田,3600.0,9.0,400,151.0,171.5,19.2,413,ＮＦ空港
トーコーユズキの22,21,ナダル,ディープインパクト,牡,黒鹿,2022-04-24,川島,4000.0,10.0,400,154.5,174.0,21.3,451,ＮＦ早来
グリューヴァインの22,22,ナダル,ゴールドアリュール,メス,栗,2022-03-20,矢野,2400.0,6.0,400,155.5,179.0,19.8,443,ＮＦ早来
ディアデラマドレの22,23,ドレフォン,キングカメハメハ,メス,黒鹿,2022-03-10,矢嶋,5000.0,12.5,400,155.5,178.0,20.8,477,ＮＦ空港
マスターワークの22,24,ドレフォン,ダイワメジャー,メス,栗,2022-04-20,勢司,2400.0,6.0,400,154.5,177.5,19.7,444,ＮＦ空港
カーミングエフェクトの22,25,サトノダイヤモンド,War Front,牡,鹿,2022-02-01,小島,3200.0,8.0,400,158.0,176.5,21.4,495,ＮＦ早来
キャヴァルドレの22,26,サトノダイヤモンド,サンデーブレイク,メス,鹿,2022-01-30,角田,3000.0,7.5,400,159.5,175.0,20.3,451,ＮＦ早来
マイミスリリーの22,27,サトノダイヤモンド,Tapit,メス,鹿,2022-02-28,加藤征,3200.0,8.0,400,155.0,184.0,21.0,484,ＮＦ空港
ワシントンレガシーの22,28,ルヴァンスレーヴ,クロフネ,牡,芦,2022-02-09,戸田,3000.0,7.5,400,157.0,180.0,21.4,474,ＮＦ空港
セレナズヴォイスの22,29,ルヴァンスレーヴ,Honor Code,メス,鹿,2022-02-08,林,2400.0,6.0,400,155.0,174.0,19.0,457,ＮＦ空港
フォルテピアノの22,30,ルヴァンスレーヴ,フレンチデピュティ,メス,鹿,2022-02-11,大和田,2000.0,5.0,400,153.0,176.5,19.3,434,ＮＦ空港
エクストラペトルの22,31,オルフェーヴル,キングカメハメハ,牡,栗,2022-03-16,※募集中止となりました。,32.0,2800.0,0,,,,,
エリスライトの22,33,ルーラーシップ,ディープインパクト,牡,鹿,2022-02-14,池上,4000.0,10.0,400,154.0,171.5,20.6,442,ＮＦ空港
コンダクトレスの22,34,ルーラーシップ,ホワイトマズル,メス,鹿,2022-02-07,斎藤誠,2800.0,7.0,400,154.5,175.5,19.5,469,ＮＦ早来
コロナシオンの22,35,フィエールマン,キングカメハメハ,牡,黒鹿,2022-03-16,手塚久,3600.0,9.0,400,154.0,179.5,21.0,453,ＮＦ空港
ピースエンブレムの22,36,フィエールマン,ウォーエンブレム,メス,青鹿,2022-04-25,宮田,2400.0,6.0,400,156.0,169.5,20.3,414,ＮＦ早来
ピンクアリエスの22,37,アルアイン,キングカメハメハ,メス,鹿,2022-01-30,中川,2400.0,6.0,400,153.5,174.0,19.5,438,ＮＦ早来
ダイワオンディーヌの22,38,スワーヴリチャード,クロフネ,メス,鹿,2022-03-25,高橋文,1800.0,4.5,400,161.0,181.5,20.6,465,ＮＦ空港
サンブルエミューズの22,39,ブリックスアンドモルタル,ダイワメジャー,メス,栗,2022-03-24,浅利,6000.0,15.0,400,150.0,172.0,18.8,410,ＮＦ空港
ケアレスウィスパーの22,40,マインドユアビスケッツ,フジキセキ,メス,栗,2022-03-10,中舘,3200.0,8.0,400,160.0,184.5,21.6,502,ＮＦ空港
アンフィトリテの22,41,ミッキーアイル,ロードカナロア,メス,栗,2022-02-19,西田,2600.0,6.5,400,153.0,167.5,19.0,404,ＮＦ早来
エディスワートンの22,42,リアルスティール,Dubawi,牡,鹿,2022-02-01,黒岩,3200.0,8.0,400,158.0,179.5,20.5,453,ＮＦ空港
ココシュニックの22,43,アドマイヤマーズ,クロフネ,メス,芦,2022-03-02,稲垣,2400.0,6.0,400,156.0,178.0,19.8,429,ＮＦ空港
ヴィータアレグリアの22,44,ゴールドドリーム,ネオユニヴァース,牡,栗,2022-04-02,高柳瑞,3200.0,8.0,400,156.0,174.5,20.1,438,ＮＦ早来
フェルミオンの22,45,シュヴァルグラン,アグネスタキオン,牡,栗,2022-04-24,矢嶋,2600.0,6.5,400,154.5,168.0,20.5,421,ＮＦ空港
ヴィアンローズの22,46,シルバーステート,Sevres Rose,牡,青鹿,2022-04-24,嘉藤,3000.0,7.5,400,153.0,167.0,20.5,413,ＮＦ早来
スペクトロライトの22,47,ヘニーヒューズ,ディープインパクト,牡,栗,2022-01-21,和田郎,3600.0,9.0,400,155.0,172.5,19.7,436,ＮＦ早来
ローズノーブルの22,48,リオンディーズ,ディープインパクト,牡,青鹿,2022-03-13,板垣,4000.0,10.0,400,150.0,170.5,20.5,448,ＮＦ早来
ユーセニアの22,49,Blue Point,Winker Watson,牡,鹿,2022-02-07,秋本,5000.0,12.5,400,158.0,181.0,21.5,495,ＮＦ早来
シェイリーンⅡの22,50,Saxon Warrior,Rip Van Winkle,牡,鹿,2022-01-10,尾関,3600.0,9.0,400,152.5,177.0,20.6,478,ＮＦ空港
ビートマッチの22,51,エピファネイア,ルーラーシップ,メス,鹿,2022-04-29,武幸,5000.0,12.5,400,154.0,175.5,20.9,466,ＮＦ空港
ソートアフターの22,52,エピファネイア,ディープインパクト,メス,鹿,2022-05-12,福永,4200.0,10.5,400,156.0,175.5,20.5,442,ＮＦ空港
キャンプロックの22,53,キズナ,Myboycharlie,牡,青鹿,2022-02-04,安田,6000.0,15.0,400,154.0,172.5,19.6,425,ＮＦ空港
ミスティークⅡの22,54,キズナ,Monsun,メス,鹿,2022-04-19,須貝,3600.0,9.0,400,153.0,174.0,19.6,415,ＮＦ空港
アディクティドの22,55,ロードカナロア,ディクタット,牡,黒鹿,2022-04-28,高野,6000.0,15.0,400,150.5,168.5,20.2,423,ＮＦ空港
チャイマックスの22,56,キタサンブラック,Congrats,メス,鹿,2022-02-05,清水久,4000.0,10.0,400,158.0,177.0,21.0,453,ＮＦ早来
ハープスターの22,57,サートゥルナーリア,ディープインパクト,牡,鹿,2022-02-25,池添,12000.0,30.0,400,153.0,175.0,20.0,428,ＮＦ早来
ダイワプロパーの22,58,サートゥルナーリア,ダイワメジャー,牡,鹿,2022-04-18,大久保,5000.0,12.5,400,152.0,170.5,19.8,441,ＮＦ早来
リカビトスの22,59,ドゥラメンテ,ディープブリランテ,牡,栗,2022-03-16,中内田,6000.0,15.0,400,152.5,175.5,20.0,432,ＮＦ早来
キラーグレイシスの22,60,ドゥラメンテ,Congaree,メス,黒鹿,2022-02-12,斉藤崇,6000.0,15.0,400,151.5,176.5,19.5,443,ＮＦ空港
フォトコールの22,61,ドゥラメンテ,Galileo,メス,栗,2022-03-15,渡辺,6000.0,15.0,400,159.0,174.5,19.8,427,ＮＦ空港
マラコスタムブラダの22,62,ドゥラメンテ,Lizard Island,メス,鹿,2022-03-15,松下,7000.0,17.5,400,154.5,174.0,20.0,433,ＮＦ早来
エリティエールの22,63,モーリス,ディープインパクト,牡,鹿,2022-02-27,武幸,4600.0,11.5,400,157.0,180.5,21.4,478,ＮＦ空港
フィニフティの22,64,モーリス,ディープインパクト,メス,鹿,2022-01-30,藤原,4000.0,10.0,400,157.0,177.5,20.4,458,ＮＦ空港
ローガンサファイアの22,65,レイデオロ,ダイワメジャー,メス,鹿,2022-02-23,高橋亮,3600.0,9.0,400,153.0,172.0,19.8,433,ＮＦ空港
アロマドゥルセの22,66,レイデオロ,ディープインパクト,メス,黒鹿,2022-03-05,辻野,3000.0,7.5,400,152.5,172.0,18.6,394,ＮＦ空港
プルメリアスターの22,67,レイデオロ,ゼンノロブロイ,メス,栗,2022-03-23,平田,3000.0,7.5,400,155.5,169.0,20.0,406,ＮＦ空港
ディーパワンサの22,68,レイデオロ,ディープブリランテ,メス,栗,2022-04-14,高野,4000.0,10.0,400,151.0,174.5,18.8,402,ＮＦ早来
クァンタムミスの22,69,ナダル,Smoke Glacken,牡,芦,2022-02-02,松永幹,3600.0,9.0,400,154.0,178.0,21.6,488,ＮＦ空港
ボールドアテンプトの22,70,ナダル,ゴールドアリュール,メス,鹿,2022-03-28,上村,3000.0,7.5,400,157.0,177.0,20.6,475,追分Ｆﾘﾘｰﾊﾞﾚｰ
エスティタートの22,71,ナダル,ドリームジャーニー,メス,鹿,2022-02-09,松永幹,2800.0,7.0,400,155.5,179.0,20.2,469,ＮＦ空港
カイカヨソウの22,72,ナダル,ティンバーカントリー,メス,黒鹿,2022-03-28,西村,2800.0,7.0,400,155.5,180.0,19.6,449,ＮＦ早来
アドヴェントスの22,73,ドレフォン,ジャングルポケット,メス,鹿,2022-01-17,橋田,2600.0,6.5,400,151.0,181.0,19.6,482,ＮＦ空港
ブルーメンブラットの22,74,ドレフォン,アドマイヤベガ,メス,黒鹿,2022-02-12,佐藤悠,4000.0,10.0,400,154.5,179.0,20.1,476,ＮＦ早来
シンハリーズの22,75,サトノダイヤモンド,Singspiel,メス,鹿,2022-04-07,柴田,3000.0,7.5,400,154.0,170.5,19.5,411,ＮＦ早来
レネットグルーヴの22,76,ルヴァンスレーヴ,キングカメハメハ,牡,鹿,2022-02-04,斉藤崇,5000.0,12.5,400,155.0,182.5,21.1,482,ＮＦ空港
スターダムバウンドの22,77,オルフェーヴル,Tapit,メス,栗,2022-02-10,茶木,3200.0,8.0,400,151.0,174.0,18.7,421,ＮＦ早来
リプリートⅡの22,78,ルーラーシップ,マクフィ,牡,鹿,2022-02-02,池江,3600.0,9.0,400,155.0,183.0,20.8,475,ＮＦ空港
ギーニョの22,79,ニューイヤーズデイ,サンデーサイレンス,牡,鹿,2022-04-05,藤岡,3000.0,7.5,400,154.0,172.5,21.5,438,ＮＦ空港
グランデアモーレの22,80,ニューイヤーズデイ,ネオユニヴァース,メス,芦,2022-04-12,石坂,2400.0,6.0,400,154.0,178.5,19.1,444,ＮＦ早来
レディドーヴィルの22,81,アルアイン,ファスリエフ,牡,芦,2022-03-05,吉岡,2400.0,6.0,400,154.0,170.5,20.3,450,ＮＦ空港
スプリングゲイルの22,82,スワーヴリチャード,キンシャサノキセキ,牡,栗,2022-05-04,橋口,2400.0,6.0,400,149.0,168.5,20.1,404,ＮＦ早来
ハーエミネンシーの22,83,ブリックスアンドモルタル,Successful Appeal,メス,鹿,2022-04-01,小林,2800.0,7.0,400,152.0,175.0,19.3,436,社台Ｆ
リチュアルローズの22,84,マインドユアビスケッツ,ゴールドアリュール,牡,栗,2022-03-10,坂口,2600.0,6.5,400,154.0,173.0,20.4,448,ＮＦ早来
ブルーメンクローネの22,85,ミッキーアイル,キングカメハメハ,メス,鹿,2022-02-14,奥村豊,2800.0,7.0,400,150.5,173.5,19.2,441,ＮＦ空港
ソブラドラインクの22,86,リアルスティール,Include,牡,鹿,2022-02-10,佐藤悠,3600.0,9.0,400,156.0,175.0,20.0,453,ＮＦ早来
ヴィートマルシェの22,87,サトノアラジン,フレンチデピュティ,メス,鹿,2022-03-01,矢作,3000.0,7.5,400,154.0,179.5,20.2,450,ＮＦ空港
ペルレンケッテの22,88,ダンカーク,ディープインパクト,牡,鹿,2022-04-17,森澤,3000.0,7.5,400,151.0,172.5,20.3,416,ＮＦ空港
パドゥヴァルスの22,89,ハービンジャー,エピファネイア,牡,鹿,2022-02-09,武英,3600.0,9.0,400,153.5,177.0,20.0,460,ＮＦ早来
ビットレートの22,90,バゴ,スペシャルウィーク,メス,鹿,2022-01-30,池添,3000.0,7.5,400,155.0,174.0,21.0,436,ＮＦ早来
インピードの22,91,Frankel,Bated Breath,メス,鹿,2022-01-26,加藤公,5000.0,12.5,400,152.5,171.5,19.7,424,ＮＦ空港
エルヴァスⅡの22,92,Saxon Warrior,Catcher In The Rye,牡,栗,2022-03-02,長谷川,4400.0,11.0,400,150.0,173.5,20.9,441,ＮＦ空港
パーフェクトジョイの22,93,ミスターメロディ,ステイゴールド,牡,黒鹿,2022-03-17,川島,1800.0,18.0,100,149.0,167.5,20.0,405,ＮＦ空港
レーゲンボーゲンの22,94,レッドファルクス,フレンチデピュティ,メス,芦,2022-04-16,真島,1800.0,18.0,100,152.0,171.5,20.3,426,ＮＦ空港
ペニーウェディングの22,95,ゴールドドリーム,Broken Vow,メス,黒鹿,2022-04-03,真島,2000.0,20.0,100,156.0,179.5,20.5,476,ＮＦ空港
ホーリーレジェンドの22,96,ナダル,アイルハヴアナザー,メス,鹿,2022-02-07,内田,2000.0,20.0,100,155.0,180.0,20.0,480,ＮＦ空港
シーリアの22,97,リアルスティール,キングカメハメハ,メス,黒鹿,2022-02-06,森一,5000.0,12.5,400,,,,,
ユールフェストの22,98,リアルスティール,More Than Ready,メス,鹿,2022-02-10,辻,2000.0,5.0,400,,,,,
プラチナブロンドの22,99,ヘニーヒューズ,ジャングルポケット,メス,黒鹿,2022-01-23,中村,2400.0,6.0,400,,,,,
リンフォルツァンドの22,100,モーリス,ディープインパクト,メス,鹿,2022-03-29,坂口,2800.0,7.0,400,,,,,
マイティースルーの22,101,リアルインパクト,クロフネ,メス,芦,2022-04-30,西園,3000.0,7.5,400,,,,,
スーブレットの22,102,ヘニーヒューズ,ゴールドアリュール,メス,栗,2022-02-19,渡邉,2400.0,24.0,100,,,,,
ティンバレスの22,,,,,,,,,,,160.5,183.5,20.5,497,ＮＦ空港
