year,born,no,name,raw_name,sire,bms,sex,coat,birth,farm,farm_sk,total_man,unit_man,trainer,height,girth,cannon,weight,club_no,src_note
2023,2022,55,アディクティドの22,アディクティドの22,ロードカナロア,ディクタット,牡,黒鹿,2022-04-28,ノーザンＦ,,6000,15,,,,,,2,
2023,2022,56,チャイマックスの22,チャイマックスの22,キタサンブラック,,メス,,,,,4000,10,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,57,ハープスターの22,ハープスターの22,サートゥルナーリア,ディープインパクト,牡,鹿,2022-02-25,ノーザンＦ,,12000,30,,,,,,12,
2023,2022,58,ダイワプロパーの22,ダイワプロパーの22,サートゥルナーリア,,牡,,,,,5000,12.5,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,59,リカビトスの22,リカビトスの22,ドゥラメンテ,ディープブリランテ,牡,栗,2022-03-16,ノーザンＦ,,6000,15,,,,,,17,
2023,2022,60,キラーグレイシスの22,キラーグレイシスの22,ドゥラメンテ,Congaree,メス,黒鹿,2022-02-12,ノーザンＦ,,6000,15,,,,,,20,
2023,2022,61,フォトコールの22,フォトコールの22,ドゥラメンテ,Galileo,メス,栗,2022-03-15,ノーザンＦ,,6000,15,,,,,,21,
2023,2022,62,マラコスタムブラダの22,マラコスタムブラダの22,ドゥラメンテ,Lizard Island,メス,鹿,2022-03-15,ノーザンＦ,,7000,17.5,,,,,,22,
2023,2022,63,エリティエールの22,エリティエールの22,モーリス,ディープインパクト,牡,鹿,2022-02-27,ノーザンＦ,,4600,11.5,,,,,,23,
2023,2022,64,フィニフティの22,フィニフティの22,モーリス,ディープインパクト,メス,鹿,2022-01-30,ノーザンＦ,,4000,10,,,,,,26,
2023,2022,65,ローガンサファイアの22,ローガンサファイアの22,レイデオロ,ダイワメジャー,メス,鹿,2022-02-23,ノーザンＦ,,3600,9,,,,,,31,
2023,2022,66,アロマドゥルセの22,アロマドゥルセの22,レイデオロ,ディープインパクト,メス,黒鹿,2022-03-05,ノーザンＦ,,3000,7.5,,,,,,32,
2023,2022,67,プルメリアスターの22,プルメリアスターの22,レイデオロ,ゼンノロブロイ,メス,栗,2022-03-23,ノーザンＦ,,3000,7.5,,,,,,33,
2023,2022,68,ディーパワンサの22,ディーパワンサの22,レイデオロ,ディープブリランテ,メス,栗,2022-04-14,ノーザンＦ,,4000,10,,,,,,35,
2023,2022,69,クァンタムミスの22,クァンタムミスの22,ナダル,Smoke Glacken,牡,芦,2022-02-02,ノーザンＦ,,3600,9,,,,,,37,
2023,2022,70,ボールドアテンプトの22,ボールドアテンプトの22,ナダル,ゴールドアリュール,牡,鹿,2022-03-28,追分Ｆ,,3000,7.5,,,,,,38,
2023,2022,71,エスティタートの22,エスティタートの22,ナダル,ドリームジャーニー,メス,鹿,2022-02-09,白老Ｆ,,2800,7,,,,,,40,
2023,2022,72,カイカヨソウの22,カイカヨソウの22,ナダル,ティンバーカントリー,メス,黒鹿,2022-03-28,ノーザンＦ,,2800,7,,,,,,42,
2023,2022,73,アドヴェントスの22,アドヴェントスの22,ドレフォン,ジャングルポケット,メス,鹿,2022-01-17,ノーザンＦ,,2600,6.5,,,,,,47,
2023,2022,74,ブルーメンブラットの22,ブルーメンブラットの22,ドレフォン,アドマイヤベガ,メス,黒鹿,2022-02-12,ノーザンＦ,,4000,10,,,,,,48,
2023,2022,75,シンハリーズの22,シンハリーズの22,サトノダイヤモンド,Singspiel,メス,鹿,2022-04-07,ノーザンＦ,,3000,7.5,,,,,,46,
2023,2022,76,レネットグルーヴの22,レネットグルーヴの22,ルヴァンスレーヴ,キングカメハメハ,牡,鹿,2022-02-04,ノーザンＦ,,5000,12.5,,,,,,51,
2023,2022,77,スターダムバウンドの22,スターダムバウンドの22,オルフェーヴル,Tapit,メス,栗,2022-02-10,ノーザンＦ,,3200,8,,,,,,57,
2023,2022,78,リプリートⅡの22,リプリートⅡの22,ルーラーシップ,,牡,,,,,3600,9,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,79,ギーニョの22,ギーニョの22,ニューイヤーズデイ,サンデーサイレンス,牡,鹿,2022-04-05,ノーザンＦ,,3000,7.5,,,,,,67,
2023,2022,80,グランデアモーレの22,グランデアモーレの22,ニューイヤーズデイ,ネオユニヴァース,メス,芦,2022-04-12,ノーザンＦ,,2400,6,,,,,,68,
2023,2022,81,レディドーヴィルの22,レディドーヴィルの22,アルアイン,ファスリエフ,牡,芦,2022-03-05,ノーザンＦ,,2400,6,,,,,,61,
2023,2022,82,スプリングゲイルの22,スプリングゲイルの22,スワーヴリチャード,キンシャサノキセキ,牡,栗,2022-05-04,ノーザンＦ,,2400,6,,,,,,65,
2023,2022,83,ハーエミネンシーの22,ハーエミネンシーの22,ブリックスアンドモルタル,Successful Appeal,メス,鹿,2022-04-01,社台Ｆ,,2800,7,,,,,,60,
2023,2022,84,リチュアルローズの22,リチュアルローズの22,マインドユアビスケッツ,ゴールドアリュール,牡,栗,2022-03-10,レイクヴィラＦ,,2600,6.5,,,,,,72,
2023,2022,85,ブルーメンクローネの22,ブルーメンクローネの22,ミッキーアイル,キングカメハメハ,メス,鹿,2022-02-14,ノーザンＦ,,2800,7,,,,,,73,
2023,2022,86,ソブラドラインクの22,ソブラドラインクの22,リアルスティール,,牡,,,,,3600,9,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,87,ヴィートマルシェの22,ヴィートマルシェの22,サトノアラジン,フレンチデピュティ,メス,鹿,2022-03-01,ノーザンＦ,,3000,7.5,,,,,,78,
2023,2022,88,ペルレンケッテの22,ペルレンケッテの22,ダンカーク,ディープインパクト,牡,鹿,2022-04-17,ノーザンＦ,,3000,7.5,,,,,,82,
2023,2022,89,パドゥヴァルスの22,パドゥヴァルスの22,ハービンジャー,エピファネイア,牡,鹿,2022-02-09,ノーザンＦ,,3600,9,,,,,,83,
2023,2022,90,ビットレートの22,ビットレートの22,バゴ,スペシャルウィーク,牡,鹿,2022-01-30,ノーザンＦ,,3000,7.5,,,,,,84,
2023,2022,91,インピードの22,インピードの22,Frankel,Bated Breath,メス,鹿,2022-01-26,ノーザンＦ,,5000,12.5,,,,,,93,
2023,2022,92,エルヴァスⅡの22,エルヴァスⅡの22,Saxon Warrior,,牡,,,,,4400,11,,,,,,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2023,2022,93,パーフェクトジョイの22,パーフェクトジョイの22,ミスターメロディ,ステイゴールド,牡,黒鹿,2022-03-17,ノーザンＦ,,1800,4.5,,,,,,86,
2023,2022,94,レーゲンボーゲンの22,レーゲンボーゲンの22,レッドファルクス,フレンチデピュティ,牡,芦,2022-04-16,ノーザンＦ,,1800,4.5,,,,,,90,
2023,2022,95,ペニーウェディングの22,ペニーウェディングの22,ゴールドドリーム,Broken Vow,メス,黒鹿,2022-04-03,ノーザンＦ,,2000,5,,,,,,64,
2023,2022,96,ホーリーレジェンドの22,ホーリーレジェンドの22,ナダル,アイルハヴアナザー,メス,鹿,2022-02-07,ノーザンＦ,,2000,5,,,,,,39,
2024,2023,1,プライストトゥパーフェクションの23,プライストトゥパーフェクションの23,キタサンブラック,Temple City,メス,黒鹿,2023-02-11,ノーザンＦ,ノーザン,,12.5,萩原 清,156.5,177,20.6,463,2,
2024,2023,2,イーデンキーの23,イーデンキーの23,エピファネイア,No Nay Never,牡,鹿,2023-03-26,ノーザンＦ,ノーザン,,17.5,宮田 敬介,153.5,175,20.7,448,6,
2024,2023,3,ケイティーズハートの23,ケイティーズハートの23,エピファネイア,ハーツクライ,メス,栗,2023-03-20,ノーザンＦ,ノーザン,,17.5,鹿戸 雄一,151,173,19.4,430,8,
2024,2023,4,フロアクラフトの23,フロアクラフトの23,エピファネイア,フジキセキ,メス,栗,2023-05-01,ノーザンＦ,ノーザン,,12.5,手塚 貴久,156,174.5,19.6,423,10,
2024,2023,5,アールブリュットの23,アールブリュットの23,キズナ,マクフィ,牡,黒鹿,2023-04-09,ノーザンＦ,ノーザン,,20,木村 哲也,156.5,170.5,19.3,441,15,
2024,2023,6,ウラヌスチャームの23,ウラヌスチャームの23,キズナ,ルーラーシップ,メス,黒鹿,2023-02-22,ノーザンＦ,ノーザン,,12.5,斎藤 誠,157.5,175,19.8,475,17,
2024,2023,7,シーブルックの23,シーブルックの23,ロードカナロア,Hinchinbrook,牡,鹿,2023-02-10,ノーザンＦ,ノーザン,,20,木村 哲也,158,184,21.1,490,18,
2024,2023,8,ラッキーダイムの23,ラッキーダイムの23,ロードカナロア,Creative Cause,牡,黒鹿,2023-03-02,ノーザンＦ,ノーザン,,17.5,黒岩 陽一,157,173,21.3,478,19,
2024,2023,9,ラドラーダの23,ラドラーダの23,サートゥルナーリア,シンボリクリスエス,牡,鹿,2023-01-10,ノーザンＦ,ノーザン,,25,田中 博康,154,179,21,490,20,
2024,2023,10,カヴァートラブの23,カヴァートラブの23,サートゥルナーリア,Azamour,牡,黒鹿,2023-02-26,ノーザンＦ,ノーザン,,15,尾関 知人,161,183.5,21.8,552,21,
2024,2023,11,コントラチェックの23,コントラチェックの23,サートゥルナーリア,ディープインパクト,メス,黒鹿,2023-02-24,ノーザンＦ,ノーザン,,12.5,蛯名 正義,150.5,175.5,20.3,431,23,
2024,2023,12,フェルミオンの23,フェルミオンの23,サートゥルナーリア,アグネスタキオン,メス,栗,2023-04-09,ノーザンＦ,ノーザン,,9,森 一誠,150.5,171,19.5,446,26,
2024,2023,13,バウンスシャッセの23,バウンスシャッセの23,サートゥルナーリア,ゼンノロブロイ,メス,栗,2023-04-15,ノーザンＦ,ノーザン,,10,奥村 武,151,186.5,19.4,464,27,
2024,2023,14,ビッグワールドの23,ビッグワールドの23,コントレイル,Custom for Carlos,メス,青鹿,2023-04-22,ノーザンＦ,ノーザン,,12.5,宮田 敬介,158,176,20.5,448,12,
2024,2023,15,シーリアの23,シーリアの23,ドレフォン,キングカメハメハ,メス,黒鹿,2023-02-25,ノーザンＦ,ノーザン,,11,木村 哲也,155,179.5,20.1,485,29,
2024,2023,16,ダイアナブライトの23,ダイアナブライトの23,ドレフォン,ディープインパクト,メス,鹿,2023-03-01,ノーザンＦ,ノーザン,,10,尾関 知人,148.5,176.5,20.2,463,30,
2024,2023,17,マリアライトの23,マリアライトの23,ドレフォン,ディープインパクト,メス,黒鹿,2023-04-05,ノーザンＦ,ノーザン,,10,久保田 貴士,148,173,19,402,32,
2024,2023,18,ルージュバックの23,ルージュバックの23,レイデオロ,マンハッタンカフェ,牡,栗,2023-01-16,ノーザンＦ,ノーザン,,15,大竹 正博,156,180.5,20.4,470,40,
2024,2023,19,アロマドゥルセの23,アロマドゥルセの23,レイデオロ,ディープインパクト,牡,鹿,2023-02-28,ノーザンＦ,ノーザン,,8,村田 一誠,150,170,19,399,41,
2024,2023,20,アディクティドの23,アディクティドの23,レイデオロ,ディクタット,メス,黒鹿,2023-04-27,ノーザンＦ,ノーザン,,7.5,森 一誠,153.5,175,19.8,443,44,
2024,2023,21,ディーパワンサの23,ディーパワンサの23,ナダル,ディープブリランテ,牡,鹿,2023-04-21,ノーザンＦ,ノーザン,,12.5,国枝 栄,151,175.5,20.1,443,46,
2024,2023,22,ランズエッジの23,ランズエッジの23,ナダル,ダンスインザダーク,牡,鹿,2023-05-05,ノーザンＦ,ノーザン,,11,手塚 貴久,160.5,174.5,22.1,461,47,
2024,2023,23,ライフフォーセールの23,ライフフォーセールの23,サトノダイヤモンド,Not for Sale,牡,鹿,2023-04-02,ノーザンＦ,ノーザン,,12.5,宮田 敬介,157.5,177,21.5,466,53,
2024,2023,24,ピースエンブレムの23,ピースエンブレムの23,サトノダイヤモンド,ウォーエンブレム,メス,鹿,2023-03-31,ノーザンＦ,ノーザン,,4.5,小手川 準,160.5,174,20.9,453,54,
2024,2023,25,シャンブルドットの23,シャンブルドットの23,アルアイン,Lope de Vega,牡,鹿,2023-02-28,ノーザンＦ,ノーザン,,6,西田 雄一郎,157.5,174.5,22,472,50,
2024,2023,26,ピンクアリエスの23,ピンクアリエスの23,アルアイン,キングカメハメハ,牡,鹿,2023-05-02,ノーザンＦ,ノーザン,,7,稲垣 幸雄,152.5,170,20.4,417,51,
2024,2023,27,セレナズヴォイスの23,セレナズヴォイスの23,クリソベリル,オナーコード,牡,鹿,2023-01-21,白老Ｆ,白老,,8,高木 登,158,174,20.9,470,36,
2024,2023,28,カイカヨソウの23,カイカヨソウの23,クリソベリル,ティンバーカントリー,メス,黒鹿,2023-04-19,ノーザンＦ,ノーザン,,7.5,嘉藤 貴行,154.5,168,20.2,430,39,
2024,2023,29,ランウェイデビューの23,ランウェイデビューの23,シルバーステート,ストロングリターン,メス,黒鹿,2023-03-19,ノーザンＦ,ノーザン,,6,竹内 正洋,154,171,18.8,408,55,
2024,2023,30,ウルクラフトの23,ウルクラフトの23,ニューイヤーズデイ,ディープインパクト,牡,鹿,2023-04-28,白老Ｆ,白老,,6,辻 哲英,147.5,168,20.2,409,58,
2024,2023,31,エンジェルフォールの23,エンジェルフォールの23,モーリス,ジャングルポケット,牡,鹿,2023-04-06,ノーザンＦ,ノーザン,,8,伊藤 大士,151,170,19.5,393,61,
2024,2023,32,ポロンナルワの23,ポロンナルワの23,モーリス,Rahy,メス,栗,2023-02-28,ノーザンＦ,ノーザン,,9,小島 茂之,149,174,18.5,416,62,
2024,2023,33,ヴィータアレグリアの23,ヴィータアレグリアの23,モズアスコット,ネオユニヴァース,メス,黒鹿,2023-03-16,ノーザンＦ,ノーザン,,7,高柳 瑞樹,151.5,171,19.5,432,92,
2024,2023,34,アトミカオロの23,アトミカオロの23,リアルスティール,Orpen,メス,鹿,2023-03-13,ノーザンＦ,ノーザン,,9,上原 佑紀,159,176.5,19.5,444,66,
2024,2023,35,リラヴァティの23,リラヴァティの23,リオンディーズ,ゼンノロブロイ,牡,黒鹿,2023-02-01,ノーザンＦ,ノーザン,,12.5,田中 博康,151,174,19.5,440,68,
2024,2023,36,エリスライトの23,エリスライトの23,リオンディーズ,ディープインパクト,牡,黒鹿,2023-02-19,ノーザンＦ,ノーザン,,10,栗田 徹,154,176,20.9,440,69,
2024,2023,37,ブリガアルタの23,ブリガアルタの23,ヴァンゴッホ,コンデュイット,牡,鹿,2023-03-21,ノーザンＦ,ノーザン,,6,矢嶋 大樹,158.5,178,20.5,461,70,
2024,2023,38,ローガンサファイアの23,ローガンサファイアの23,ヴァンゴッホ,ダイワメジャー,メス,鹿,2023-03-20,ノーザンＦ,ノーザン,,6,戸田 博文,158,178.5,20.2,487,71,
2024,2023,39,メリートの23,メリートの23,アドマイヤマーズ,Redoute's Choice,牡,鹿,2023-04-15,ノーザンＦ,ノーザン,,10,田村 康仁,160.5,177.5,21,460,83,
2024,2023,40,ネオフレグランスの23,ネオフレグランスの23,サトノクラウン,ネオユニヴァース,メス,青鹿,2023-04-20,ノーザンＦ,ノーザン,,5,中舘 英二,150.5,162.5,18.7,384,73,
2024,2023,41,コンダクトレスの23,コンダクトレスの23,ハービンジャー,ホワイトマズル,牡,鹿,2023-01-27,ノーザンＦ,ノーザン,,10,萩原 清,157.5,171,20,447,76,
2024,2023,42,デスティノアーラの23,デスティノアーラの23,ブリックスアンドモルタル,ディープインパクト,メス,黒鹿,2023-03-21,ノーザンＦ＊,ノーザン＊,,6,深山 雅史,151,168,19.8,391,78,
2024,2023,43,サバンナズチョイスの23,サバンナズチョイスの23,ミッキーアイル,Redoute's Choice,牡,鹿,2023-01-23,ノーザンＦ,ノーザン,,9,武井 亮,156,180.5,20.8,453,80,
2024,2023,44,プラチナブロンドの23,プラチナブロンドの23,インディチャンプ,ジャングルポケット,牡,黒鹿,2023-02-03,ノーザンＦ,ノーザン,,8,加藤 征弘,150,173.5,19.7,438,84,
2024,2023,45,ローズノーブルの23,ローズノーブルの23,バゴ,ディープインパクト,牡,黒鹿,2023-03-17,ノーザンＦ,ノーザン,,10,池上 昌和,151,169.5,20.1,418,88,
2024,2023,46,パドゥヴァルスの23,パドゥヴァルスの23,ポエティックフレア,エピファネイア,メス,鹿,2023-02-15,ノーザンＦ,ノーザン,,6,矢野 英一,151.5,169,19.1,415,89,
2024,2023,47,クロウエアの23,クロウエアの23,ミスターメロディ,トーセンホマレボシ,メス,栗,2023-01-14,ノーザンＦ,ノーザン,,4,新規開業,153,175.5,19,405,91,
2024,2023,48,ベルクワイアの23,ベルクワイアの23,ルヴァンスレーヴ,ロードカナロア,メス,栗,2023-02-10,ノーザンＦ,ノーザン,,7,勢司 和浩,153,175.5,20.1,427,93,
2024,2023,49,アップライトスピンの23,アップライトスピンの23,ルーラーシップ,ディープインパクト,牡,鹿,2023-04-10,追分Ｆ,追分,,7.5,森 一誠,151,168.5,20.3,423,94,
2024,2023,50,オリエンタルステップの23,オリエンタルステップの23,Ghaiyyath,Tamayuz,牡,黒鹿,2023-02-19,ノーザンＦ,ノーザン,,12.5,林 徹,159,180,21.9,482,96,
2024,2023,51,トゥープレシャスの23,トゥープレシャスの23,Sottsass,Holy Roman Emperor,メス,鹿,2023-01-16,ノーザンＦ,ノーザン,,12.5,堀 宣行,156,174,19,410,98,
2024,2023,52,フィルムフェストの23,フィルムフェストの23,キタサンブラック,スクリーンヒーロー,牡,鹿,2023-03-05,ノーザンＦ,ノーザン,,17.5,藤原 英昭,155.5,170,20.4,438,1,
2024,2023,53,ムーンティアーズの23,ムーンティアーズの23,キタサンブラック,Kendargent,メス,黒鹿,2023-02-17,ノーザンＦ,ノーザン,,11.5,池江 泰寿,153.5,175,20.2,419,3,
2024,2023,54,レッチェバロックの23,レッチェバロックの23,キタサンブラック,Uncle Mo,メス,黒鹿,2023-03-10,ノーザンＦ,ノーザン,,15,池添 学,154,174,19.8,446,4,
2024,2023,55,マジックアティテュードの23,マジックアティテュードの23,エピファネイア,Galileo,牡,青鹿,2023-02-19,ノーザンＦ,ノーザン,,20,安田 翔伍,150.5,174,19.9,434,5,
2024,2023,56,シンハライトの23,シンハライトの23,エピファネイア,ディープインパクト,メス,鹿,2023-02-17,ノーザンＦ,ノーザン,,20,斉藤 崇史,155,176,20,459,7,
2024,2023,57,リスグラシューの23,リスグラシューの23,エピファネイア,ハーツクライ,メス,青鹿,2023-04-07,ノーザンＦ,ノーザン,,20,矢作 芳人,151.5,176,20,451,9,
2024,2023,58,サークリングⅡの23,サークリングⅡの23,キズナ,,牡,,,,三嶋牧場,,14,斉藤 崇史,153,177,20.8,444,,クラブ7/1一覧に無し(生月日・母父・提供牧場はnetkeibaで補完)
2024,2023,59,マラコスタムブラダの23,マラコスタムブラダの23,キズナ,Lizard Island,牡,鹿,2023-04-08,ノーザンＦ,ノーザン,,25,松下 武士,151,166.5,20.1,407,14,
