year,born,no,name,reg_name,horse_id,sire,sex,birth,month,farm,farm_src,dam,dam_age,total_man,unit_man,weight,height,girth,cannon,kuchi,n_foals,trainer_planned,trainer,district,starts,wins,prize_jra,prize_nar,prize,ret,main_wins,graded,status
2020,2019,11,ピュアブリーゼの19,ヴィルトブリーゼ (Wild Brise),2019105369,ドゥラメンテ,メス,2020-02-06,2,ノーザンＦ,クラブ提供牧場,ピュアブリーゼ,11.0,2800.0,7.0,459.0,158.0,178.0,19.5,400,5.0,古賀,古賀慎明,美浦,18,2,2990.0,0.0,2990.0,1.0678571428571428,23'3歳以上1勝クラス22'3歳未勝利-->,0,ok
2020,2019,12,シェルズレイの19,レイフル (Lei Hulu),2019105217,ドゥラメンテ,メス,2020-02-28,2,ノーザンＦ,クラブ提供牧場,シェルズレイ,16.0,3200.0,8.0,438.0,155.5,174.0,19.4,400,10.0,木村,木村哲也,美浦,4,0,258.0,0.0,258.0,0.080625,-->,0,ok
2020,2019,13,ベルロワイヤルの19,ベルロワイヤルの2019,2019104488,ドゥラメンテ,メス,2020-03-15,3,追分Ｆ,クラブ提供牧場,ベルロワイヤル,11.0,2600.0,6.5,411.0,155.5,176.5,19.2,400,5.0,中舘,中舘英二,美浦,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,14,ディアデラマドレの19,レガラール (Regalar),2019105303,モーリス,牡,2020-01-31,1,ノーザンＦ,クラブ提供牧場,ディアデラマドレ,9.0,5000.0,12.5,464.0,157.0,182.0,20.0,400,3.0,武井,武井亮,美浦,1,1,520.0,0.0,520.0,0.104,22'3歳未勝利-->,0,ok
2020,2019,15,バウンスシャッセの19,グランプレジール (Grand Plaisir),2019105338,モーリス,牡,2020-03-11,3,ノーザンＦ,クラブ提供牧場,バウンスシャッセ,8.0,5000.0,12.5,478.0,154.0,186.0,20.0,400,2.0,堀,堀宣行,美浦,16,1,2493.0,0.0,2493.0,0.4986,22'3歳未勝利-->,0,ok
2020,2019,16,ヴィータアレグリアの19,ピエナディヴィータ (Piena di Vita),2019105097,モーリス,メス,2020-03-05,3,ノーザンＦ,クラブ提供牧場,ヴィータアレグリア,8.0,2400.0,6.0,482.0,160.0,184.0,19.6,400,2.0,高柳 瑞樹,田中淳司,北海道,2,2,0.0,70.0,70.0,0.029166666666666667,3歳以上C4ー33歳以上C4ー4-->,0,ok
2020,2019,17,アンレールの19,アンクロワ (En Croix),2019105060,モーリス,メス,2020-03-09,3,ノーザンＦ,クラブ提供牧場,アンレール,9.0,2000.0,5.0,399.0,155.0,174.0,20.0,400,3.0,伊坂,伊坂重信,美浦,14,2,3324.0,0.0,3324.0,1.662,22'3歳以上1勝クラス21'2歳新馬-->,0,ok
2020,2019,18,クレオールの19,エスペラント (Esperanto),2019105172,エピファネイア,牡,2020-01-28,1,ノーザンＦ,クラブ提供牧場,クレオール,7.0,2000.0,5.0,444.0,151.0,174.0,20.0,400,1.0,武藤,加藤和宏,金沢,23,1,1200.0,65.0,1265.0,0.6325,22'3歳未勝利-->,0,ok
2020,2019,19,オリエンタルポピーの19,アイスランドポピー (Iceland Poppy),2019105120,エピファネイア,メス,2020-04-21,4,ノーザンＦ,クラブ提供牧場,オリエンタルポピー,8.0,2000.0,5.0,435.0,156.0,177.0,19.5,400,3.0,中川,中川公成,美浦,12,0,1234.0,0.0,1234.0,0.617,-->,0,ok
2020,2019,20,ブルーメンブラットの19,フォラブリューテ (Voller Blute),2019105398,エピファネイア,メス,2020-05-02,5,ノーザンＦ,クラブ提供牧場,ブルーメンブラット,16.0,3000.0,7.5,431.0,154.5,176.0,19.6,400,9.0,宮田,嘉藤貴行,美浦,14,2,3011.0,0.0,3011.0,1.0036666666666667,22'紅梅S(L)21'2歳新馬-->,0,ok
2020,2019,21,ケイティーズハートの19,ヴァンガーズハート (Vanguard's Heart),2019105187,ハービンジャー,牡,2020-03-30,3,ノーザンＦ,クラブ提供牧場,ケイティーズハート,10.0,3000.0,7.5,455.0,153.0,174.0,20.9,400,3.0,鹿戸,藤原智行,浦和,22,1,2620.0,0.0,2620.0,0.8733333333333333,22'3歳未勝利-->,0,ok
2020,2019,22,クルミナルの19,アライバル (Arrival),2019105169,ハービンジャー,牡,2020-03-31,3,ノーザンＦ,クラブ提供牧場,クルミナル,7.0,5000.0,12.5,458.0,154.5,174.5,21.2,400,3.0,栗田,栗田徹,美浦,7,1,5149.0,0.0,5149.0,1.0298,21'2歳新馬-->,0,ok
2020,2019,23,エールデュレーヴの19,スプレッドアウト (Spread Out),2019105119,ハービンジャー,牡,2020-05-01,5,ノーザンＦ,クラブ提供牧場,エールデュレーヴ,6.0,3000.0,7.5,424.0,155.0,180.0,20.3,400,1.0,田村,田村康仁,美浦,4,0,78.0,0.0,78.0,0.026,-->,0,ok
2020,2019,24,ヴェルジョワーズの19,シュガービート (Sugar Beet),2019104529,ルーラーシップ,牡,2020-04-19,4,追分Ｆ,クラブ提供牧場,ヴェルジョワーズ,8.0,2600.0,6.5,411.0,152.0,166.0,19.9,400,2.0,池上,土田稔,美浦,19,3,78.0,124.0,202.0,0.07769230769230769,名古屋モーニングフィーバー52C20組-->,0,ok
2020,2019,25,スペルオンミーの19,スマイルオンミー (Smile on Me),2019105264,ルーラーシップ,メス,2020-01-21,1,ノーザンＦ,クラブ提供牧場,スペルオンミー,8.0,1800.0,4.5,536.0,162.5,186.0,21.1,400,2.0,尾関,尾関知人,美浦,11,2,2877.0,0.0,2877.0,1.5983333333333334,22'3歳以上1勝クラス22'3歳未勝利-->,0,ok
2020,2019,26,アウェイクの19,ウェイクアップ (Wake Up),2019105030,ルーラーシップ,メス,2020-03-10,3,ノーザンＦ,クラブ提供牧場,アウェイク,6.0,1800.0,4.5,436.0,147.0,173.0,19.5,400,1.0,宮田,宮田敬介,美浦,2,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,27,アールブリュットの19,パラレルヴィジョン (Parallel Vision),2019105065,キズナ,牡,2020-02-04,2,ノーザンＦ,クラブ提供牧場,アールブリュット,7.0,5000.0,12.5,447.0,156.0,175.0,21.1,400,1.0,国枝,内田勝義,川崎,23,6,13588.0,310.0,13898.0,2.7796,24'ダービー卿チャレンジT(G3)24'ニューイヤーS(L)-->,1,ok
2020,2019,28,ムーンライトダンスの19,ルナマーレ (Lunar Mare),2019105467,キタサンブラック,メス,2020-04-11,4,ノーザンＦ,クラブ提供牧場,ムーンライトダンス,17.0,2000.0,5.0,446.0,159.0,181.5,19.5,400,14.0,久保田,久保田貴,美浦,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,29,サダムグランジュテの19,グランパドゥシャ (Grand Pas de Chat),2019104547,キンシャサノキセキ,メス,2020-01-27,1,ノーザンＦ,クラブ提供牧場,サダムグランジュテ,11.0,1600.0,4.0,444.0,154.0,176.0,19.4,400,5.0,小西,川村守男,浦和,10,1,358.0,148.0,506.0,0.31625,C2二 三四-->,0,ok
2020,2019,30,カラベルラティーナの19,トライセイル,2019105135,ディープブリランテ,牡,2020-02-18,2,ノーザンＦ,クラブ提供牧場,カラベルラティーナ,15.0,1800.0,4.5,460.0,156.5,181.4,22.8,400,8.0,中舘,中舘英二,美浦,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,31,ペルレンケッテの19,グレアファンタス (Glare Fantas),2019105424,ドレフォン,牡,2020-04-09,4,ノーザンＦ,クラブ提供牧場,ペルレンケッテ,11.0,3000.0,7.5,449.0,154.0,176.0,20.5,400,4.0,高橋,後藤佑耶,笠松,10,3,0.0,148.0,148.0,0.04933333333333333,C16組C8組-->,0,ok
2020,2019,32,リーチコンセンサスの19,ジェネラルウィル (General Will),2019105524,ドレフォン,メス,2020-04-03,4,ノーザンＦ,クラブ提供牧場,リーチコンセンサス,13.0,2000.0,5.0,454.0,156.0,176.0,19.8,400,5.0,林,諏訪貴正,兵庫,22,2,485.0,145.0,630.0,0.315,ポットマム特別イヌサフラン特別-->,0,ok
2020,2019,33,ティンバレスの19,パーカッション (Percussion),2019105296,イスラボニータ,牡,2020-01-22,1,ノーザンＦ,クラブ提供牧場,ティンバレス,7.0,1800.0,4.5,486.0,157.0,180.0,21.2,400,1.0,田中,黒岩陽一,美浦,15,3,2554.0,0.0,2554.0,1.4188888888888889,23'4歳以上1勝クラス24'障害4歳以上未勝利-->,0,ok
2020,2019,34,エクストラペトルの19,ロータスペトル (Lotus Petal),2019104532,イスラボニータ,牡,2020-01-12,1,白老Ｆ,クラブ提供牧場,エクストラペトル,7.0,1800.0,4.5,462.0,150.5,176.0,20.1,400,1.0,加藤,野口寛仁,浦和,12,1,52.0,155.0,207.0,0.115,3歳四 選抜馬イ-->,0,ok
2020,2019,35,クルージンミジーの19,オールフラッグ (All Flag),2019105170,トゥザワールド,牡,2020-05-10,5,ノーザンＦ,クラブ提供牧場,クルージンミジー,10.0,1600.0,4.0,439.0,152.0,174.5,20.3,400,5.0,奥村 武,佐藤裕太,船橋,27,4,3190.0,843.0,4033.0,2.520625,23'4歳以上2勝クラス22'3歳以上1勝クラス-->,0,ok
2020,2019,36,ムスタパルタの19,パルタージュ (Partage),2019100588,トゥザワールド,メス,2020-03-11,3,ノーザンＦ,クラブ提供牧場,ムスタパルタ,8.0,1200.0,3.0,429.0,155.5,175.5,18.5,400,4.0,伊藤 大士,藤田正治,笠松,31,5,0.0,290.0,290.0,0.24166666666666667,3歳C2二組C4組-->,0,ok
2020,2019,37,オーマイベイビーの19,クレイドル (Cradle),2019105125,クロフネ,メス,2020-02-28,2,ノーザンＦ,クラブ提供牧場,オーマイベイビー,8.0,2000.0,5.0,453.0,156.5,176.0,19.3,400,3.0,黒岩,黒岩陽一,美浦,3,1,801.0,0.0,801.0,0.4005,21'2歳新馬-->,0,ok
2020,2019,38,フェルミオンの19,ダイバリオン (Dibaryon),2019105383,ジャスタウェイ,牡,2020-04-15,4,ノーザンＦ,クラブ提供牧場,フェルミオン,13.0,2400.0,6.0,410.0,155.0,168.0,20.0,400,8.0,池上,嶋田幸晴,大井,37,3,5073.0,427.0,5500.0,2.2916666666666665,24'初日の出賞(2勝クラス)23'3歳以上1勝クラス-->,0,ok
2020,2019,39,ロザリンドの19,アルドゥエンナ (Arduenna),2019105557,スクリーンヒーロー,メス,2020-02-09,2,ノーザンＦ,クラブ提供牧場,ロザリンド,8.0,3000.0,7.5,414.0,152.0,177.0,19.0,400,3.0,稲垣,稲垣幸雄,美浦,4,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,40,ピンクアリエスの19,ローゼシュティア (Rose Stier),2019105371,トーセンラー,メス,2020-04-29,4,ノーザンＦ,クラブ提供牧場,ピンクアリエス,12.0,1400.0,3.5,413.0,154.5,173.0,19.8,400,7.0,菊沢,八木正喜,川崎,55,1,502.0,319.0,821.0,0.5864285714285714,渚8歳誕生日おめでとう記念-->,0,ok
2020,2019,41,グリューヴァインの19,ミッテルライン (Mittelrhein),2019105180,ヘニーヒューズ,メス,2020-03-13,3,ノーザンＦ,クラブ提供牧場,グリューヴァイン,7.0,1600.0,4.0,440.0,154.5,176.5,19.4,400,1.0,和田,諏訪貴正,兵庫,46,3,288.0,348.0,636.0,0.3975,C3二C1-->,0,ok
2020,2019,42,サザンスピードの19,サザンクロス (Southern Cross),2019105198,ミッキーアイル,メス,2020-02-15,2,ノーザンＦ,クラブ提供牧場,サザンスピード,12.0,1600.0,4.0,512.0,166.0,179.0,19.5,400,4.0,矢野,矢野英一,美浦,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,43,ソングバードの19,ハミングバード (Humming Bird),2019105275,リアルインパクト,メス,2020-05-10,5,ノーザンＦ,クラブ提供牧場,ソングバード,15.0,1400.0,3.5,420.0,153.5,175.0,20.5,400,10.0,勢司,勢司和浩,美浦,1,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,44,ロスヴァイセの19,ヴァーンフリート (Wahnfried),2019105560,リオンディーズ,牡,2020-02-18,2,ノーザンＦ,クラブ提供牧場,ロスヴァイセ,8.0,3000.0,7.5,497.0,157.0,178.0,21.0,400,2.0,手塚,矢嶋大樹,美浦,20,3,5656.0,0.0,5656.0,1.8853333333333333,23'青梅特別(2勝クラス)22'3歳以上1勝クラス-->,0,ok
2020,2019,45,リーチングの19,ブロードリーチ (Broad Reach),2019105525,Arrogate,メス,2020-05-15,5,ノーザンＦ,クラブ提供牧場,リーチング,10.0,2400.0,6.0,410.0,158.5,174.0,21.0,400,5.0,宗像,宗像義忠,美浦,12,3,1394.0,65.0,1459.0,0.6079166666666667,23'4歳以上1勝クラスC3組-->,0,ok
2020,2019,46,キラーグレイシスの19,キラーアビリティ (Killer Ability),2019105155,ディープインパクト,牡,2020-01-27,1,ノーザンＦ,クラブ提供牧場,キラーグレイシス,10.0,10000.0,25.0,447.0,155.0,174.0,20.1,400,5.0,斉藤,斉藤崇史,栗東,18,3,14431.0,0.0,14431.0,1.4431,21'ホープフルS(G1)22'中日新聞杯(G3)-->,1,ok
2020,2019,47,ピースアンドウォーの19,デイジーラック (Daisy Luck),2019105372,ディープインパクト,メス,2020-01-16,1,ノーザンＦ,クラブ提供牧場,ピースアンドウォー,7.0,6000.0,15.0,401.0,153.0,172.5,19.0,400,2.0,藤原,藤原英昭,栗東,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,48,シンハライトの19,アルジュナ (Arjuna),2019105236,キングカメハメハ,牡,2020-02-04,2,ノーザンＦ,クラブ提供牧場,シンハライト,6.0,10000.0,25.0,406.0,156.0,178.0,21.0,400,2.0,池添 学,池添学,栗東,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,49,フロアクラフトの19,アレマーナ (Alemana),2019105391,キングカメハメハ,メス,2020-04-05,4,ノーザンＦ,クラブ提供牧場,フロアクラフト,9.0,4000.0,10.0,438.0,154.0,180.0,20.2,400,3.0,松下 武士,松下武士,栗東,23,2,2407.0,0.0,2407.0,0.60175,23'4歳以上1勝クラス22'3歳未勝利-->,0,ok
2020,2019,50,クルソラの19,セレシオン (Seleccion),2019105168,ハーツクライ,牡,2020-04-04,4,ノーザンＦ,クラブ提供牧場,クルソラ,17.0,5000.0,12.5,439.0,157.0,175.5,20.7,400,11.0,友道,友道康夫,栗東,16,4,10586.0,0.0,10586.0,2.1172,24'弥彦S(3勝クラス)22'阿賀野川特別(2勝クラス)-->,0,ok
2020,2019,51,ファイナルスコアの19,プレミアスコア (Premiere Score),2019105374,ハーツクライ,メス,2020-02-19,2,ノーザンＦ,クラブ提供牧場,ファイナルスコア,8.0,4400.0,11.0,437.0,160.0,183.5,19.0,400,3.0,松永 幹夫,松永幹夫,栗東,10,1,1097.0,0.0,1097.0,0.24931818181818183,22'3歳未勝利-->,0,ok
2020,2019,52,マルティンスタークの19,アルトシュタット (Altstadt),2019105449,ロードカナロア,牡,2020-03-29,3,ノーザンＦ,クラブ提供牧場,マルティンスターク,14.0,5000.0,12.5,442.0,151.0,175.0,20.4,400,7.0,安田 翔伍,工藤真司,高知,25,7,5740.0,240.0,5980.0,1.196,23'4歳以上2勝クラス21'さざんか賞(1勝クラス)-->,0,ok
2020,2019,53,サンビスタの19,ジレトール (Diretor),2019105972,ロードカナロア,牡,2020-04-22,4,ノーザンＦ,クラブ提供牧場,サンビスタ,10.0,8000.0,20.0,401.0,154.0,170.0,20.5,400,3.0,松永 幹夫,松永幹夫,栗東,26,6,15177.0,390.0,15567.0,1.945875,24'天王山S(OP)24'松風月S(OP)-->,0,ok
2020,2019,54,シェリールの19,アッタガール (Attagirl),2019105216,ロードカナロア,メス,2020-02-07,2,ノーザンＦ,クラブ提供牧場,シェリール,19.0,3400.0,8.5,468.0,160.0,181.0,20.0,400,11.0,池江,佐々木由,岩手,4,1,0.0,55.0,55.0,0.016176470588235296,C2七組-->,0,ok
2020,2019,55,ジンジャーパンチの19,プレミアムスマイル (Premium Smile),2019105256,ロードカナロア,メス,2020-04-04,4,ノーザンＦ,クラブ提供牧場,ジンジャーパンチ,16.0,5600.0,14.0,466.0,152.5,177.0,19.7,400,9.0,池添 学,福永祐一,栗東,19,3,3534.0,0.0,3534.0,0.6310714285714286,23'3歳以上2勝クラス22'3歳以上1勝クラス-->,0,ok
2020,2019,56,ギモーヴの19,スモア (S'more),2019105158,ドゥラメンテ,牡,2020-02-25,2,ノーザンＦ,クラブ提供牧場,ギモーヴ,6.0,4400.0,11.0,451.0,157.5,175.5,20.8,400,1.0,高野,高野友和,栗東,1,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,57,シャムロッカーの19,トリフォリウム (Trifolium),2019105220,ドゥラメンテ,メス,2020-02-03,2,ノーザンＦ,クラブ提供牧場,シャムロッカー,12.0,2800.0,7.0,494.0,164.5,180.0,19.7,400,6.0,庄野,庄野靖志,栗東,2,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,58,リッチダンサーの19,ラクスバラディー (Raqs Baladi),2019105514,ドゥラメンテ,メス,2020-03-20,3,ノーザンＦ,クラブ提供牧場,リッチダンサー,19.0,4000.0,10.0,479.0,162.0,180.0,20.2,400,15.0,清水,清水久詞,栗東,22,3,4658.0,0.0,4658.0,1.1645,23'御池特別(2勝クラス)22'3歳以上1勝クラス-->,0,ok
2020,2019,59,ディアマイベイビーの19,ゲイングラウンド (Gain Ground),2019105304,モーリス,牡,2020-05-24,5,ノーザンＦ,クラブ提供牧場,ディアマイベイビー,9.0,4000.0,10.0,,,,,400,4.0,須貝,須貝尚介,栗東,7,1,928.0,0.0,928.0,0.232,22'3歳未勝利-->,0,ok
2020,2019,60,アビラの19,ラスマドレス (Las Madres),2019105048,モーリス,メス,2020-03-11,3,ノーザンＦ,クラブ提供牧場,アビラ,15.0,2800.0,7.0,438.0,160.0,180.0,20.0,400,10.0,安田 隆行,安田翔伍,栗東,20,3,4452.0,0.0,4452.0,1.59,23'衣笠特別(2勝クラス)23'3歳以上1勝クラス-->,0,ok
2020,2019,61,プルメリアスターの19,セラディーン (Celadine),2019105407,モーリス,メス,2020-03-23,3,ノーザンＦ,クラブ提供牧場,プルメリアスター,7.0,2800.0,7.0,412.0,156.0,171.5,18.5,400,1.0,矢作,矢作芳人,栗東,1,0,78.0,0.0,78.0,0.027857142857142858,-->,0,ok
2020,2019,62,テネイシャスの19,,,エピファネイア,牡,2020-04-18,4,ノーザンＦ,クラブ提供牧場,テネイシャス,4.0,3000.0,7.5,430.0,150.0,171.5,20.3,400,1.0,池江,,,,,,,0,0.0,,0,
2020,2019,63,リラヴァティの19,ホートンプレインズ (Horton Plains),2019105522,エピファネイア,メス,2020-02-11,2,ノーザンＦ,クラブ提供牧場,リラヴァティ,8.0,3600.0,9.0,429.0,155.5,175.0,19.6,400,2.0,平田,森沢友貴,兵庫,10,0,650.0,0.0,650.0,0.18055555555555555,-->,0,ok
2020,2019,64,グランデアモーレの19,グランデレジーナ (Grande Regina),2019104542,エピファネイア,メス,2020-03-09,3,ノーザンＦ,クラブ提供牧場,グランデアモーレ,9.0,2800.0,7.0,460.0,152.0,178.0,19.5,400,3.0,藤岡 健一,平松徳彦,兵庫,21,1,850.0,0.0,850.0,0.30357142857142855,21'2歳新馬-->,0,ok
2020,2019,65,ディアデラノビアの19,グランディア (Gran Dia),2019105302,ハービンジャー,牡,2020-03-13,3,ノーザンＦ,クラブ提供牧場,ディアデラノビア,17.0,5600.0,14.0,426.0,156.0,180.0,20.0,400,11.0,中内田,中内田充,栗東,27,5,17996.0,0.0,17996.0,3.2135714285714285,26'新潟大賞典(G3)24'スピカS(3勝クラス)-->,1,ok
2020,2019,66,ジュモーの19,フォアランナー (Forerunner),2019105253,ハービンジャー,牡,2020-03-15,3,ノーザンＦ,クラブ提供牧場,ジュモー,13.0,5000.0,12.5,482.0,158.0,176.0,21.0,400,7.0,西村,三小田幸,佐賀,29,2,450.0,164.0,614.0,0.1228,かもみちゃん生誕特別チャレンジシリーズ-->,0,ok_fixup
2020,2019,67,サンブルエミューズの19,ナミュール (Namur),2019105213,ハービンジャー,メス,2020-03-02,3,ノーザンＦ,クラブ提供牧場,サンブルエミューズ,9.0,2600.0,6.5,424.0,157.0,176.0,19.5,400,3.0,高野,高野友和,栗東,18,5,50963.0,0.0,50963.0,19.601153846153846,23'マイルCS(G1)23'富士S(G2)-->,1,ok
2020,2019,68,シャルールの19,トランキリテ (Tranquillite),2019104556,ルーラーシップ,牡,2020-03-29,3,白老Ｆ,クラブ提供牧場,シャルール,7.0,3000.0,7.5,405.0,148.0,169.0,20.0,400,1.0,松永 幹夫,松永幹夫,栗東,29,4,9897.0,0.0,9897.0,3.299,24'石清水S(3勝クラス)23'4歳以上2勝クラス-->,0,ok
2020,2019,69,ベルディーヴァの19,ベルシャンテ (Belle Chanter),2019105418,ルーラーシップ,メス,2020-02-28,2,ノーザンＦ,クラブ提供牧場,ベルディーヴァ,7.0,2400.0,6.0,426.0,152.0,175.0,20.0,400,1.0,奥村 豊,森沢友貴,兵庫,11,0,698.0,0.0,698.0,0.29083333333333333,-->,0,ok
2020,2019,70,アスティルの19,シエルエトワール (Ciel Etoile),2019105035,ルーラーシップ,メス,2020-05-06,5,ノーザンＦ,クラブ提供牧場,アスティル,5.0,1800.0,4.5,386.0,150.0,168.5,19.2,400,1.0,高柳 大輔,頼本盛行,佐賀,30,0,0.0,31.0,31.0,0.017222222222222222,-->,0,ok
2020,2019,71,リュシオルの19,グリューヴルム (Gluhwurm),2019105519,キズナ,牡,2020-03-15,3,ノーザンＦ,クラブ提供牧場,リュシオル,13.0,3000.0,7.5,445.0,157.5,177.0,20.7,400,6.0,大久保 龍志,内田勝義,川崎,26,7,7248.0,5508.0,12756.0,4.252,26'金盃(G)25'東京記念トライアル(OP)-->,0,ok
2020,2019,72,クリソプレーズの19,クリソプレーズの2019,2019105166,キタサンブラック,牡,2020-05-05,5,ノーザンＦ,クラブ提供牧場,クリソプレーズ,17.0,5000.0,12.5,439.0,160.0,174.0,21.6,400,9.0,音無,音無秀孝,栗東,0,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,73,ワナダンスの19,コルティーナ (Cortina),2019105573,キタサンブラック,メス,2020-01-27,1,ノーザンＦ,クラブ提供牧場,ワナダンス,9.0,1800.0,4.5,488.0,158.0,177.5,20.6,400,5.0,橋口 慎介,橋口慎介,栗東,8,0,277.0,0.0,277.0,0.15388888888888888,-->,0,ok
2020,2019,74,レオパルディナの19,ジャグアーロ (Giaguaro),2019104614,キンシャサノキセキ,牡,2020-02-09,2,ノーザンＦ,クラブ提供牧場,レオパルディナ,7.0,2000.0,5.0,401.0,153.0,167.0,20.0,400,1.0,杉山,杉山晴紀,栗東,4,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,75,カイカヨソウの19,カイカノキセキ (Kaikano Kiseki),2019104536,キンシャサノキセキ,メス,2020-02-15,2,ノーザンＦ,クラブ提供牧場,カイカヨソウ,9.0,2000.0,5.0,487.0,155.0,181.0,20.2,400,2.0,池添 学,高橋一哉,栗東,25,1,4523.0,0.0,4523.0,2.2615,21'2歳新馬-->,0,ok
2020,2019,76,カニョットの19,セレステイブランコ (Celeste y Blanco),2019106917,ディープブリランテ,牡,2020-02-26,2,ノーザンＦ,クラブ提供牧場,カニョット,14.0,1800.0,4.5,460.0,156.0,175.0,20.4,400,7.0,渡辺 薫彦,渡辺薫彦,栗東,4,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,77,シンハディーパの19,シンハプーラ (Simha Pura),2019105235,ディープブリランテ,メス,2020-03-21,3,ノーザンＦ,クラブ提供牧場,シンハディーパ,9.0,2000.0,5.0,403.0,153.0,169.0,20.0,400,4.0,高野,高野友和,栗東,1,0,0.0,0.0,0,0.0,-->,0,ok
2020,2019,78,プリンセスカメリアの19,リゴレット (Rigoletto),2019105404,ドレフォン,メス,2020-02-04,2,ノーザンＦ,クラブ提供牧場,プリンセスカメリア,18.0,2400.0,6.0,435.0,153.0,180.0,19.0,400,9.0,羽月,羽月友彦,栗東,21,1,1487.0,0.0,1487.0,0.6195833333333334,22'3歳未勝利-->,0,ok
