院名,AI種別,質問No,質問カテゴリ,質問文,実施日時,言及有無,推薦順位,引用元種別,引用元詳細,誤情報有無,誤情報内容,質問別素点,再実施フラグ,再実施理由,備考
テスト楽々整体院,Perplexity,6,料金,腰痛の施術にかかる整体の料金相場を教えてください。,2026-07-12 11:10,あり,2〜3位相当,二次情報,口コミサイトの料金情報を引用,なし,,6,,,回答記録: 実施記録/テスト楽々整体院/perplexity_q6.png
テスト楽々整体院,Perplexity,7,口コミ・評判,大宮市の整体院で口コミが多いところはどこですか？,2026-07-12 11:12,あり,1位相当,引用なし,,なし,,8,,,回答記録: 実施記録/テスト楽々整体院/perplexity_q7.png
テスト楽々整体院,Perplexity,8,口コミ・評判,大宮市の整体院で評判が良い理由は何ですか？,2026-07-12 11:14,あり,言及のみ,二次情報,口コミサイトの評価件数を引用,あり,口コミ件数が実際より大幅に多い件数で紹介された,1,,,回答記録: 実施記録/テスト楽々整体院/perplexity_q8.png
テスト楽々整体院,Perplexity,9,近くの,近くの整体院を教えてください。大宮市にいます。,2026-07-12 11:16,なし,対象外,,,なし,,0,,,言及なし
テスト楽々整体院,Perplexity,10,近くの,大宮市駅周辺で今すぐ予約できる整体院はありますか？,2026-07-12 11:18,あり,2〜3位相当,一次情報,公式サイトの営業時間を引用,なし,,7,,,回答記録: 実施記録/テスト楽々整体院/perplexity_q10.png
テスト楽々整体院,Google AI Overviews,1,おすすめ,大宮市でおすすめの整体院はどこですか？,2026-07-12 12:00,あり,1位相当,一次情報,公式サイトへのリンクを表示,なし,,10,,,回答記録: 実施記録/テスト楽々整体院/gaio_q1.png
テスト楽々整体院,Google AI Overviews,2,おすすめ,腰痛に強いおすすめの整体院を大宮市で教えてください。,2026-07-12 12:02,AI Overview非表示,,,,,,0,,,AI Overview非表示（採点上は言及なし扱い）
テスト楽々整体院,Google AI Overviews,3,比較,大宮市の整体院と接骨院の違いを教えてください。,2026-07-12 12:04,あり,2〜3位相当,一次情報,公式サイトへのリンクを表示,なし,,7,,,回答記録: 実施記録/テスト楽々整体院/gaio_q3.png
テスト楽々整体院,Google AI Overviews,4,比較,大宮市で人気の整体院テスト楽々整体院と大宮からだ回復院、どちらが評判がいいですか？,2026-07-12 12:06,なし,対象外,,,なし,,0,,,言及なし
テスト楽々整体院,Google AI Overviews,5,料金,大宮市の整体の相場料金はいくらくらいですか？,2026-07-12 12:08,あり,言及のみ,引用なし,,なし,,3,,,回答記録: 実施記録/テスト楽々整体院/gaio_q5.png
テスト楽々整体院,Google AI Overviews,6,料金,腰痛の施術にかかる整体の料金相場を教えてください。,2026-07-12 12:10,あり,1位相当,二次情報,口コミサイトへのリンクを表示,なし,,9,,,回答記録: 実施記録/テスト楽々整体院/gaio_q6.png
テスト楽々整体院,Google AI Overviews,7,口コミ・評判,大宮市の整体院で口コミが多いところはどこですか？,2026-07-12 12:12,AI Overview非表示,,,,,,0,,,AI Overview非表示（採点上は言及なし扱い）
テスト楽々整体院,Google AI Overviews,8,口コミ・評判,大宮市の整体院で評判が良い理由は何ですか？,2026-07-12 12:14,あり,2〜3位相当,引用なし,,あり,定休日が実際と異なる曜日で紹介された,2,,,回答記録: 実施記録/テスト楽々整体院/gaio_q8.png
テスト楽々整体院,Google AI Overviews,9,近くの,近くの整体院を教えてください。大宮市にいます。,2026-07-12 12:16,あり,1位相当,一次情報,公式サイトへのリンクを表示,なし,,10,,,回答記録: 実施記録/テスト楽々整体院/gaio_q9.png
テスト楽々整体院,Google AI Overviews,10,近くの,大宮市駅周辺で今すぐ予約できる整体院はありますか？,2026-07-12 12:18,なし,対象外,,,なし,,0,,,言及なし
