No,フラグ,日時,競馬場,開催日,人気合計,フラグ,レース,1着人気,2着人気,レース,1着人気,2着人気,レース,1着人気,2着人気,キャリーオーバー発声中,的中口数,的中金額,キャリーオーバー
48,1,11月4日(火),船橋,第8回2日目,12,2,10R,1,3,11R,2,3,12R,1,2,,,"157,070",
128,,8月27日(水),門別,第10回5日目,20,2,10R,1,6,11R,7,1,12R,3,2,,,"605,420",
129,,8月26日(火),川崎,第6回4日目,24,0,10R,2,3,11R,3,4,12R,3,9,,,"4,347,640",
130,,8月26日(火),門別,第10回4日目,19,2,10R,6,3,11R,1,2,12R,1,6,,,"823,085",
131,,8月25日(月),川崎,第6回3日目,22,1,10R,2,9,11R,1,2,12R,6,2,1,,"629,215",
132,,8月22日(金),川崎,第6回2日目,28,1,10R,10,3,11R,1,7,12R,5,2,,,,"11,386,011"
133,,8月21日(木),川崎,第6回1日目,10,3,10R,1,2,11R,3,1,12R,2,1,,,"71,750",
134,,8月21日(木),門別,第10回3日目,18,2,10R,5,7,11R,2,1,12R,1,2,,,"533,350",
135,,8月20日(水),浦和,第5回4日目,22,1,10R,1,2,11R,3,7,12R,2,7,,,"4,211,745",
136,,8月20日(水),門別,第10回2日目,23,1,10R,9,5,11R,3,2,12R,1,3,,,"2,089,035",
137,,8月19日(火),浦和,第5回3日目,19,1,10R,4,2,11R,2,6,12R,4,1,,,"3,103,290",
12,,12月18日(木),川崎,第10回4日目,20,2,10R,1,3,11R,2,3,12R,1,10,,,"581,445",
139,,8月18日(月)同着あり,浦和,第5回2日目,18,2,10R,2,1,11R同着,5,1,12R,4,5,,,"702,800",
140,,8月18日(月)同着あり,浦和,第5回2日目,20,1,10R,2,1,11R同着,5,3,12R,4,5,,,"2,108,330",
141,,8月15日(金),浦和,第5回1日目,10,3,10R,1,2,11R,1,3,12R,2,1,,,"23,375",
142,,8月15日(金),大井,第7回6日目,14,2,8R,3,1,9R,4,3,10R,1,2,,,"125,385",
91,1,9月29日(月),船橋,第7回1日目,14,2,10R,1,5,11R,3,2,12R,2,1,,,"163,535",
144,,8月14日(木),門別,第9回6日目,11,2,10R,2,3,11R,2,1,12R,2,1,,,"283,505",
145,,8月13日(水),大井,第7回4日目,33,1,10R,1,9,11R,3,5,12R,6,9,,,"11,748,925",
146,,8月13日(水),門別,第9回5日目,13,3,10R,2,1,11R,1,5,12R,1,3,,,"28,125",
147,,8月12日(火),大井,第7回3日目,13,2,8R,2,3,9R,1,3,10R,1,3,,,"51,960",
148,3,8月12日(火),門別,第9回4日目,19,3,10R,1,4,11R,1,5,12R,1,7,,,"79,770",
149,,8月11日(月),大井,第7回2日目,21,3,9R,1,4,10R,1,9,11R,1,5,,,"211,730",
150,,8月10日(日),大井,第7回1日目,14,1,6R,2,3,7R,1,3,8R,3,2,,,"182,035",
151,,8月8日(金),川崎,第5回5日目,16,1,10R,2,4,11R,3,1,12R,4,2,,,"3,051,930",
152,,8月7日(木),川崎,第5回4日目,12,3,10R,1,2,11R,1,5,12R,1,2,,,"43,675",
153,,8月7日(木),門別,第9回3日目,13,3,10R,2,1,11R,1,5,12R,1,3,,,"59,870",
154,,8月6日(水),川崎,第5回3日目,16,2,10R,4,1,11R,5,2,12R,1,3,,,"452,750",
155,,8月6日(水),門別,第9回2日目,19,2,10R,4,5,11R,1,6,12R,1,2,,,"1,247,180",
156,,8月5日(火),川崎,第5回2日目,22,2,10R,1,2,11R,1,7,12R,5,6,,,"222,555",
157,,8月5日(火),門別,第9回1日目,12,3,10R,2,1,11R,3,1,12R,1,4,,,"47,435",
158,,8月4日(月),川崎,第5回1日目,23,1,10R,7,3,11R,1,4,12R,2,6,1,,"56,363,510",
159,,8月1日(金),船橋,第5回5日目,23,2,10R,2,9,11R,1,3,12R,1,7,,,"854,580",
160,,7月31日(木),船橋,第5回4日目,17,2,10R,2,7,11R,1,2,12R,1,4,,,"217,300",
161,,7月31日(木),門別,第8回6日目,16,1,10R,2,6,11R,2,3,12R,1,2,,,"169,830",
15,,12月15日(月),川崎,第10回1日目,22,2,10R,1,3,11R,4,3,12R,1,10,,,"1,116,635",
163,,7月29日(火),船橋,第5回2日目,14,3,10R,1,4,11R,1,3,12R,1,4,,,"57,820",
164,,7月29日(火),門別,第8回4日目,15,2,10R,3,6,11R,2,1,12R,2,1,,,"925,220",
165,,7月28日(月),船橋,第5回1日目,18,2,10R,3,1,11R,7,1,12R,2,4,,,"2,392,970",
166,,7月25日(金),浦和,第4回5日目,20,2,10R,6,7,11R,1,2,12R,1,3,,,"1,336,220",
167,,7月24日(木),浦和,第4回4日目,19,2,10R,2,8,11R,2,1,12R,5,1,,,"4,147,450",
168,,7月24日(木),門別,第8回3日目,11,3,10R,1,2,11R,1,2,12R,1,4,,,"29,620",
169,,7月23日(水),浦和,第4回3日目,20,1,10R,4,7,11R,3,1,12R,3,2,,,"7,476,000",
170,,7月23日(水),門別,第8回2日目,12,3,10R,1,2,11R,1,3,12R,1,4,1,,"27,915",
82,1,10月6日(月),大井,第10回2日目,14,2,8R,1,3,9R,3,2,10R,4,1,,,"180,470",
172,,7月22日(火),門別,第8回1日目,18,1,10R,3,2,11R,4,6,12R,1,2,,,,"6,773,802"
173,,7月21日(月),浦和,第4回1日目,18,2,10R,2,1,11R,2,7,12R,1,5,,,"1,433,285",
174,,7月18日(金),大井,第6回5日目,18,3,10R,1,7,11R,4,1,12R,1,4,,,"1,027,350",
175,,7月17日(木),大井,第6回4日目,12,3,10R,2,1,11R,3,1,12R,1,4,1,,"127,445",
305,6,3月12日(水),大井,第18回3日目,19,2,10R,3,5,11R,1,2,12R,1,7,,,"180,645",
177,,7月16日(水),大井,第6回3日目,25,2,10R,1,4,11R,7,3,12R,9,1,,,,"15,325,058"
178,,7月16日(水),門別,第7回5日目,16,3,10R,1,4,11R,1,5,12R,1,4,,,"136,590",
58,3,10月27日(月),浦和,第7回1日目,14,3,10R,1,2,11R,1,3,12R,1,6,,,"198,470",
180,,7月15日(火),門別,第7回4日目,19,2,10R,1,5,11R,3,5,12R,1,4,,,"92,870",
181,,7月14日(月),大井,第6回1日目,18,2,10R,2,1,11R,4,3,12R,1,7,,,"2,739,555",
224,3,6月9日(月),大井,第4回1日目,15,3,10R,1,3,11R,1,3,12R,1,6,,,"290,855",
183,,7月10日(木),門別,第7回3日目,11,2,10R,3,2,11R,2,1,12R,1,2,,,"81,165",
184,,7月9日(水),川崎,第4回3日目,14,2,10R,1,3,11R,2,5,12R,2,1,1,,"954,610",
185,,7月9日(水),門別,第7回2日目,20,1,10R,5,4,11R,3,1,12R,3,4,,,"3,831,560",
186,,7月8日(火),川崎,第4回2日目,27,0,10R,4,2,11R,2,4,12R,4,11,,,,"9,437,043"
187,,7月8日(火),門別,第7回1日目,25,1,10R,1,4,11R,2,5,12R,6,7,,,"2,485,090",
188,,7月7日(月),川崎,第4回1日目,23,2,10R,1,3,11R,8,3,12R,1,7,,,"6,490,655",
189,,7月6日(日),船橋,第4回5日目,13,2,10R,4,2,11R,1,3,12R,1,2,,,"29,850",
83,6,10月5日(日),大井,第10回1日目,20,2,6R,3,5,7R,2,1,8R,1,8,,,"303,050",
138,,8月19日(火),門別,第10回1日目,15,1,10R,1,2,11R,3,4,12R,2,3,,,"206,950",
192,,7月4日(金),大井,第5回5日目,14,3,10R,5,1,11R,1,2,12R,1,4,,,"200,445",
193,,7月3日(木),船橋,第4回2日目,12,2,10R,2,1,11R,3,1,12R,2,3,,,"112,930",
179,4,7月15日(火),大井,第6回2日目,18,2,10R,1,8,11R,1,3,12R,2,3,,,"337,535",
195,,7月3日(木),門別,第6回6日目,15,2,10R,3,1,11R,5,3,12R,2,1,,,"573,765",
196,,7月2日(水),大井,第5回3日目,11,3,10R,1,2,11R,1,4,12R,1,2,1,,"28,920",
268,,4月25日(金),浦和,第1回5日目,20,1,10R,1,7,11R,4,2,12R,2,4,,,"896,775",
198,,7月1日(火),大井,第5回2日目,23,2,10R,10,1,11R,2,1,12R,7,2,,,,"8,424,206"
302,,3月13日(木),船橋,第13回4日目,21,1,10R,1,6,11R,2,3,12R,2,7,,,"308,855",
325,6,2月14日(金),船橋,第12回5日目,17,1,10R,2,3,11R,1,3,12R,2,6,1,,"728,615",
201,,6月30日(月),大井,第5回1日目,22,2,10R,5,1,11R,2,1,12R,3,10,,,"10,045,815",
202,,6月27日(金),浦和,第3回5日目,15,3,10R,1,3,11R,1,5,12R,1,4,,,"92,465",
72,,10月14日(火),川崎,第8回2日目,16,1,10R,1,3,11R,4,3,12R,3,2,,,,"8,976,513"
204,,6月26日(木),門別,第6回3日目,14,3,10R,3,1,11R,1,3,12R,1,5,,,"72,900",
205,,6月25日(水),浦和,第3回3日目,20,3,10R,8,1,11R,1,7,12R,2,1,,,,"13,108,466"
206,,6月25日(水),門別,第6回2日目,19,1,10R,2,7,11R,4,2,12R,1,3,,,"2,994,425",
207,,6月24日(火),浦和,第3回2日目,24,0,10R,3,4,11R,4,5,12R,2,6,,,"2,069,240",
208,,6月24日(火),門別,第6回1日目,15,2,10R,4,1,11R,2,3,12R,1,4,,,"216,905",
209,,6月23日(月),浦和,第3回1日目,10,3,10R,1,3,11R,2,1,12R,2,1,,,"360,750",
210,,6月20日(金),川崎,第3回5日目,19,2,10R,3,4,11R,1,4,12R,6,1,,,"1,772,115",
211,,6月19日(木),川崎,第3回4日目,13,1,10R,2,3,11R,1,2,12R,2,3,,,"81,485",
212,,6月19日(木),門別,第5回5日目,15,2,10R,4,1,11R,3,4,12R,1,2,,,"102,815",
213,,6月18日(水),川崎,第3回3日目,24,3,10R,1,4,11R,1,7,12R,1,10,,,"563,310",
214,,6月18日(水),門別,第5回4日目,16,2,10R,3,5,11R,4,1,12R,2,1,,,"4,498,665",
127,6,8月27日(水),船橋,第6回1日目,19,1,10R,3,5,11R,2,1,12R,2,6,,,"868,760",
216,,6月16日(月),川崎,第3回1日目,23,2,10R,12,4,11R,3,1,12R,1,2,,,,"9,988,685"
217,,6月13日(金),大井,第4回5日目,13,2,10R,1,2,11R,2,5,12R,2,1,,,"174,715",
215,3,6月17日(火),川崎,第3回2日目,21,3,10R,1,2,11R,1,5,12R,1,11,1,,"917,850",
219,2,6月12日(木),門別,第5回3日目,12,3,10R,1,2,11R,2,1,12R,1,5,,,"26,055",
292,4,3月27日(木),大井,第19回4日目,17,2,10R,1,2,11R,1,6,12R,2,5,,,"1,053,165",
221,,6月11日(水),門別,第5回2日目,15,3,10R,1,7,11R,2,1,12R,3,1,,,"250,440",
222,,6月10日(火),大井,第4回2日目,21,1,10R,1,5,11R,7,3,12R,2,3,,,,"12,700,226"
223,,6月10日(火),門別,第5回1日目,11,3,10R,1,2,11R,1,2,12R,4,1,,,"50,375",
162,1,7月30日(水),船橋,第5回3日目,15,2,10R,1,6,11R,3,2,12R,2,1,,,"1,074,555",
225,,6月6日(金),船橋,第3回5日目,12,2,10R,3,1,11R,2,1,12R,2,3,1,,"156,435",
226,,6月5日(木),船橋,第3回4日目,27,1,10R,3,4,11R,3,1,12R,3,13,,,,"9,827,237"
227,,6月5日(木),門別,第4回5日目,17,2,10R,5,4,11R,1,4,12R,1,2,,,"142,165",
228,,6月4日(水),船橋,第3回3日目,26,2,10R,1,2,11R,1,3,12R,7,12,,,"2,833,035",
229,,6月4日(水),門別,第4回4日目,9,3,10R,1,2,11R,2,1,12R,2,1,,,"30,035",
296,2,3月21日(金),浦和,第12回5日目,15,3,10R,1,2,11R,2,1,12R,1,8,,,"1,470,430",
231,,6月2日(月),船橋,第3回1日目,21,2,10R,4,8,11R,2,1,12R,5,1,,,"5,710,060",
232,,5月30日(金),浦和,第2回5日目,19,2,10R,3,1,11R,3,6,12R,5,1,,,"2,703,170",
233,,5月29日(木),浦和,第2回4日目,15,2,10R,5,4,11R,2,1,12R,2,1,1,,"1,335,845",
234,,5月29日(木),門別,第4回3日目,21,1,10R,3,5,11R,1,5,12R,4,3,,,"5,320,600",
235,,5月28日(水),浦和,第2回3日目,27,0,10R,4,6,11R,5,7,12R,2,3,1,,,"43,072,260"
236,,5月28日(水),門別,第4回2日目,10,3,9R,1,2,10R,1,3,11R,1,2,,,"9,370",
237,,5月27日(火),浦和,第2回2日目,28,1,10R,8,3,11R,4,6,12R,6,1,,,,"8,176,805"
238,4,5月27日(火),門別,第4回1日目,13,2,10R,1,4,11R,1,2,12R,2,3,,,"30,570",
239,,5月26日(月),浦和,第2回1日目,16,2,10R,2,1,11R,2,8,12R,2,1,,,"4,624,175",
240,,5月23日(金),大井,第3回5日目,16,2,10R,5,2,11R,1,4,12R,3,1,,,"2,505,335",
241,,5月22日(木),大井,第3回4日目,18,2,10R,1,3,11R,3,7,12R,1,3,,,"1,371,985",
242,,5月22日(木),門別,第3回4日目,15,3,10R,1,2,11R,5,1,12R,1,5,,,"210,575",
243,,5月21日(水),大井,第3回3日目,13,2,10R,4,2,11R,3,1,12R,1,2,,,"881,555",
244,4,5月21日(水),門別,第3回3日目,15,2,10R,1,5,11R,1,3,12R,3,2,,,"337,505",
245,,5月20日(火),大井,第3回2日目,14,2,10R,2,1,11R,5,1,12R,2,3,,,"468,185",
246,,5月19日(月),大井,第3回1日目,17,3,10R,1,2,11R,1,9,12R,3,1,,,"11,212,045",
247,,5月16日(金),川崎,第2回5日目,19,1,10R,4,5,11R,4,3,12R,2,1,,,"12,205,455",
248,,5月15日(木),川崎,第2回4日目,13,3,10R,4,1,11R,4,1,12R,2,1,,,"668,040",
249,,5月15日(木),門別,第3回2日目,17,2,10R,5,3,11R,1,3,12R,1,4,1,,"1,766,780",
250,,5月14日(水),川崎,第2回3日目,18,2,10R,2,6,11R,2,1,12R,6,1,,,"7,405,490",
251,,5月14日(水),門別,第3回1日目,27,2,10R,4,5,11R,1,7,12R,1,9,,,,"4,163,957"
