No,Type,Content,Speaker,VoiceID,Enabled
21,dialogue,軍勢（グンゼイ）は膨れ上がり、北条軍（ホウジョウグン）を次々に撃破（ゲキハ）して鎌倉に迫る。,ヨウイチ,Male_15,1
22,dialogue,破竹の勢いですね！,ミユ,Female_3,1
23,dialogue,だが鎌倉は三方（サンポウ）を山、南を海に囲まれた天然の要塞（ヨウサイ）だ。,ヨウイチ,Male_15,1
24,pause,,,PAUSE_0.5S,1
25,dialogue,ここで有名な伝説が生まれる。,ヨウイチ,Male_15,1
26,dialogue,稲村ヶ崎（イナムラガサキ）の奇跡（キセキ）だ。,ヨウイチ,Male_15,1
27,dialogue,義貞は黄金（オウゴン）の太刀（タチ）を海に投じて龍神（リュウジン）に祈った。,ヨウイチ,Male_15,1
28,dialogue,すると潮（シオ）が引いて干潟（ヒガタ）が現れ、軍勢は鎌倉へ突入（トツニュウ）できた。,ヨウイチ,Male_15,1
29,dialogue,龍神が味方したんですか！,ミユ,Female_3,1
30,dialogue,実際には干潮（カンチョウ）を利用した作戦とも言われている。,ヨウイチ,Male_15,1
31,pause,,,PAUSE_0.5S,1
32,dialogue,北条高時（ホウジョウタカトキ）ら一族（イチゾク）約870名が自害（ジガイ）し、鎌倉幕府（カマクラバクフ）は滅亡（メツボウ）した。,ヨウイチ,Male_15,1
33,dialogue,だが、ここから義貞の悲劇が始まる。,ヨウイチ,Male_15,1
34,dialogue,幕府を倒した英雄なのに、ですか？,ミユ,Female_3,1
35,dialogue,論功行賞（ロンコウコウショウ）で足利尊氏は従三位（ジュサンミ）を得たが、,ヨウイチ,Male_15,1
36,dialogue,義貞は従四位（ジュシイ）止まりだった。,ヨウイチ,Male_15,1
37,dialogue,鎌倉を攻め落としたのは義貞なのに！,ミユ,Female_3,1
38,pause,,,PAUSE_0.5S,1
39,dialogue,尊氏（タカウジ）は武士に恩賞（オンショウ）を配り、政治力で求心力（キュウシンリョク）を高めた。,ヨウイチ,Male_15,1
40,dialogue,義貞は天皇への忠義（チュウギ）を貫いたが、,ヨウイチ,Male_15,1
41,dialogue,武士の支持を得たのは尊氏だった。,ヨウイチ,Male_15,1
42,dialogue,戦では勝てても政治では勝てなかったんですね。,ミユ,Female_3,1
43,dialogue,尊氏が天皇に反旗（ハンキ）を翻すと、義貞は天皇側として戦い続けた。,ヨウイチ,Male_15,1
44,dialogue,だが戦況（センキョウ）は悪化し、北陸の越前（エチゼン）へ落ち延びる。,ヨウイチ,Male_15,1
45,pause,,,PAUSE_0.5S,1
46,dialogue,1338（センサンビャクサンジュウハチ）年、義貞はわずか50騎で味方の救援（キュウエン）に向かった。,ヨウイチ,Male_15,1
47,dialogue,途中で敵と遭遇（ソウグウ）し、眉間（ミケン）に矢を受けて落馬（ラクバ）した。,ヨウイチ,Male_15,1
48,dialogue,最期を悟った義貞は自ら首を刎ねて果てた。,ヨウイチ,Male_15,1
49,dialogue,享年38。,ヨウイチ,Male_15,1
50,dialogue,壮絶な最期ですね。,ミユ,Female_3,1
51,dialogue,挙兵（キョヘイ）のとき150騎、最期は50騎。,ヨウイチ,Male_15,1
52,dialogue,あまりに孤独な結末だった。,ヨウイチ,Male_15,1
53,dialogue,でも義貞が歴史を変えたことは間違いないですよね。,ミユ,Female_3,1
54,dialogue,ああ。,ヨウイチ,Male_15,1
55,dialogue,福井の藤島神社（フジシマジンジャ）に忠義の武将として今も祀（マツ）られている。,ヨウイチ,Male_15,1
56,dialogue,勝者は尊氏だった。,ヨウイチ,Male_15,1
57,dialogue,だが忠義を貫いた義貞の生き様は多くの人の心に残った。,ヨウイチ,Male_15,1
58,dialogue,勝ち負けだけが人の価値じゃないんですね。,ミユ,Female_3,1
59,pause,,,PAUSE_0.5S,1
60,dialogue,いいね、コメント、チャンネル登録、よろしくお願いします！,ミユ,Female_3,1
61,dialogue,みなさんの応援が次の動画の力になります。,ヨウイチ,Male_15,1
62,pause,,,PAUSE_0.5S,1
63,dialogue,また次回、別の歴史の物語を一緒に探ろう。,ヨウイチ,Male_15,1
