"ページ番号","使用するコマ割りテンプレ","漫画作成のプロンプト","コマ別テキストJSON"
"24","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): ミサキの顔のアップ。もやもやした表情。背景に暗い影が差す演出。 セリフ: なし ナレーション: ［四角枠］——なのに。少しずつ、ミサキの中で何かがざわつき始めていた。 オノマトペ: なし
2コマ目 (下・大): ミサキがPCで引き継ぎ資料を作成している。周囲の同僚たちが忙しそうに動いている。 セリフ: なし ナレーション: ［四角枠］仕事を休む日が増えた。周囲はカバーしてくれる。でも、その〝カバー〟の積み重ねが、見えない借金のように膨らんでいく感覚があった。引き継ぎ資料を作る。自分がいなくても回るように、マニュアルを整備する。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""——なのに。少しずつ、ミサキの中で何かがざわつき始めていた。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""仕事を休む日が増えた。周囲はカバーしてくれる。でも、その〝カバー〟の積み重ねが、見えない借金のように膨らんでいく感覚があった。引き継ぎ資料を作る。自分がいなくても回るように、マニュアルを整備する。""}]"
"25","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 白ブラウスにグレータイトスカート、黒パンプス
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): ミサキの心象風景。オフィスのデスクが一つ空いていて、他の社員が普通に働いている。 セリフ: なし ナレーション: ［四角枠］——自分がいなくても回る。その事実が、安心であると同時に、少しだけ怖かった。 オノマトペ: なし
2コマ目 (下・小): 休憩室。ミサキと同期の高橋が並んでランチを食べている。 セリフ: ［高橋］の吹き出しに「佐藤さんの案件、来月から私が引き継ぐことになったの」 ナレーション: ［四角枠］ランチタイム。休憩室で同期の高橋と話していたとき。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""——自分がいなくても回る。その事実が、安心であると同時に、少しだけ怖かった。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""佐藤さんの案件、来月から私が引き継ぐことになったの""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ランチタイム。休憩室で同期の高橋と話していたとき。""}]"
"26","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキが笑顔で返事。 セリフ: ［ミサキ］の吹き出しに「そうなんだ。よろしくね」 ナレーション: なし オノマトペ: なし
2コマ目 (中段): 高橋が笑いながら言う。でも顔に疲れが見える。 セリフ: ［高橋］の吹き出しに「うん。……正直、けっこう大変だけどね」 ナレーション: ［四角枠］笑いながら言った高橋の顔に、疲れが見えた。 オノマトペ: なし
3コマ目 (下段): 自宅。ソファに座ってぼんやりするミサキ。 セリフ: なし ナレーション: ［四角枠］帰宅後、ソファに座ってぼんやりする。あの笑顔の裏に、何があるんだろう。〝仕方ないよね〟と言いながら、内心ではどう思っているんだろう。考えても答えは出ない。でも、考えずにはいられなかった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ"", ""text"": ""そうなんだ。よろしくね""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""うん。……正直、けっこう大変だけどね""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""笑いながら言った高橋の顔に、疲れが見えた。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""帰宅後、ソファに座ってぼんやりする。あの笑顔の裏に、何があるんだろう。〝仕方ないよね〟と言いながら、内心ではどう思っているんだろう。考えても答えは出ない。でも、考えずにはいられなかった。""}]"
"27","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ケンタは添付のケンタ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【補足情報】服装: ケンタ: グレーのTシャツにネイビーのスウェットパンツ
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): 暗い寝室。ケンタが穏やかに眠っている。 セリフ: なし ナレーション: ［四角枠］夜中、目が覚めてしまう。隣でケンタが穏やかに眠っている。 オノマトペ: スースー
2コマ目 (下・大): ミサキがスマホを開いている。画面の光が暗い部屋に浮かぶ。検索画面に〝産休 復帰 不安〟と表示。 セリフ: なし ナレーション: ［四角枠］スマホを開く。画面の光が暗い部屋に浮かぶ。〝産休　復帰　不安〟 オノマトペ: カチカチ","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""夜中、目が覚めてしまう。隣でケンタが穏やかに眠っている。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""スマホを開く。画面の光が暗い部屋に浮かぶ。〝産休　復帰　不安〟""}]"
"28","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): スマホ画面のアップ。検索結果一覧。〝復帰後のキャリアダウン〟〝マミートラック〟〝時短勤務への風当たり〟の文字が並ぶ。 セリフ: なし ナレーション: ［四角枠］検索結果を読む。〝復帰後のキャリアダウン〟〝マミートラック〟〝時短勤務への風当たり〟知らない単語がたくさんあった。 オノマトペ: なし
2コマ目 (中段): ミサキがスマホを読みながら不安そうな表情。 セリフ: なし ナレーション: ［四角枠］マミートラック——出産後に復帰しても、重要な仕事から外される。昇進ルートから静かに消えていく。 オノマトペ: なし
3コマ目 (下段): スマホ画面に体験談記事が映る。〝復帰したけど居場所がなかった〟〝結局辞めた〟の文字。 セリフ: なし ナレーション: ［四角枠］記事を読む。体験談を読む。〝復帰したけど居場所がなかった〟〝結局辞めた〟〝戻らなければよかった〟。読めば読むほど、不安になった。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""検索結果を読む。〝復帰後のキャリアダウン〟〝マミートラック〟〝時短勤務への風当たり〟知らない単語がたくさんあった。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""マミートラック——出産後に復帰しても、重要な仕事から外される。昇進ルートから静かに消えていく。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""記事を読む。体験談を読む。〝復帰したけど居場所がなかった〟〝結局辞めた〟〝戻らなければよかった〟。読めば読むほど、不安になった。""}]"
"29","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): ミサキが布団の中でスマホ画面を見ている。記事のコメント欄が映る。 セリフ: なし ナレーション: ［四角枠］別の記事が目に入る。〝育休復帰率は8割以上〟。数字だけ見れば大多数が戻っている。でもコメント欄には〝復帰しても前と同じポジションじゃなかった〟〝名ばかり復帰〟という声が並んでいた。 オノマトペ: なし
2コマ目 (下・小): ミサキがスマホを閉じて天井を見つめる。暗い部屋。 セリフ: ［ミサキ（心の声）］の吹き出しに「…戻れるよね？」 ナレーション: ［四角枠］画面を閉じて、天井を見つめる。前と同じように。前と同じ席で。前と同じ仕事を。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""別の記事が目に入る。〝育休復帰率は8割以上〟。数字だけ見れば大多数が戻っている。でもコメント欄には〝復帰しても前と同じポジションじゃなかった〟〝名ばかり復帰〟という声が並んでいた。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（心の声）"", ""text"": ""…戻れるよね？""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""画面を閉じて、天井を見つめる。前と同じように。前と同じ席で。前と同じ仕事を。""}]"
"30","テンプレ2","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ2: 上下2分割
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上): ミサキの心象風景。自分のいないオフィス。同僚が自分の席で仕事をしている。自分の案件を同期が引き継いでいる。 セリフ: なし ナレーション: ［四角枠］——でも、もう自分の仕事を同僚がやっている。自分の案件を同期が引き継いでいる。自分がいなくても、会社は回っている。 オノマトペ: なし
2コマ目 (下): ミサキがお腹に手を当てている。少しだけ微笑む。暗い部屋に小さな光。 セリフ: なし ナレーション: ［四角枠］お腹の中で、赤ちゃんがぽこっと動いた気がした。ミサキはお腹に手を当てて、小さく呟いた。 オノマトペ: ポコッ","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""——でも、もう自分の仕事を同僚がやっている。自分の案件を同期が引き継いでいる。自分がいなくても、会社は回っている。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""お腹の中で、赤ちゃんがぽこっと動いた気がした。ミサキはお腹に手を当てて、小さく呟いた。""}]"
"31","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): ミサキの口元のアップ。小さく言葉を紡いでいる。 セリフ: ［ミサキ（ささやき）］の吹き出しに「大丈夫。きっと大丈夫だから」 ナレーション: ［四角枠］自分に言い聞かせるように。赤ちゃんに言い聞かせるように。 オノマトペ: なし
2コマ目 (下・大): 暗い寝室の全景。ベッドに横たわるミサキの小さなシルエット。部屋の暗闘に言葉が消えていく演出。 セリフ: なし ナレーション: ［四角枠］でもその声は、暗い部屋の中で、どこにも届かずに消えた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ（ささやき）"", ""text"": ""大丈夫。きっと大丈夫だから""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""自分に言い聞かせるように。赤ちゃんに言い聞かせるように。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""でもその声は、暗い部屋の中で、どこにも届かずに消えた。""}]"
"32","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: 薄いピンクのパジャマ
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 暗い部屋で眠れずに天井を見つめるミサキ。お腹に手を当てている。窓の外にわずかに月光。不安と希望が入り混じった表情。 セリフ: なし ナレーション: ［四角枠］第1話「陽性反応と、描いていた未来」——おわり オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""第1話「陽性反応と、描いていた未来」——おわり""}]"
"33","テキストページ","◆【テキストページ】このページは画像生成不要。EPUB製本時にテキストとして直接レンダリングする。
◆【コラム原文】
コラム①：出産とキャリアの分岐点

——キャリアコンサルタントの視点から

ミサキの不安は、決して大げさなものではありません。

厚生労働省の調査によると、第一子の出産を機に離職する女性の割合は依然として高く、約3〜5割とされています。〝育休を取って復帰する〟という選択は、制度上は可能でも、実際にはさまざまな壁が存在します。

〝マミートラック〟という言葉を知っていますか？

出産後に復帰しても、責任ある仕事から外される。昇進ルートから静かに外れていく。本人が望んでいなくても、〝子供がいるから〟という理由で、キャリアの選択肢が狭まっていく。これをマミートラックと呼びます。

制度上は同じポジションに復帰できるはず。でも実際には、自分がいない間にチームの体制が変わり、自分の役割が別の誰かに移っている——。〝席はあるけど、居場所がない〟。そんな経験をした女性は少なくありません。

制度はあっても、〝使える空気〟があるかは別問題

産休・育休制度は整ってきました。しかし〝制度がある〟ことと〝使える〟ことは違います。周囲の目、業務のしわ寄せ、復帰後の評価——。制度を使うことに罪悪感を覚えてしまう職場環境は、まだまだ少なくありません。

ミサキが感じた給湯室の会話。あれは、多くの女性が経験する〝見えない壁〟の一つです。

そして重要なのは、あの同僚たちも悪人ではないということです。彼女たちは自分の仕事が増えることに対して、当然の疲れを感じていただけです。誰かが休めば、誰かがカバーする。でもカバーした分の評価や報酬があるわけではない。

不安を感じるのは、正常なことです

ミサキは夜中にスマホで検索しました。〝産休 復帰 不安〟——。同じ検索をしたことがある方も多いのではないでしょうか。

不安を感じること自体は、何も間違っていません。むしろ、現実を直視しようとしている証拠です。

この物語は、ミサキがその不安と向き合い、自分なりの答えを見つけていく記録です。正解は一つではありません。でも、〝知らなかった〟から〝知った上で選ぶ〟に変わるだけで、未来の景色は大きく変わります。","[]"
"34","テンプレ1","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_赤ちゃん期.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ1: 全面1コマ
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (全面): 【タイトルページ】自宅のリビング。ミサキがひなたを片腕で抱きながら、テーブルの上に広げた書類を見つめている。困惑と不安の表情。書類の山と赤ちゃん用品が散らばる部屋。 セリフ: なし ナレーション: ［四角枠］第2話 保育園落ちた オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""第2話 保育園落ちた""}]"
"35","テンプレ4","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_赤ちゃん期.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ4: 上大下小
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・大): 自宅のリビング。ミサキがひなた（赤ちゃん）を抱いている。ひなたがにこにこ笑っている。明るい日差し。 セリフ: なし ナレーション: ［四角枠］出産から半年が過ぎた。娘の名前は〝ひなた〟。よく笑う子だった。産休、そして育休。会社から離れた日々は、想像していたよりずっと早く過ぎていった。 オノマトペ: なし
2コマ目 (下・小): 授乳、おむつ替え、寝かしつけの断片的なカット。 セリフ: なし ナレーション: ［四角枠］授乳、おむつ替え、沐浴、寝かしつけ。気づけば一日が終わっている。そんな毎日の中でも、ミサキは〝復帰〟を意識していた。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""出産から半年が過ぎた。娘の名前は〝ひなた〟。よく笑う子だった。産休、そして育休。会社から離れた日々は、想像していたよりずっと早く過ぎていった。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""授乳、おむつ替え、沐浴、寝かしつけ。気づけば一日が終わっている。そんな毎日の中でも、ミサキは〝復帰〟を意識していた。""}]"
"36","テンプレ5","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【絶対最優先】キャラクター外見: ひなたは添付のひなた_赤ちゃん期.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ5: 上中下3段
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上段): ミサキがPCで区役所のホームページを開いている。 セリフ: ［ミサキ（独り言）］の吹き出しに「そろそろ保育園のこと、調べないと」 ナレーション: ［四角枠］区役所のホームページを開く。申請の案内、必要書類の一覧、提出期限——。スクロールするたびに、情報量の多さに圧倒される。 オノマトペ: カチカチ
2コマ目 (中段): テーブルの上に広げた書類。ミサキが片手でひなたを抱き、もう片方の手でペンを走らせる。 セリフ: ［ミサキ（独り言）］の吹き出しに「就労証明書…復職証明書…希望園の優先順位…」 ナレーション: ［四角枠］テーブルの上に書類を広げた。ひなたを片手で抱きながら、もう片方の手でペンを走らせる。 オノマトペ: カキカキ
3コマ目 (下段): ひなたがぐずり始め、ミサキがペンを置いてあやす。 セリフ: なし ナレーション: ［四角枠］ひなたがぐずり始める。ペンを置く。あやす。落ち着いたら、また書く。その繰り返しを何日も続けた。 オノマトペ: えーん","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミサキ（独り言）"", ""text"": ""そろそろ保育園のこと、調べないと""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""区役所のホームページを開く。申請の案内、必要書類の一覧、提出期限——。スクロールするたびに、情報量の多さに圧倒される。""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミサキ（独り言）"", ""text"": ""就労証明書…復職証明書…希望園の優先順位…""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""テーブルの上に書類を広げた。ひなたを片手で抱きながら、もう片方の手でペンを走らせる。""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ひなたがぐずり始める。ペンを置く。あやす。落ち着いたら、また書く。その繰り返しを何日も続けた。""}]"
"37","テンプレ3","◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【絶対最優先】キャラクター外見: ミサキは添付のミサキ.pngと100%同一の外見で描画
◆【出力サイズ】9:16
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【補足情報】服装: ミサキ: ボーダー柄（白と紺）のカットソーにデニムパンツ、白いスニーカー
◆【コマ構成】テンプレ3: 上小下大
◆【作画】ジャンル: 副業に最適化した統一スタイル / 作画スタイル: 親しみやすく実践的,現代的なライフスタイル表現 / 色調: 明るく前向きな色調,オレンジ・青・黄色基調,活力ある配色 / 線画: 親しみやすい柔らかな線,カジュアルで読みやすい表現 / 演出: 必要に応じて集中線,効果線,擬音などのマンガらしい演出
◆【ストーリー】
1コマ目 (上・小): ポストから取り出した茶色い封筒のアップ。区役所の消印。薄い封筒。 セリフ: なし ナレーション: ［四角枠］結果は、一通の封筒で届いた。区役所からの茶色い封筒。薄い。 オノマトペ: なし
2コマ目 (下・大): ミサキが封を開けて中を読んでいる。〝不承諾〟の三文字が大きく浮かぶ演出。衝撃を受けた表情。 セリフ: なし ナレーション: ［四角枠］ミサキは封を開けた。〝保育施設利用についての結果通知〟目が文字を追う。〝不承諾〟三文字が、視界の真ん中に居座った。 オノマトペ: なし","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""結果は、一通の封筒で届いた。区役所からの茶色い封筒。薄い。""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ミサキは封を開けた。〝保育施設利用についての結果通知〟目が文字を追う。〝不承諾〟三文字が、視界の真ん中に居座った。""}]"
