year,born,no,name,dam,dam_age,n_foals,kutai,sire,bms,sex,coat,birth,trainer,farm,total_man,unit_yen,height,girth,cannon,weight,ikusei,note,hyoka,boyu
2020,2019,13,ベルロワイヤルの19,ベルロワイヤル,11,5,,ドゥラメンテ,Val Royal,メス,鹿,2020-03-15,中舘,追分Ｆ,2600,65000,155.5,176.5,19.2,411,追分Fリリーバレー,,,
2020,2019,14,ディアデラマドレの19,ディアデラマドレ,9,3,,モーリス,キングカメハメハ,牡,栗,2020-01-31,武井,ノーザンＦ,5000,125000,157,182,20,464,NF空港,動画○,,
2020,2019,15,バウンスシャッセの19,バウンスシャッセ,8,2,,モーリス,ゼンノロブロイ,牡,栗,2020-03-11,堀,ノーザンＦ,5000,125000,154,186,20,478,NF早来,,,
2020,2019,16,ヴィータアレグリアの19,ヴィータアレグリア,8,2,,モーリス,ネオユニヴァース,メス,黒鹿,2020-03-05,高柳 瑞樹,ノーザンＦ,2400,60000,160,184,19.6,482,NF早来,,,
2020,2019,17,アンレールの19,アンレール,9,3,,モーリス,ディープインパクト,メス,鹿,2020-03-09,伊坂,ノーザンＦ,2000,50000,155,174,20,399,NF空港,,,
2020,2019,18,クレオールの19,クレオール,7,1,初年度,エピファネイア,チチカステナンゴ,牡,青鹿,2020-01-28,武藤,ノーザンＦ,2000,50000,151,174,20,444,NF空港,○,,
2020,2019,19,オリエンタルポピーの19,オリエンタルポピー,8,3,,エピファネイア,キングカメハメハ,メス,鹿,2020-04-21,中川,ノーザンＦ,2000,50000,156,177,19.5,435,NF早来,○,,
2020,2019,20,ブルーメンブラットの19,ブルーメンブラット,16,9,,エピファネイア,アドマイヤベガ,メス,黒鹿,2020-05-02,宮田,ノーザンＦ,3000,75000,154.5,176,19.6,431,NF空港,,,
2020,2019,21,ケイティーズハートの19,ケイティーズハート,10,3,,ハービンジャー,ハーツクライ,牡,黒鹿,2020-03-30,鹿戸,ノーザンＦ,3000,75000,153,174,20.9,455,NF空港,,,
2020,2019,22,クルミナルの19,クルミナル,7,3,,ハービンジャー,ディープインパクト,牡,鹿,2020-03-31,栗田,ノーザンＦ,5000,125000,154.5,174.5,21.2,458,NF空港,,,
2020,2019,23,エールデュレーヴの19,エールデュレーヴ,6,1,初年度,ハービンジャー,ディープインパクト,牡,鹿,2020-05-01,田村,ノーザンＦ,3000,75000,155,180,20.3,424,NF早来,,,
2020,2019,24,ヴェルジョワーズの19,ヴェルジョワーズ,8,2,,ルーラーシップ,ネオユニヴァース,牡,黒鹿,2020-04-19,池上,追分Ｆ,2600,65000,152,166,19.9,411,追分Fリリーバレー,,,
2020,2019,25,スペルオンミーの19,スペルオンミー,8,2,,ルーラーシップ,ダイワメジャー,メス,黒鹿,2020-01-21,尾関,ノーザンＦ,1800,45000,162.5,186,21.1,536,NF早来,,,
2020,2019,26,アウェイクの19,アウェイク,6,1,初年度,ルーラーシップ,ディープインパクト,メス,鹿,2020-03-10,宮田,ノーザンＦ,1800,45000,147,173,19.5,436,NF早来,,,
2020,2019,27,アールブリュットの19,アールブリュット,7,1,初年度,キズナ,マクフィ,牡,鹿,2020-02-04,国枝,ノーザンＦ,5000,125000,156,175,21.1,447,NF早来,,,
2020,2019,28,ムーンライトダンスの19,ムーンライトダンス,17,14,,キタサンブラック,Sinndar,メス,黒鹿,2020-04-11,久保田,ノーザンＦ,2000,50000,159,181.5,19.5,446,NF空港,,,
2020,2019,29,サダムグランジュテの19,サダムグランジュテ,11,5,,キンシャサノキセキ,キングカメハメハ,メス,鹿,2020-01-27,小西,ノーザンＦ,1600,40000,154,176,19.4,444,NF早来,,,
2020,2019,30,カラベルラティーナの19,カラベルラティーナ,15,8,,ディープブリランテ,クロフネ,牡,鹿,2020-02-18,中舘,ノーザンＦ,1800,45000,156.5,181.4,22.8,460,NF空港,,,
2020,2019,31,ペルレンケッテの19,ペルレンケッテ,11,4,,ドレフォン,ディープインパクト,牡,鹿,2020-04-09,高橋,ノーザンＦ,3000,75000,154,176,20.5,449,NF早来,,,
2020,2019,32,リーチコンセンサスの19,リーチコンセンサス,13,5,,ドレフォン,フレンチデピュティ,メス,栗,2020-04-03,林,ノーザンＦ,2000,50000,156,176,19.8,454,NF空港,,,
2020,2019,33,ティンバレスの19,ティンバレス,7,1,初年度,イスラボニータ,ウォーエンブレム,牡,青鹿,2020-01-22,田中,ノーザンＦ,1800,45000,157,180,21.2,486,NF空港,,,
2020,2019,34,エクストラペトルの19,エクストラペトル,7,1,初年度,イスラボニータ,キングカメハメハ,牡,鹿,2020-01-12,加藤,白老Ｆ,1800,45000,150.5,176,20.1,462,NF早来,,,
2020,2019,35,クルージンミジーの19,クルージンミジー,10,5,,トゥザワールド,Mizzen Mast,牡,芦,2020-05-10,奥村 武,ノーザンＦ,1600,40000,152,174.5,20.3,439,NF空港,,,
2020,2019,36,ムスタパルタの19,ムスタパルタ,8,4,○,トゥザワールド,Tapit,メス,鹿,2020-03-11,伊藤 大士,ノーザンＦ,1200,30000,155.5,175.5,18.5,429,NF早来,,,
2020,2019,37,オーマイベイビーの19,オーマイベイビー,8,3,,クロフネ,ディープインパクト,メス,芦,2020-02-28,黒岩,ノーザンＦ,2000,50000,156.5,176,19.3,453,NF空港,,,
2020,2019,38,フェルミオンの19,フェルミオン,13,8,,ジャスタウェイ,アグネスタキオン,牡,鹿,2020-04-15,池上,ノーザンＦ,2400,60000,155,168,20,410,NF空港,,,
2020,2019,39,ロザリンドの19,ロザリンド,8,3,○,スクリーンヒーロー,シンボリクリスエス,メス,青鹿,2020-02-09,稲垣,ノーザンＦ,3000,75000,152,177,19,414,NF空港,,,
2020,2019,40,ピンクアリエスの19,ピンクアリエス,12,7,,トーセンラー,キングカメハメハ,メス,黒鹿,2020-04-29,菊沢,ノーザンＦ,1400,35000,154.5,173,19.8,413,NF空港,,,
2020,2019,41,グリューヴァインの19,グリューヴァイン,7,1,初年度,ヘニーヒューズ,ゴールドアリュール,メス,栗,2020-03-13,和田,ノーザンＦ,1600,40000,154.5,176.5,19.4,440,NF早来,,,
2020,2019,42,サザンスピードの19,サザンスピード,12,4,,ミッキーアイル,Southern Image,メス,鹿,2020-02-15,矢野,ノーザンＦ,1600,40000,166,179,19.5,512,NF空港,,,
2020,2019,43,ソングバードの19,ソングバード,15,10,,リアルインパクト,ダンスインザダーク,メス,鹿,2020-05-10,勢司,ノーザンＦ,1400,35000,153.5,175,20.5,420,NF空港,,,
2020,2019,44,ロスヴァイセの19,ロスヴァイセ,8,2,,リオンディーズ,シンボリクリスエス,牡,黒鹿,2020-02-18,手塚,ノーザンＦ,3000,75000,157,178,21,497,NF空港,,,
2020,2019,45,リーチングの19,リーチング,10,5,,Arrogate,Dansili,メス,栗,2020-05-15,宗像,ノーザンＦ,2400,60000,158.5,174,21,410,NF早来,,,
2020,2019,46,キラーグレイシスの19,キラーグレイシス,10,5,○,ディープインパクト,Congaree,牡,青鹿,2020-01-27,斉藤,ノーザンＦ,10000,250000,155,174,20.1,447,NF空港,,,
2020,2019,47,ピースアンドウォーの19,ピースアンドウォー,7,2,○,ディープインパクト,War Front,メス,青鹿,2020-01-16,藤原,ノーザンＦ,6000,150000,153,172.5,19,401,NF空港,,,
2020,2019,48,シンハライトの19,シンハライト,6,2,,キングカメハメハ,ディープインパクト,牡,鹿,2020-02-04,池添 学,ノーザンＦ,10000,250000,156,178,21,406,NF空港,,,
2020,2019,49,フロアクラフトの19,フロアクラフト,9,3,,キングカメハメハ,フジキセキ,メス,鹿,2020-04-05,松下 武士,ノーザンＦ,4000,100000,154,180,20.2,438,NF空港,,,
2020,2019,50,クルソラの19,クルソラ,17,11,○,ハーツクライ,Candy Stripes,牡,黒鹿,2020-04-04,友道,ノーザンＦ,5000,125000,157,175.5,20.7,439,NF早来,,,
2020,2019,51,ファイナルスコアの19,ファイナルスコア,8,3,○,ハーツクライ,Dylan Thomas,メス,栗,2020-02-19,松永 幹夫,ノーザンＦ,4400,110000,160,183.5,19,437,NF空港,,,
2020,2019,52,マルティンスタークの19,マルティンスターク,14,7,,ロードカナロア,シンボリクリスエス,牡,鹿,2020-03-29,安田 翔伍,ノーザンＦ,5000,125000,151,175,20.4,442,NF空港,,,
2020,2019,53,サンビスタの19,サンビスタ,10,3,,ロードカナロア,スズカマンボ,牡,鹿,2020-04-22,松永 幹夫,ノーザンＦ,8000,200000,154,170,20.5,401,NF空港,,,
2020,2019,54,シェリールの19,シェリール,19,11,,ロードカナロア,サンデーサイレンス,メス,鹿,2020-02-07,池江,ノーザンＦ,3400,85000,160,181,20,468,NF早来,,,
2020,2019,55,ジンジャーパンチの19,ジンジャーパンチ,16,9,,ロードカナロア,Awesome Again,メス,鹿,2020-04-04,池添 学,ノーザンＦ,5600,140000,152.5,177,19.7,466,NF空港,,,
2020,2019,56,ギモーヴの19,ギモーヴ,6,1,初年度,ドゥラメンテ,ハービンジャー,牡,鹿,2020-02-25,高野,ノーザンＦ,4400,110000,157.5,175.5,20.8,451,NF空港,,,
2020,2019,57,シャムロッカーの19,シャムロッカー,12,6,,ドゥラメンテ,O'Reilly,メス,鹿,2020-02-03,庄野,ノーザンＦ,2800,70000,164.5,180,19.7,494,NF早来,,,
2020,2019,58,リッチダンサーの19,リッチダンサー,19,15,○,ドゥラメンテ,Halling,メス,鹿,2020-03-20,清水,ノーザンＦ,4000,100000,162,180,20.2,479,NF早来,,,
2020,2019,59,ディアマイベイビーの19,ディアマイベイビー,9,4,,モーリス,ディープインパクト,牡,青鹿,2020-05-24,須貝,ノーザンＦ,4000,100000,-,-,-,-,-,,,
2020,2019,60,アビラの19,アビラ,15,10,,モーリス,ロックオブジブラルタル,メス,黒鹿,2020-03-11,安田 隆行,ノーザンＦ,2800,70000,160,180,20,438,NF空港,,,
2020,2019,61,プルメリアスターの19,プルメリアスター,7,1,初年度,モーリス,ゼンノロブロイ,メス,青鹿,2020-03-23,矢作,ノーザンＦ,2800,70000,156,171.5,18.5,412,NF早来,,,
2020,2019,62,テネイシャスの19,テネイシャス,4,1,初年度,エピファネイア,キングカメハメハ,牡,栗,2020-04-18,池江,ノーザンＦ,3000,75000,150,171.5,20.3,430,NF早来,,,
2020,2019,63,リラヴァティの19,リラヴァティ,8,2,,エピファネイア,ゼンノロブロイ,メス,栗,2020-02-11,平田,ノーザンＦ,3600,90000,155.5,175,19.6,429,NF空港,,,
2020,2019,64,グランデアモーレの19,グランデアモーレ,9,3,,エピファネイア,ネオユニヴァース,メス,鹿,2020-03-09,藤岡 健一,ノーザンＦ,2800,70000,152,178,19.5,460,NF空港,,,
2020,2019,65,ディアデラノビアの19,ディアデラノビア,17,11,,ハービンジャー,サンデーサイレンス,牡,鹿,2020-03-13,中内田,ノーザンＦ,5600,140000,156,180,20,426,NF空港,,,
2020,2019,66,ジュモーの19,ジュモー,13,7,,ハービンジャー,タニノギムレット,牡,栗,2020-03-15,西村,ノーザンＦ,5000,125000,158,176,21,482,NF早来,,,
2020,2019,67,サンブルエミューズの19,サンブルエミューズ,9,3,,ハービンジャー,ダイワメジャー,メス,鹿,2020-03-02,高野,ノーザンＦ,2600,65000,157,176,19.5,424,NF空港,,,
2020,2019,68,シャルールの19,シャルール,7,1,初年度,ルーラーシップ,ゼンノロブロイ,牡,鹿,2020-03-29,松永 幹夫,白老Ｆ,3000,75000,148,169,20,405,NF空港,,,
2020,2019,69,ベルディーヴァの19,ベルディーヴァ,7,1,初年度,ルーラーシップ,ダイワメジャー,メス,鹿,2020-02-28,奥村 豊,ノーザンＦ,2400,60000,152,175,20,426,NF空港,,,
2020,2019,70,アスティルの19,アスティル,5,1,初年度,ルーラーシップ,ステイゴールド,メス,黒鹿,2020-05-06,高柳 大輔,ノーザンＦ,1800,45000,150,168.5,19.2,386,NF空港,,,
2020,2019,71,リュシオルの19,リュシオル,13,6,,キズナ,クロフネ,牡,黒鹿,2020-03-15,大久保 龍志,ノーザンＦ,3000,75000,157.5,177,20.7,445,NF空港,,,
2020,2019,72,クリソプレーズの19,クリソプレーズ,17,9,,キタサンブラック,エルコンドルパサー,牡,青鹿,2020-05-05,音無,ノーザンＦ,5000,125000,160,174,21.6,439,NF空港,,,
2020,2019,73,ワナダンスの19,ワナダンス,9,5,,キタサンブラック,The Leopard,メス,黒鹿,2020-01-27,橋口 慎介,ノーザンＦ,1800,45000,158,177.5,20.6,488,NF早来,,,
2020,2019,74,レオパルディナの19,レオパルディナ,7,1,初年度,キンシャサノキセキ,スニッツェル,牡,青鹿,2020-02-09,杉山,ノーザンＦ,2000,50000,153,167,20,401,NF空港,,,
2020,2019,75,カイカヨソウの19,カイカヨソウ,9,2,,キンシャサノキセキ,ティンバーカントリー,メス,青鹿,2020-02-15,池添 学,ノーザンＦ,2000,50000,155,181,20.2,487,NF空港,,,
2020,2019,76,カニョットの19,カニョット,14,7,,ディープブリランテ,Sunray Spirit,牡,栗,2020-02-26,渡辺 薫彦,ノーザンＦ,1800,45000,156,175,20.4,460,NF早来,,,
2020,2019,77,シンハディーパの19,シンハディーパ,9,4,,ディープブリランテ,ウォーエンブレム,メス,栗,2020-03-21,高野,ノーザンＦ,2000,50000,153,169,20,403,NF空港,,,
2020,2019,78,プリンセスカメリアの19,プリンセスカメリア,18,9,○,ドレフォン,サンデーサイレンス,メス,鹿,2020-02-04,羽月,ノーザンＦ,2400,60000,153,180,19,435,NF空港,,,
2020,2019,79,ブリトマルティスの19,ブリトマルティス,15,6,◎,アジアエクスプレス,スペシャルウィーク,牡,栗,2020-03-25,寺島,ノーザンＦ,1600,40000,155,172,20,450,NF空港,,,
2020,2019,80,ラフォルジュルネの19,ラフォルジュルネ,12,4,,エイシンフラッシュ,スペシャルウィーク,牡,鹿,2020-03-07,杉山,白老Ｆ,2000,50000,157.5,177,21,467,NF空港,,,
2020,2019,81,レインボーソングの19,レインボーソング,7,1,初年度,サトノアラジン,ゼンノロブロイ,メス,鹿,2020-03-05,牧田,ノーザンＦ,1200,30000,157,171,20,401,NF空港,,,
2020,2019,82,コンヴィクションⅡの19,コンヴィクションⅡ,8,2,,ジャスタウェイ,City Banker,メス,栗,2020-01-31,斉藤,ノーザンＦ,1800,45000,150,175,19,413,NF空港,,,
2020,2019,83,ユールフェストの19,ユールフェスト,10,4,,シルバーステート,More Than Ready,牡,黒鹿,2020-05-08,四位,ノーザンＦ,1800,45000,146.5,169,19.1,406,NF早来,,,
2020,2019,84,イマーキュレイトキャットの19,イマーキュレイトキャット,11,4,◎,ダノンシャンティ,Storm Cat,メス,鹿,2020-02-15,武 英智,社台Ｆ,1400,35000,157,175,20.2,458,社台F,,,
2020,2019,85,シンハリーズの19,シンハリーズ,17,10,○,ミッキーアイル,Singspiel,メス,栗,2020-02-28,斉藤,ノーザンＦ,3000,75000,152.5,171.5,19.2,411,NF早来,,,
2020,2019,86,シャレードスマイルの19,シャレードスマイル,6,2,,リオンディーズ,ステイゴールド,牡,黒鹿,2020-03-23,橋田,ノーザンＦ,2000,50000,151,171.5,20.8,435,NF早来,,,
2020,2019,87,タリサの19,タリサ,6,1,初年度,Shalaa,Pour Moi,牡,鹿,2020-04-09,安田 隆行,ノーザンＦ,2400,60000,151.5,173,20.1,431,NF早来,,,
2020,2019,88,オーラレガーレの19,オーラレガーレ,11,5,,クリエイターⅡ,マンハッタンカフェ,牡,青鹿,2020-04-14,地方,ノーザンＦ,1400,140000,154.5,170,20,420,NF早来,,,
2020,2019,89,アンソロジーの19,アンソロジー,15,9,,ラブリーデイ,サクラバクシンオー,牡,青鹿,2020-04-12,地方,ノーザンＦ,1400,140000,150,175.5,20.3,448,NF早来,,,
2020,2019,90,レッドソンブレロの19,レッドソンブレロ,7,4,,アジアエクスプレス,キングカメハメハ,メス,栗,2020-04-26,地方,ノーザンＦ,1000,100000,147,172,19.5,443,NF空港,,,
2020,2019,91,パールズシャインの19,パールズシャイン,5,1,初年度,マジェスティックウォリアー,ディープインパクト,メス,鹿,2020-03-17,地方,ノーザンＦ,800,80000,152,170,18.6,404,NF空港,,,
2020,2019,92,ギャラリートークの19,ギャラリートーク,17,12,,ロゴタイプ,ブライアンズタイム,メス,栃栗,2020-04-07,地方,ノーザンＦ,700,70000,156.5,176,19.3,412,NF早来,,,
2021,2020,1,ナスケンアイリスの2020,ナスケンアイリス,13,9,,ロードカナロア,フレンチデピュティ,牡,鹿,2020-02-17,手塚貴久 ,桜井牧場,4800,120000,154,179.5,20.3,426,ＮＦ空港,,1,
2021,2020,2,コケレールの2020,コケレール,16,8,,ロードカナロア,Zamindar,牡,鹿,2020-02-19,国枝栄 ,ノーザンＦ,6000,150000,160,182,22.1,483,ＮＦ空港,,1,
2021,2020,4,シーザリオの2020,シーザリオ,18,12,,ロードカナロア,スペシャルウィーク,メス,黒鹿,2020-02-04,国枝栄 ,ノーザンＦ,7000,175000,154,173.5,19.5,443,ＮＦ早来,,1,
2021,2020,9,バウンスシャッセの2020,バウンスシャッセ,9,3,,エピファネイア,ゼンノロブロイ,牡,黒鹿,2020-03-16,手塚貴久 ,ノーザンＦ,8000,200000,158.5,176.5,21.1,476,ＮＦ早来,血統、金額ほど一族走らず,1,
2021,2020,12,ステファニーズキトゥンの2020,ステファニーズキトゥン,11,4,,ドゥラメンテ,Kitten's Joy,メス,鹿,2020-02-14,久保田貴士 ,ノーザンＦ,3600,90000,162,175.5,20.1,473,ＮＦ早来,,1,
2021,2020,19,メジロシャレードの2020,メジロシャレード,14,8,,ドレフォン,マンハッタンカフェ,メス,鹿,2020-02-13,萩原清 ,レイクヴィラファーム,2600,65000,161,182,21,500,ＮＦ早来,,1,
2021,2020,32,パルティトゥーラの2020,パルティトゥーラ,6,1,初仔,サトノクラウン,マンハッタンカフェ,牡,鹿,2020-03-22,堀宣行 ,ノーザンＦ,2800,70000,158,176,21,478,ＮＦ早来,,1,
2021,2020,33,マルティンスタークの2020,マルティンスターク,15,9,,ジャスタウェイ,シンボリクリスエス,メス,栗,2020-04-08,小島茂之 ,ノーザンＦ,2000,50000,151.5,175,19.5,439,ＮＦ早来,,1,
2021,2020,40,スーブレットの2020,スーブレット,5,1,初仔,マジェスティックウォリアー,ゴールドアリュール,牡,栗,2020-01-29,萩原清 ,ノーザンＦ,2400,60000,153.5,179.5,20,462,ＮＦ空港,,1,
2021,2020,44,アヴェンチュラの2020,アヴェンチュラ,12,7,,ロードカナロア,ジャングルポケット,牡,黒鹿,2020-03-30,安田隆行 ,ノーザンＦ,8000,200000,160,181,21.3,489,ＮＦ空港,,1,
2021,2020,49,ハヴユーゴーンアウェイの2020,ハヴユーゴーンアウェイ,9,2,空胎後,ハーツクライ,Congrats,メス,黒鹿,2020-03-08,斉藤崇史 ,レイクヴィラファーム,4000,100000,157,178.5,20,465,ＮＦ空港,,1,
2021,2020,50,インナーレルムの2020,インナーレルム,12,4,,ハーツクライ,Galileo,メス,鹿,2020-04-14,安田隆行 ,ノーザンＦ,4000,100000,160,180,19.7,464,ＮＦ早来,,1,
2021,2020,51,クルミナルの2020,クルミナル,8,4,,エピファネイア,ディープインパクト,牡,青鹿,2020-04-17,藤原英昭 ,ノーザンＦ,8000,200000,151.5,171,20.4,439,ＮＦ空港,,1,
2021,2020,52,エールデュレーヴの2020,エールデュレーヴ,7,2,,エピファネイア,ディープインパクト,牡,青鹿,2020-05-07,友道康夫 ,ノーザンＦ,5000,125000,153,173,21.5,434,ＮＦ早来,,1,
2021,2020,54,トータルヒートの2020,トータルヒート,9,3,,ドゥラメンテ,ストリートクライ,メス,鹿,2020-03-03,藤原英昭 ,白老Ｆ,3000,75000,154.5,176,21,469,ＮＦ空港,,1,
2021,2020,57,ディオジェーヌの2020,ディオジェーヌ,10,4,,モーリス,ディープインパクト,牡,青鹿,2020-04-28,斉藤崇史 ,ノーザンＦ,3200,80000,154,174,20.8,438,ＮＦ空港,,1,
2021,2020,65,サンブルエミューズの2020,サンブルエミューズ,10,4,,キタサンブラック,ダイワメジャー,メス,鹿,2020-02-14,矢作芳人 ,ノーザンＦ,3000,75000,161,183,19.8,469,ＮＦ早来,,1,
2021,2020,69,アウェイクの2020,アウェイク,7,2,,ハービンジャー,ディープインパクト,メス,鹿,2020-02-29,須貝尚介 ,ノーザンＦ,2000,50000,154,173.5,20.1,437,ＮＦ空港,,1,
2021,2020,71,ジュモーの2020,ジュモー,14,8,,ルーラーシップ,タニノギムレット,牡,鹿,2020-03-27,池江泰寿 ,ノーザンＦ,4000,100000,152,166.5,20.5,420,ＮＦ早来,,1,
2021,2020,72,フォルテピアノの2020,フォルテピアノ,17,10,,キンシャサノキセキ,フレンチデピュティ,牡,鹿,2020-02-05,音無秀孝 ,ノーザンＦ,2200,55000,156,173.5,20,456,ＮＦ空港,,1,
2021,2020,76,エスティタートの2020,エスティタート,7,1,初仔,ジャスタウェイ,ドリームジャーニー,牡,鹿,2020-03-04,松永幹夫 ,白老Ｆ,2800,70000,149,169,19.5,422,ＮＦ空港,,1,
2021,2020,78,ピンクアリエスの2020,ピンクアリエス,13,9,,シルバーステート,キングカメハメハ,牡,青鹿,2020-04-20,松永幹夫 ,ノーザンＦ,3600,90000,157.5,178,22,477,ＮＦ早来,,1,
2021,2020,79,ラテアートの2020,ラテアート,12,6,,シルバーステート,サクラバクシンオー,メス,鹿,2020-04-05,池江泰寿 ,坂東牧場,2000,50000,153.5,173.5,21,444,ＮＦ空港,,1,
2021,2020,86,シンハリーズの2020,シンハリーズ,18,12,,リアルインパクト,Singspiel,メス,栗,2020-03-02,斉藤崇史 ,ノーザンＦ,3200,80000,156,174,19.5,437,ＮＦ早来,,1,
2021,2020,87,グローバルビューティの2020,グローバルビューティ,6,1,初仔,Gun Runner,Global Hunter,メス,栗,2020-05-21,松永幹夫 ,ノーザンＦ,2600,65000,150,165.5,19.5,401,ＮＦ空港,さく癖 ,1,
2021,2020,3,ラドラーダの2020,ラドラーダ,14,7,,ロードカナロア,シンボリクリスエス,メス,鹿,2020-01-28,栗田徹 ,ノーザンＦ,7000,175000,154,174,20,454,ＮＦ空港,,,
2021,2020,5,アドマイヤリードの2020,アドマイヤリード,7,1,初仔,ロードカナロア,ステイゴールド,メス,鹿,2020-03-22,宮田敬介 ,ノーザンＦ,5000,125000,150,173,19.9,423,ＮＦ早来,,,
2021,2020,6,クルージンミジーの2020,クルージンミジー,11,6,,ハーツクライ,Mizzen Mast,牡,芦,2020-05-13,古賀慎明 ,ノーザンＦ,3400,85000,151,174.5,21.5,477,ＮＦ空港,左腕節副手根骨骨折骨片摘出手術（2021/3/4）,,
2021,2020,7,マイハッピーフェイスの2020,マイハッピーフェイス,10,5,,ハーツクライ,Tiz Wonderful,メス,芦,2020-04-10,加藤征弘 ,ノーザンＦ,3000,75000,159.5,179.5,21.4,471,ＮＦ空港,,,
2021,2020,8,ローガンサファイアの2020,ローガンサファイア,10,4,,エピファネイア,ダイワメジャー,牡,栗,2020-02-29,林徹 ,ノーザンＦ,5000,125000,153,169.5,21,445,ＮＦ空港,,,
2021,2020,10,プルメリアスターの2020,プルメリアスター,8,2,,エピファネイア,ゼンノロブロイ,メス,青鹿,2020-04-05,木村哲也 ,ノーザンＦ,3600,90000,152,168.5,19.5,407,ＮＦ空港,,,
2021,2020,11,モアザンセイクリッドの2020,モアザンセイクリッド,11,5,,ドゥラメンテ,More Than Ready,牡,青鹿,2020-04-24,尾関知人 ,ノーザンＦ,4000,100000,154.5,174,20.5,428,ＮＦ空港,,,
2021,2020,13,ブリガアルタの2020,ブリガアルタ,7,1,初仔,モーリス,コンデュイット,牡,栗,2020-02-14,高橋文雅 ,ノーザンＦ,3000,75000,154,182,20.5,458,ＮＦ空港,,,
2021,2020,14,ルージュバックの2020,ルージュバック,8,2,,モーリス,マンハッタンカフェ,牡,鹿,2020-02-21,大竹正博 ,ノーザンＦ,6000,150000,152,175.5,19.1,441,ＮＦ早来,,,
2021,2020,15,ケイティーズハートの2020,ケイティーズハート,11,5,,モーリス,ハーツクライ,メス,青鹿,2020-03-25,鹿戸雄一 ,ノーザンＦ,5600,140000,152,178,19.6,476,ＮＦ空港,,,
2021,2020,16,シュピッツェの2020,シュピッツェ,11,5,,モーリス,Azamour,メス,栗,2020-04-02,中舘英二 ,社台F,2400,60000,155,171,18.6,403,社台Ｆ,,,
2021,2020,17,エンジェルフォールの2020,エンジェルフォール,11,7,,ドレフォン,ジャングルポケット,牡,鹿,2020-04-26,田村康仁 ,ノーザンＦ,3000,75000,151.5,173,20.6,434,ＮＦ空港,右飛節OCD除去手術（2021/2/16）,,
2021,2020,18,バイラオーラの2020,バイラオーラ,14,8,,ドレフォン,トワイニング,メス,鹿,2020-01-24,和田正一郎 ,ノーザンＦ,2000,50000,149.5,171,18.6,431,ＮＦ空港,,,
2021,2020,20,プンタステラの2020,プンタステラ,10,6,,リアルスティール,Elusive City,牡,芦,2020-03-18,奥村武 ,ノーザンＦ,3000,75000,159,177,20.8,454,ＮＦ早来,,,
2021,2020,21,エクストラペトルの2020,エクストラペトル,8,2,,リアルスティール,キングカメハメハ,メス,鹿,2020-01-22,加藤征弘 ,白老Ｆ,2000,50000,156,182,19.8,468,ＮＦ早来,,,
